N       Q_det    Q_mean    σ_empirical   σ_simple      σ_correct     err_simple  err_correct
1000    0.4626   0.1220   0.01002       0.03162       0.01035       2.1571      0.0333    
1000    0.5058   0.5160   0.01581       0.03162       0.01580       1.0000      0.0005    
1000    0.6221   0.3160   0.01433       0.03162       0.01470       1.2072      0.0262    
1000    0.5792   0.0620   0.00663       0.03162       0.00763       3.7712      0.1506    
1000    0.5868   0.0630   0.00838       0.03162       0.00768       2.7717      0.0836    
1000    0.8412   0.6910   0.01488       0.03162       0.01461       1.1256      0.0178    
1000    0.5615   0.0830   0.00828       0.03162       0.00872       2.8182      0.0534    
1000    0.8248   0.4580   0.01575       0.03162       0.01576       1.0079      0.0004    
1000    0.5012   0.0270   0.00432       0.03162       0.00513       6.3210      0.1866    
1000    0.4794   0.0050   0.00244       0.03162       0.00223       11.9424     0.0871    
1000    0.3168   0.1000   0.00901       0.03162       0.00949       2.5102      0.0531    
1000    0.6896   0.2670   0.01396       0.03162       0.01399       1.2647      0.0019    
1000    0.5770   0.0150   0.00421       0.03162       0.00384       6.5178      0.0862    
1000    0.5025   0.0000   0.00000       0.03162       0.00000       31622776601683.7891  0.0000    
1000    0.4201   0.1440   0.01160       0.03162       0.01110       1.7264      0.0428    
1000    0.5170   0.1570   0.01098       0.03162       0.01150       1.8805      0.0479    
1000    0.5987   0.0190   0.00484       0.03162       0.00432       5.5306      0.1084    
1000    0.4846   0.1040   0.00945       0.03162       0.00965       2.3466      0.0216
