scan_kind,x_axis,y_axis,x_index,y_index,rabi_ratio,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,score
heatmap,rabi,fcl,1,1,0.80000000000000004,0,-2,0.80129788699109539,0.092793362675626545,0.052954375166639006,0.052954375166639006,0.092793362675626545
heatmap,rabi,fcl,2,1,0.81333333333333335,0,-2,0.80805405492126225,0.095196080018706844,0.048374932530015499,0.048374932530015499,0.095196080018706844
heatmap,rabi,fcl,3,1,0.82666666666666666,0,-2,0.81386949412837295,0.09768526132522036,0.044222622273203338,0.044222622273203338,0.09768526132522036
heatmap,rabi,fcl,4,1,0.83999999999999997,0,-2,0.81876312797080919,0.1002457245771257,0.040495573726032547,0.040495573726032547,0.1002457245771257
heatmap,rabi,fcl,5,1,0.85333333333333339,0,-2,0.8227554015005315,0.1028638080186457,0.037190395240411435,0.037190395240411435,0.1028638080186457
heatmap,rabi,fcl,6,1,0.8666666666666667,0,-2,0.82586808624711949,0.10552701384685083,0.034302449953014846,0.034302449953014846,0.10552701384685083
heatmap,rabi,fcl,7,1,0.88,0,-2,0.82812411290562671,0.10822370430363053,0.031826091395371431,0.031826091395371431,0.10822370430363053
heatmap,rabi,fcl,8,1,0.89333333333333331,0,-2,0.82954743340288439,0.11094284845393888,0.029754859071588365,0.029754859071588365,0.11094284845393888
heatmap,rabi,fcl,9,1,0.90666666666666662,0,-2,0.83016290511338442,0.11367382129962707,0.028081636793494312,0.028081636793494312,0.11367382129962707
heatmap,rabi,fcl,10,1,0.92000000000000004,0,-2,0.82999619657871804,0.1164062545355401,0.026798774442870894,0.026798774442870894,0.1164062545355401
heatmap,rabi,fcl,11,1,0.93333333333333335,0,-2,0.82907371047570555,0.11912993526761249,0.025898177128340919,0.025898177128340919,0.11912993526761249
heatmap,rabi,fcl,12,1,0.94666666666666666,0,-2,0.82742252052244358,0.12183475186376061,0.025371363806897935,0.025371363806897935,0.12183475186376061
heatmap,rabi,fcl,13,1,0.95999999999999996,0,-2,0.82507032039392547,0.12451067984499106,0.025209499880541761,0.025209499880541761,0.12451067984499106
heatmap,rabi,fcl,14,1,0.97333333333333338,0,-2,0.8220453789920289,0.12714780772871209,0.025403406639629564,0.025403406639629564,0.12714780772871209
heatmap,rabi,fcl,15,1,0.98666666666666669,0,-2,0.81837650193319766,0.1297363939481368,0.02594355205933279,0.02594355205933279,0.1297363939481368
