pulse_name,pulse_label,source,scan_kind,scan_name,x_axis,y_axis,sample_index,x_index,y_index,rabi_ratio,phase_pi,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,odd,balance,nominal_gg,nominal_ee,score,score_infidelity,log10_score_infidelity,fock_cutoff,abstol,reltol
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,1,1,1,0.80000000000000004,0,-2,0,0.38235762012665286,0.37643080089170955,0.12060578949081878,0.12060578949081878,0.24121157898163756,0.0059268192349433146,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,2,2,1,0.81333333333333335,0,-2,0,0.3865990528308263,0.37934110093318241,0.11702992311799562,0.11702992311799562,0.23405984623599124,0.0072579518976438884,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,3,3,1,0.82666666666666666,0,-2,0,0.39043291121054868,0.38195543797430626,0.11380582540757254,0.11380582540757254,0.22761165081514509,0.0084774732362424277,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,4,4,1,0.83999999999999997,0,-2,0,0.39349844968732356,0.38405778150830833,0.11122188440218404,0.11122188440218404,0.22244376880436809,0.0094406681790152325,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,5,5,1,0.85333333333333339,0,-2,0,0.39541488915530043,0.38545159626427938,0.10956675729021002,0.10956675729021002,0.21913351458042005,0.0099632928910210472,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,6,6,1,0.8666666666666667,0,-2,0,0.39578646041564586,0.38596550758813747,0.10912401599810836,0.10912401599810836,0.21824803199621673,0.009820952827508389,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,7,7,1,0.88,0,-2,0,0.39422159099997051,0.38547029195030463,0.11015405852486244,0.11015405852486244,0.22030811704972489,0.0087512990496658727,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,8,8,1,0.89333333333333331,0,-2,0,0.39037336201136374,0.38391366903438268,0.11285648447712673,0.11285648447712673,0.22571296895425347,0.0064596929769810685,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,9,9,1,0.90666666666666662,0,-2,0,0.38400058835603035,0.38137168876330957,0.11731386144033008,0.11731386144033008,0.23462772288066017,0.0026288995927207792,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,10,10,1,0.92000000000000004,0,-2,0,0.37503933409651086,0.37810618592682049,0.12342723998833438,0.12342723998833438,0.24685447997666876,-0.0030668518303096359,1.2944889472286385e-10,0.99998800588249515,0.0030788460772634973,0.9969211539227365,-0.0013391884991253739,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,11,11,1,0.93333333333333335,0,-2,0,0.36366666049917479,0.37460998439600912,0.13086167755240807,0.13086167755240807,0.26172335510481615,-0.010943323896834334,1.2944889472286385e-10,0.99998800588249515,0.01095531814378814,0.98904468185621186,-0.0047840879323880498,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,12,12,1,0.94666666666666666,0,-2,0,0.35033502604082239,0.37161858612543824,0.13902319391686963,0.13902319391686963,0.27804638783373925,-0.021283560084615849,1.2944889472286385e-10,0.99998800588249515,0.021295554331569599,0.9787044456684304,-0.0093484389368085983,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,13,13,1,0.95999999999999996,0,-2,0,0.33575904443354093,0.37007063494370529,0.14708516031137686,0.14708516031137686,0.29417032062275372,-0.034311590510164358,1.2944889472286385e-10,0.99998800588249515,0.034323584757118053,0.96567641524288195,-0.015168375258234137,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,14,14,1,0.97333333333333338,0,-2,0,0.32084616441262936,0.37100984248616703,0.15407199655060178,0.15407199655060178,0.30814399310120355,-0.050163678073537665,1.2944889472286385e-10,0.99998800588249515,0.050175672320491471,0.94982432767950853,-0.022356711105166637,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,15,15,1,0.98666666666666669,0,-2,0,0.30657717471564544,0.37543594667989622,0.1589934393022292,0.1589934393022292,0.3179868786044584,-0.068858771964250776,1.2944889472286385e-10,0.99998800588249515,0.068870766211204582,0.93112923378879542,-0.030990038002258517,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,16,16,1,1,0,-2,0,0.29385754586435497,0.38412750597464734,0.16100747408049884,0.16100747408049884,0.32201494816099768,-0.090269960110292369,1.2944889472286385e-10,0.99998800588249515,0.090281954357246064,0.90971804564275394,-0.041093190311390228,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,17,17,1,1.0133333333333334,0,-2,0,0.28337162024292406,0.39747099077820053,0.15957869448943773,0.15957869448943773,0.31915738897887547,-0.11409937053527647,1.2944889472286385e-10,0.99998800588249515,0.11411136478223016,0.88588863521776984,-0.052620869704659137,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,18,18,1,1.0266666666666666,0,-2,0,0.27547509589299318,0.41533404554340214,0.15459542928180239,0.15459542928180239,0.30919085856360479,-0.13985894965040896,1.2944889472286385e-10,0.99998800588249515,0.13987094389736265,0.86012905610263735,-0.065436381142249311,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,19,19,1,1.04,0,-2,0,0.27015514736461654,0.43701488309763603,0.14641498476887374,0.14641498476887374,0.29282996953774748,-0.16685973573301949,1.2944889472286385e-10,0.99998800588249515,0.16687172997997324,0.83312827002002676,-0.07928812863727483,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,20,20,1,1.0533333333333332,0,-2,0,0.26707261921333769,0.46128463219465471,0.1358213742960038,0.1358213742960038,0.2716427485920076,-0.19421201298131702,1.2944889472286385e-10,0.99998800588249515,0.19422400722827082,0.80577599277172918,-0.093785676091449735,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,21,21,1,1.0666666666666667,0,-2,0,0.26568075155550025,0.48651908937069227,0.1239000795369038,0.1239000795369038,0.24780015907380759,-0.22083833781519202,1.2944889472286385e-10,0.99998800588249515,0.22085033206214577,0.77914966793785423,-0.10837911008589245,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,22,22,1,1.0800000000000001,0,-2,0,0.26539479161096108,0.51089569990096595,0.11185475424403647,0.11185475424403647,0.22370950848807294,-0.24550090829000487,1.2944889472286385e-10,0.99998800588249515,0.24551290253695857,0.75448709746304143,-0.12234818272539111,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,23,23,1,1.0933333333333333,0,-2,0,0.26577253052478739,0.53261633720537882,0.10080556613491691,0.10080556613491691,0.20161113226983382,-0.26684380668059143,1.2944889472286385e-10,0.99998800588249515,0.26685580092754524,0.73314419907245476,-0.13481059738841156,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,24,24,1,1.1066666666666667,0,-2,0,0.26666124024009613,0.55011094393642401,0.091613907911739886,0.091613907911739886,0.18322781582347977,-0.28344970369632788,1.2944889472286385e-10,0.99998800588249515,0.28346169794328169,0.71653830205671831,-0.14476058973658648,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,25,25,1,1.1200000000000001,0,-2,0,0.26827351510852954,0.56218296997325834,0.084771757459106062,0.084771757459106062,0.16954351491821212,-0.2939094548647288,1.2944889472286385e-10,0.99998800588249515,0.2939214491116825,0.7060785508883175,-0.15114698121493894,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,26,26,1,1.1333333333333333,0,-2,0,0.27117156563026429,0.56807339726891659,0.080377518550409546,0.080377518550409546,0.16075503710081909,-0.2969018316386523,1.2944889472286385e-10,0.99998800588249515,0.29691382588560611,0.70308617411439389,-0.15299144219387886,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,27,27,1,1.1466666666666667,0,-2,0,0.27616215531283472,0.56744162229302064,0.078198111197072304,0.078198111197072304,0.15639622239414461,-0.29127946698018592,1.2944889472286385e-10,0.99998800588249515,0.29129146122713967,0.70870853877286033,-0.14953233467238258,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,rabi_sideband,rabi,sideband,28,28,1,1.1599999999999999,0,-2,0,0.28412662505375624,0.56028276630238627,0.077795304321928771,0.077795304321928771,0.15559060864385754,-0.27615614124863003,1.2944889472286385e-10,0.99998800588249515,0.27616813549558383,0.72383186450441617,-0.14036230230846147,NaN,NaN,NaN
