numMS,t_us,f_cl0,f_sb0,I_pi2_calibrated,nominal_gg,nominal_ee,nominal_odd,nominal_balance,heatmap_n,heatmap_pairs,heatmap_files,sideband_units,fcl_units,phase_units,rabi_units
1,100,411155035205744.75,3010000,1053929.1516448259,0.50481329624075444,0.49518375837384027,2.9453854053250083e-06,0.0096295378669141729,31,rabi_sideband;rabi_phase;rabi_fcl;sideband_phase;sideband_fcl;phase_fcl,varms_1_heatmap_rabi_sideband.csv;varms_1_heatmap_rabi_phase.csv;varms_1_heatmap_rabi_fcl.csv;varms_1_heatmap_sideband_phase.csv;varms_1_heatmap_sideband_fcl.csv;varms_1_heatmap_phase_fcl.csv,2pi_khz,2pi_khz,pi,omega_ratio
2,100,411155035205744.75,3010000,1053929.1516448259,9.2727763303247752e-05,0.99989549141336287,1.1780823333894539e-05,-0.9998027636500596,31,rabi_sideband;rabi_phase;rabi_fcl;sideband_phase;sideband_fcl;phase_fcl,varms_2_heatmap_rabi_sideband.csv;varms_2_heatmap_rabi_phase.csv;varms_2_heatmap_rabi_fcl.csv;varms_2_heatmap_sideband_phase.csv;varms_2_heatmap_sideband_fcl.csv;varms_2_heatmap_phase_fcl.csv,2pi_khz,2pi_khz,pi,omega_ratio
