scan_kind,x_axis,y_axis,x_index,y_index,rabi_ratio,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,score
heatmap,rabi,sideband,1,1,0.80000000000000004,-2,0,0.39098623940478072,0.38416415624129546,0.11242480217696184,0.11242480217696184,0.38416415624129546
heatmap,rabi,sideband,2,1,0.81333333333333335,-2,0,0.38794761655374449,0.38292956970669345,0.11456140686978103,0.11456140686978103,0.38292956970669345
heatmap,rabi,sideband,3,1,0.82666666666666666,-2,0,0.38414580534589587,0.38142784864630358,0.11721317300390025,0.11721317300390025,0.38142784864630358
heatmap,rabi,sideband,4,1,0.83999999999999997,-2,0,0.37959509814234327,0.37971523670520296,0.12034483257622684,0.12034483257622684,0.37971523670520296
heatmap,rabi,sideband,5,1,0.85333333333333339,-2,0,0.37433070701767956,0.37786601383847895,0.12390163957192077,0.12390163957192077,0.37786601383847895
heatmap,rabi,sideband,6,1,0.8666666666666667,-2,0,0.36840930961310558,0.37597221734955033,0.12780923651867204,0.12780923651867204,0.37597221734955033
heatmap,rabi,sideband,7,1,0.88,-2,0,0.36190847738327214,0.37414222918628631,0.13197464671522072,0.13197464671522072,0.37414222918628631
heatmap,rabi,sideband,8,1,0.89333333333333331,-2,0,0.35492493204269632,0.37249824275131643,0.1362884126029936,0.1362884126029936,0.37249824275131643
heatmap,rabi,sideband,9,1,0.90666666666666662,-2,0,0.34757168286247392,0.37117262972739135,0.14062784370506734,0.14062784370506734,0.37117262972739135
heatmap,rabi,sideband,10,1,0.92000000000000004,-2,0,0.33997418366119619,0.37030335027591516,0.14486123303144433,0.14486123303144433,0.37030335027591516
heatmap,rabi,sideband,11,1,0.93333333333333335,-2,0,0.33226570373380304,0.37002867456715938,0.14885281084951882,0.14885281084951882,0.37002867456715938
heatmap,rabi,sideband,12,1,0.94666666666666666,-2,0,0.32458218323096416,0.37048144249425646,0.15246818713738963,0.15246818713738963,0.37048144249425646
