pulse_name,pulse_label,source,scan_kind,scan_name,x_axis,y_axis,sample_index,x_index,y_index,rabi_ratio,phase_pi,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,odd,balance,nominal_gg,nominal_ee,score,score_infidelity,log10_score_infidelity,fock_cutoff,abstol,reltol
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,1,1,1,1,0,-2,-2,0.69927714119150641,0.0093879486489623788,0.14566745507976564,0.14566745507976564,0.29133491015953128,0.68988919254254399,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,2,1,2,1,0,-2,-1.8666666666666667,0.52789301591234128,0.033649386023850689,0.21922879903190406,0.21922879903190406,0.43845759806380813,0.49424362988849058,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,3,1,3,1,0,-2,-1.7333333333333334,0.37552588445772195,0.098185761606814415,0.2631441769677319,0.2631441769677319,0.5262883539354638,0.27734012285090753,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,4,1,4,1,0,-2,-1.6000000000000001,0.27612930259460489,0.19071475424283746,0.26657797158127883,0.26657797158127883,0.53315594316255766,0.085414548351767428,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,5,1,5,1,0,-2,-1.4666666666666666,0.25477262736932638,0.28148604626981366,0.23187066318042998,0.23187066318042998,0.46374132636085996,-0.026713418900487285,1.2944889472286385e-10,0.99998800588249515,0.026725413147441035,0.97327458685255896,-0.011764616328506188,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,6,1,6,1,0,-2,-1.3333333333333333,0.33361797313909985,0.33787766344504261,0.16425218170792874,0.16425218170792874,0.32850436341585748,-0.0042596903059427538,1.2944889472286385e-10,0.99998800588249515,0.0042716845528965042,0.9957283154471035,-0.0018591426984081519,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,7,1,7,1,0,-2,-1.2,0.5020268878687234,0.32872853947397324,0.08462228632865168,0.08462228632865168,0.16924457265730336,0.17329834839475017,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,8,1,8,1,0,-2,-1.0666666666666667,0.6998419839170098,0.24488131947052397,0.027638348306233108,0.027638348306233108,0.055276696612466217,0.45496066444648586,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,9,1,9,1,0,-2,-0.93333333333333335,0.8477715657781949,0.13315949195788293,0.0095344711319611357,0.0095344711319611357,0.019068942263922271,0.714612073820312,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,10,1,10,1,0,-2,-0.80000000000000004,0.87502905556857236,0.063552982882204276,0.030708980774611663,0.030708980774611663,0.061417961549223327,0.81147607268636812,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,11,1,11,1,0,-2,-0.66666666666666663,0.75331716141612559,0.073424967230365595,0.086628935676754407,0.086628935676754407,0.17325787135350881,0.67989219418575997,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,12,1,12,1,0,-2,-0.53333333333333333,0.54456832795964627,0.16623943437807087,0.14459611883114146,0.14459611883114146,0.28919223766228291,0.3783288935815754,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,13,1,13,1,0,-2,-0.40000000000000002,0.36554469278456492,0.30386593258556954,0.16529468731493271,0.16529468731493271,0.33058937462986543,0.061678760198995375,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,14,1,14,1,0,-2,-0.26666666666666666,0.27843573607912614,0.40694932991077087,0.15730746700505152,0.15730746700505152,0.31461493401010304,-0.12851359383164473,1.2944889472286385e-10,0.99998800588249515,0.12852558807859848,0.87147441192140152,-0.059745360045074317,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,15,1,15,1,0,-2,-0.13333333333333333,0.26385507557871918,0.41982036856129673,0.15816227792999199,0.15816227792999199,0.31632455585998398,-0.15596529298257755,1.2944889472286385e-10,0.99998800588249515,0.1559772872295313,0.8440227127704687,-0.073645866291215958,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,16,1,16,1,0,-2,0,0.29385754586435497,0.38412750597464734,0.16100747408049884,0.16100747408049884,0.32201494816099768,-0.090269960110292369,1.2944889472286385e-10,0.99998800588249515,0.090281954357246064,0.90971804564275394,-0.041093190311390228,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,17,1,17,1,0,-2,0.13333333333333333,0.3368859053077724,0.37718097247405336,0.14296656110908712,0.14296656110908712,0.28593312221817424,-0.040295067166280951,1.2944889472286385e-10,0.99998800588249515,0.040307061413234702,0.9596929385867653,-0.017867700719919933,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,18,1,18,1,0,-2,0.26666666666666666,0.37237564445934401,0.38867832358132381,0.11947301597966606,0.11947301597966606,0.23894603195933212,-0.016302679121979802,1.2944889472286385e-10,0.99998800588249515,0.016314673368933552,0.98368532663106645,-0.0071438068164083801,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,19,1,19,1,0,-2,0.40000000000000002,0.44607648605565048,0.3875517172752016,0.083185898334574002,0.083185898334574002,0.166371796669148,0.058524768780448877,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
