n_pts,N_shots,N_total,seed,rmse,rmse_se,rmse_corr,mae,mean_sigma_gp,mean_sigma_noise,cov80,cov90,cov95,cov95_adj,nlpd,nlpd_adj,crps,msse,msse_gp,n_valid,l1,l2,l3,sf,c
10,100,1000,24,0.162148,0.001551,0.155698,0.127939,0.131183,0.045277,0.6890,0.7936,0.8681,0.9053,-0.2557,-0.3637,0.091166,1.498156,1.911748,4996,0.1481,1.5000,1.5000,0.9868,0.0500
10,100,1000,25,0.192857,0.001810,0.187467,0.148616,0.182821,0.045275,0.7798,0.9320,0.9820,0.9874,-0.3690,-0.3560,0.104540,0.851297,0.905089,4999,0.4673,0.1404,1.2627,1.0573,0.5403
10,100,1000,26,0.184963,0.002402,0.179336,0.136373,0.097306,0.045274,0.5869,0.6997,0.7740,0.8048,0.1735,0.0735,0.102456,2.784557,3.205614,4999,0.1584,0.0664,1.5000,0.9460,0.0500
10,100,1000,27,0.176937,0.001800,0.171046,0.142107,0.127526,0.045275,0.6168,0.7671,0.8489,0.8760,-0.1120,-0.2043,0.101132,1.798480,2.133255,4998,0.1784,0.8615,0.4569,1.0286,0.0500
10,100,1000,28,0.221783,0.001697,0.217112,0.183923,0.134646,0.045275,0.4456,0.6088,0.7657,0.8203,0.0534,-0.0490,0.129426,2.055406,2.435380,4998,0.2587,0.3012,1.5000,1.0360,0.0500
10,100,1000,29,0.196515,0.002003,0.191228,0.153743,0.109383,0.045275,0.5102,0.6284,0.7238,0.7818,0.4761,0.2436,0.114126,2.987413,3.682311,5000,0.5001,0.5989,0.5415,1.0007,0.0500
10,100,1000,30,0.220389,0.001989,0.215689,0.177856,0.167978,0.045275,0.6811,0.8504,0.9258,0.9342,-0.2260,-0.2287,0.121115,1.329427,1.458445,4999,0.3946,0.3552,1.4364,1.0588,0.0500
10,100,1000,31,0.156069,0.002267,0.149356,0.109576,0.109412,0.045279,0.7128,0.8086,0.8693,0.9023,-0.3881,-0.4753,0.081412,1.526539,1.910679,4996,0.1825,0.5097,1.5000,0.9965,0.0500
10,100,1000,32,0.152312,0.001763,0.145427,0.115361,0.095672,0.045278,0.6257,0.7259,0.7988,0.8484,-0.1051,-0.2511,0.084768,2.194930,2.758290,4999,0.2365,0.3455,1.5000,1.0550,0.0500
10,100,1000,33,0.202820,0.001954,0.197702,0.155604,0.156205,0.045274,0.7083,0.8470,0.8982,0.9128,-0.2869,-0.2910,0.109957,1.308900,1.453063,4999,0.2475,0.4255,1.5000,1.0783,0.0500
10,100,1000,34,0.153226,0.002034,0.146385,0.112426,0.083604,0.045274,0.6079,0.7037,0.7662,0.8270,0.0211,-0.2067,0.083548,2.489881,3.283887,4999,0.2761,0.6056,1.5000,1.0732,0.0500
10,100,1000,35,0.194619,0.001879,0.189279,0.152001,0.133095,0.045275,0.6223,0.7299,0.7996,0.8284,0.1710,0.0110,0.111435,2.183136,2.673346,4999,1.3162,0.1009,1.5000,1.0975,0.0500
10,100,1000,36,0.169800,0.001941,0.163652,0.127520,0.147664,0.045278,0.7269,0.8072,0.8626,0.8858,-0.0809,-0.2023,0.096121,1.567325,1.940132,4999,0.0998,1.0158,1.5000,0.9596,0.0500
10,100,1000,37,0.214135,0.002755,0.209294,0.158802,0.095731,0.045274,0.4957,0.6237,0.7017,0.7556,1.1611,0.5683,0.120351,3.855800,5.328457,4999,0.0685,1.0231,1.5000,0.9242,0.0500
10,100,1000,38,0.199637,0.002058,0.194435,0.154688,0.184381,0.045277,0.7549,0.8397,0.8980,0.9058,-0.0915,-0.1105,0.113314,1.293982,1.401460,4998,1.5000,0.2067,0.0621,0.9756,0.0500
10,100,1000,39,0.178493,0.002159,0.172655,0.131555,0.113466,0.045278,0.6361,0.7205,0.7822,0.8204,0.4321,0.0995,0.099499,2.630637,3.507656,4999,0.0722,1.5000,1.5000,0.8091,0.0500
10,100,1000,40,0.225408,0.002111,0.220814,0.176505,0.142204,0.045274,0.5753,0.6715,0.7467,0.7752,0.4412,0.2557,0.131471,2.536087,3.042124,4999,1.5000,0.0974,1.5000,1.0187,0.0500
10,100,1000,41,0.190129,0.002115,0.184660,0.144814,0.052445,0.045272,0.3352,0.4094,0.4699,0.5815,4.7331,2.8446,0.118200,9.198163,13.534197,4997,1.5000,1.5000,0.0695,0.6056,1.4807
10,100,1000,42,0.162862,0.001754,0.156442,0.122682,0.167451,0.045275,0.8344,0.9100,0.9562,0.9586,-0.4799,-0.4560,0.088901,0.778282,0.814451,4999,0.0988,0.1095,1.5000,0.9836,0.0500
10,100,1000,43,0.126066,0.001114,0.117656,0.102932,0.102703,0.045274,0.6721,0.7911,0.8709,0.9158,-0.4404,-0.5657,0.072538,1.461470,1.944613,4998,0.2126,0.6864,1.5000,1.0143,0.0500
10,100,1000,44,0.171773,0.001549,0.165699,0.137902,0.170514,0.045275,0.7882,0.9128,0.9726,0.9766,-0.4406,-0.4225,0.095362,0.874947,0.949047,4999,0.3179,0.1591,1.5000,1.0416,0.0500
10,100,1000,45,0.229120,0.002897,0.224602,0.168904,0.111470,0.045276,0.5337,0.6761,0.7788,0.8112,0.4219,0.2959,0.126727,3.028611,3.473602,4999,0.2588,0.1301,1.5000,0.9640,0.0500
10,100,1000,46,0.169841,0.001613,0.163695,0.133638,0.099342,0.045275,0.5339,0.6365,0.7233,0.7780,0.0652,-0.1088,0.098457,2.417227,3.025530,4999,0.8372,0.1038,1.5000,0.9245,0.0500
