u1,u2,u3,Q_jac,Q_det,gg,ee
0.005000,-0.060000,-0.400000,0.900061,0.971291,0.095939,0.804110
0.010000,-0.060000,-0.400000,0.902025,0.973317,0.099473,0.802540
0.015000,-0.060000,-0.400000,0.902888,0.975005,0.103089,0.799787
0.020000,-0.060000,-0.400000,0.902665,0.976371,0.106783,0.795870
0.025000,-0.060000,-0.400000,0.901382,0.977431,0.110559,0.790812
0.030000,-0.060000,-0.400000,0.899087,0.978195,0.114413,0.784663
0.035000,-0.060000,-0.400000,0.895838,0.978680,0.118357,0.777469
0.040000,-0.060000,-0.400000,0.891708,0.978898,0.122407,0.769289
0.045000,-0.060000,-0.400000,0.886777,0.978865,0.126586,0.760179
0.050000,-0.060000,-0.400000,0.881152,0.978593,0.130909,0.750231
0.055000,-0.060000,-0.400000,0.874932,0.978097,0.135409,0.739511
0.060000,-0.060000,-0.400000,0.868222,0.977390,0.140122,0.728088
0.065000,-0.060000,-0.400000,0.861151,0.976484,0.145073,0.716066
0.070000,-0.060000,-0.400000,0.844067,0.975393,0.150302,0.703515
-0.070000,-0.055000,-0.400000,0.782263,0.901385,0.064976,0.717275
-0.065000,-0.055000,-0.400000,0.793792,0.909457,0.066242,0.727538
-0.060000,-0.055000,-0.400000,0.805372,0.917075,0.067703,0.737657
-0.055000,-0.055000,-0.400000,0.816917,0.924248,0.069374,0.747531
-0.050000,-0.055000,-0.400000,0.828300,0.930962,0.071258,0.757030
-0.045000,-0.055000,-0.400000,0.839426,0.937229,0.073358,0.766056
-0.040000,-0.055000,-0.400000,0.850195,0.943058,0.075672,0.774511
-0.035000,-0.055000,-0.400000,0.860476,0.948442,0.078187,0.782277
-0.030000,-0.055000,-0.400000,0.870172,0.953396,0.080894,0.789266
-0.025000,-0.055000,-0.400000,0.879178,0.957925,0.083775,0.795391
-0.020000,-0.055000,-0.400000,0.887408,0.962043,0.086817,0.800579
-0.015000,-0.055000,-0.400000,0.894756,0.965751,0.089993,0.804751
-0.010000,-0.055000,-0.400000,0.901154,0.969062,0.093285,0.807857
-0.005000,-0.055000,-0.400000,0.906542,0.971992,0.096678,0.809852
0.000000,-0.055000,-0.400000,0.910860,0.974545,0.100147,0.810702
0.005000,-0.055000,-0.400000,0.914079,0.976737,0.103678,0.810389
0.010000,-0.055000,-0.400000,0.916180,0.978583,0.107262,0.808906
0.015000,-0.055000,-0.400000,0.917157,0.980091,0.110885,0.806260
0.020000,-0.055000,-0.400000,0.917025,0.981278,0.114544,0.802469
0.025000,-0.055000,-0.400000,0.915814,0.982159,0.118245,0.797557
0.030000,-0.055000,-0.400000,0.913572,0.982744,0.121986,0.791574
0.035000,-0.055000,-0.400000,0.910356,0.983050,0.125782,0.784563
0.040000,-0.055000,-0.400000,0.906242,0.983091,0.129649,0.776581
0.045000,-0.055000,-0.400000,0.901309,0.982880,0.133614,0.767684
0.050000,-0.055000,-0.400000,0.895663,0.982432,0.137693,0.757958
0.055000,-0.055000,-0.400000,0.889402,0.981760,0.141921,0.747468
0.060000,-0.055000,-0.400000,0.880797,0.980877,0.146337,0.736280
0.065000,-0.055000,-0.400000,0.864381,0.979798,0.150967,0.724494
0.070000,-0.055000,-0.400000,0.847177,0.978535,0.155854,0.712177
