scan_kind,sequence_name,sequence_label,numMS,scan_name,x_axis,y_axis,x_index,y_index,rabi_ratio,phase_pi,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,odd,balance,nominal_gg,nominal_ee,score
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,1,1,1,-0.5,-2,0,0.41105969147217158,0.21169639360781362,0.18862195746000737,0.18862195746000737,0.37724391492001474,0.19936329786435797,9.2727763303247752e-05,0.99989549141336287,0.21169639360781362
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,2,1,1,-0.5,-1.8666666666666667,0,0.53918735249636285,0.16037437783293171,0.15021913483535274,0.15021913483535274,0.30043826967070547,0.37881297466343111,9.2727763303247752e-05,0.99989549141336287,0.16037437783293171
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,3,1,1,-0.5,-1.7333333333333334,0,0.67283559268373905,0.17793213326757307,0.074616137024343929,0.074616137024343929,0.14923227404868786,0.49490345941616598,9.2727763303247752e-05,0.99989549141336287,0.17793213326757307
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,4,1,1,-0.5,-1.6000000000000001,0,0.62352741429473979,0.31747761671717928,0.029497484494040473,0.029497484494040473,0.058994968988080945,0.30604979757756051,9.2727763303247752e-05,0.99989549141336287,0.31747761671717928
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,5,1,1,-0.5,-1.4666666666666666,0,0.46347747564013492,0.42268430950188823,0.056919107428988452,0.056919107428988452,0.1138382148579769,0.040793166138246684,9.2727763303247752e-05,0.99989549141336287,0.42268430950188823
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,6,1,1,-0.5,-1.3333333333333333,0,0.34549835949568103,0.36995866864401966,0.14227148593014968,0.14227148593014968,0.28454297186029937,-0.024460309148338633,9.2727763303247752e-05,0.99989549141336287,0.36995866864401966
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,7,1,1,-0.5,-1.2,0,0.31655598686878811,0.33113750357714894,0.17615325477703148,0.17615325477703148,0.35230650955406295,-0.014581516708360831,9.2727763303247752e-05,0.99989549141336287,0.33113750357714894
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,8,1,1,-0.5,-1.0666666666666667,0,0.34399681813600358,0.2467734308517735,0.2046148755061114,0.2046148755061114,0.40922975101222281,0.097223387284230078,9.2727763303247752e-05,0.99989549141336287,0.2467734308517735
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,9,1,1,-0.5,-0.93333333333333335,0,0.29543770330711527,0.1957484227324319,0.25440693698022637,0.25440693698022637,0.50881387396045274,0.099689280574683375,9.2727763303247752e-05,0.99989549141336287,0.1957484227324319
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,10,1,1,-0.5,-0.80000000000000004,0,0.30206844419823875,0.27593669248435482,0.21099743165870324,0.21099743165870324,0.42199486331740649,0.026131751713883933,9.2727763303247752e-05,0.99989549141336287,0.27593669248435482
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,11,1,1,-0.5,-0.66666666666666663,0,0.33281235321490205,0.32399927559581648,0.17159418559464071,0.17159418559464071,0.34318837118928142,0.0088130776190855631,9.2727763303247752e-05,0.99989549141336287,0.32399927559581648
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,12,1,1,-0.5,-0.53333333333333333,0,0.35383899933192031,0.36719905636441807,0.13948097215183083,0.13948097215183083,0.27896194430366167,-0.013360057032497763,9.2727763303247752e-05,0.99989549141336287,0.36719905636441807
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,13,1,1,-0.5,-0.40000000000000002,0,0.44209610102726316,0.359176195163386,0.099363851904675407,0.099363851904675407,0.19872770380935081,0.082919905863877152,9.2727763303247752e-05,0.99989549141336287,0.359176195163386
heatmap,varms_2,2 x MS0(pi/2),2,sideband_phase,sideband,phase,14,1,1,-0.5,-0.26666666666666666,0,0.57009449828596104,0.31944188479453545,0.055231808459751792,0.055231808459751792,0.11046361691950358,0.25065261349142559,9.2727763303247752e-05,0.99989549141336287,0.31944188479453545
