scan_kind,x_axis,y_axis,x_index,y_index,rabi_ratio,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,score
heatmap,sideband,fcl,1,1,1,-2,-2,0.69832852596172534,0.0093206710940528358,0.14617540147211092,0.14617540147211092,0.0093206710940528358
heatmap,sideband,fcl,2,1,1,-1.8666666666666667,-2,0.62670088108647715,0.047769305748956742,0.16276490658228307,0.16276490658228307,0.047769305748956742
heatmap,sideband,fcl,3,1,1,-1.7333333333333334,-2,0.58813784962369431,0.083795468885926497,0.16403334074518955,0.16403334074518955,0.083795468885926497
heatmap,sideband,fcl,4,1,1,-1.6000000000000001,-2,0.6708703470527535,0.059181530259629786,0.13497406134380835,0.13497406134380835,0.059181530259629786
heatmap,sideband,fcl,5,1,1,-1.4666666666666666,-2,0.84969873837022281,0.040178255862008662,0.055061502883884283,0.055061502883884283,0.040178255862008662
heatmap,sideband,fcl,6,1,1,-1.3333333333333333,-2,0.92259069641959868,0.023484532808500887,0.026962385385950246,0.026962385385950246,0.023484532808500887
heatmap,sideband,fcl,7,1,1,-1.2,-2,0.91264724733839042,0.012838549146126468,0.037257101757741558,0.037257101757741558,0.012838549146126468
heatmap,sideband,fcl,8,1,1,-1.0666666666666667,-2,0.87013200036044391,0.020743111057303663,0.054562444291126187,0.054562444291126187,0.020743111057303663
heatmap,sideband,fcl,9,1,1,-0.93333333333333335,-2,0.80212010995844729,0.053342234752139131,0.072268827644706782,0.072268827644706782,0.053342234752139131
heatmap,sideband,fcl,10,1,1,-0.80000000000000004,-2,0.66728085954708316,0.10241981540857363,0.11514966252217165,0.11514966252217165,0.10241981540857363
heatmap,sideband,fcl,11,1,1,-0.66666666666666663,-2,0.49345053172683173,0.15719345881742758,0.17467800472787035,0.17467800472787035,0.15719345881742758
heatmap,sideband,fcl,12,1,1,-0.53333333333333333,-2,0.38859003528490993,0.18314475735462804,0.21413260368023104,0.21413260368023104,0.18314475735462804
heatmap,sideband,fcl,13,1,1,-0.40000000000000002,-2,0.38190110476658673,0.23585901584693481,0.19111993969323923,0.19111993969323923,0.23585901584693481
heatmap,sideband,fcl,14,1,1,-0.26666666666666666,-2,0.46742751554579137,0.28704191893143821,0.12276528276138518,0.12276528276138518,0.28704191893143821
heatmap,sideband,fcl,15,1,1,-0.13333333333333333,-2,0.66872537095338935,0.23053939222156083,0.050367618412524934,0.050367618412524934,0.23053939222156083
heatmap,sideband,fcl,16,1,1,0,-2,0.81409299327357476,0.13226695421894841,0.026820026253738329,0.026820026253738329,0.13226695421894841
heatmap,sideband,fcl,17,1,1,0.13333333333333333,-2,0.78406940753023191,0.081459380001873499,0.067235606233947295,0.067235606233947295,0.081459380001873499
heatmap,sideband,fcl,18,1,1,0.26666666666666666,-2,0.63782691428597516,0.090117079617837867,0.13602800304809351,0.13602800304809351,0.090117079617837867
heatmap,sideband,fcl,19,1,1,0.40000000000000002,-2,0.5125416559852346,0.11015247244086016,0.18865293578695266,0.18865293578695266,0.11015247244086016
heatmap,sideband,fcl,20,1,1,0.53333333333333333,-2,0.51348368310079406,0.10876890103859152,0.18887370793030717,0.18887370793030717,0.10876890103859152
heatmap,sideband,fcl,21,1,1,0.66666666666666663,-2,0.63360999802516438,0.10388171084379592,0.13125414556551987,0.13125414556551987,0.10388171084379592
heatmap,sideband,fcl,22,1,1,0.80000000000000004,-2,0.75673435277011625,0.15001254070557804,0.046626553262152856,0.046626553262152856,0.15001254070557804
