axis,u_scan,u1,u2,u3,Q_jac_det,Q_det,Q_shot_mean,Q_shot_std,Q_db_mean,Q_db_std,bias_empirical,bias_theory,bias_residual,db_error,gg,ee
u1,-0.048191,-0.048191,0.003966,0.082414,0.957461,0.983782,0.956231,0.002957,0.957343,0.003208,0.001230,0.001260,-0.000030,0.000118,0.143456,0.813993
u1,-0.047487,-0.047487,0.003966,0.082414,0.958689,0.984307,0.957501,0.003498,0.958589,0.003749,0.001188,0.001316,-0.000128,0.000100,0.143551,0.815126
u1,-0.046784,-0.046784,0.003966,0.082414,0.959910,0.984825,0.958278,0.003655,0.959279,0.003902,0.001633,0.001374,0.000259,0.000631,0.143646,0.816253
u1,-0.046080,-0.046080,0.003966,0.082414,0.961107,0.985331,0.959972,0.002679,0.961006,0.002670,0.001135,0.001432,-0.000297,0.000102,0.143738,0.817357
u1,-0.045377,-0.045377,0.003966,0.082414,0.962288,0.985828,0.961088,0.003228,0.962145,0.003496,0.001200,0.001490,-0.000290,0.000143,0.143828,0.818448
u1,-0.044673,-0.044673,0.003966,0.082414,0.963461,0.986319,0.962147,0.003345,0.963326,0.003677,0.001314,0.001550,-0.000236,0.000135,0.143917,0.819532
u1,-0.043970,-0.043970,0.003966,0.082414,0.964609,0.986797,0.963248,0.004354,0.964325,0.004603,0.001361,0.001609,-0.000248,0.000284,0.144003,0.820594
u1,-0.043266,-0.043266,0.003966,0.082414,0.965749,0.987269,0.964017,0.003473,0.965156,0.003734,0.001732,0.001669,0.000063,0.000593,0.144089,0.821649
u1,-0.042563,-0.042563,0.003966,0.082414,0.966865,0.987729,0.965513,0.003388,0.966576,0.003713,0.001351,0.001728,-0.000377,0.000289,0.144171,0.822681
u1,-0.041859,-0.041859,0.003966,0.082414,0.967971,0.988183,0.966469,0.003619,0.967689,0.003935,0.001502,0.001788,-0.000287,0.000282,0.144253,0.823706
u1,-0.041156,-0.041156,0.003966,0.082414,0.969052,0.988624,0.967264,0.003833,0.968400,0.004165,0.001789,0.001848,-0.000059,0.000653,0.144331,0.824709
u1,-0.040452,-0.040452,0.003966,0.082414,0.970125,0.989060,0.968328,0.003892,0.969501,0.004283,0.001797,0.001908,-0.000111,0.000623,0.144409,0.825704
u1,-0.039749,-0.039749,0.003966,0.082414,0.971172,0.989483,0.969091,0.004427,0.970127,0.004735,0.002081,0.001967,0.000114,0.001045,0.144484,0.826676
u1,-0.039045,-0.039045,0.003966,0.082414,0.972202,0.989898,0.969665,0.003744,0.970827,0.004041,0.002537,0.002026,0.000511,0.001375,0.144557,0.827634
u1,-0.038342,-0.038342,0.003966,0.082414,0.973222,0.990306,0.970837,0.004072,0.971924,0.004410,0.002385,0.002084,0.000301,0.001298,0.144628,0.828582
u1,-0.037638,-0.037638,0.003966,0.082414,0.974217,0.990702,0.971661,0.004043,0.972831,0.004426,0.002557,0.002142,0.000415,0.001386,0.144697,0.829508
u1,-0.036935,-0.036935,0.003966,0.082414,0.975201,0.991093,0.972788,0.004483,0.973896,0.004881,0.002413,0.002199,0.000214,0.001306,0.144764,0.830425
u1,-0.036231,-0.036231,0.003966,0.082414,0.976161,0.991471,0.973865,0.003443,0.975176,0.003843,0.002296,0.002255,0.000041,0.000985,0.144829,0.831320
u1,-0.035528,-0.035528,0.003966,0.082414,0.977109,0.991844,0.975227,0.003210,0.976480,0.003511,0.001882,0.002311,-0.000429,0.000629,0.144892,0.832205
u1,-0.034824,-0.034824,0.003966,0.082414,0.978033,0.992205,0.975922,0.003184,0.977048,0.003459,0.002111,0.002365,-0.000255,0.000985,0.144953,0.833068
u1,-0.034121,-0.034121,0.003966,0.082414,0.978944,0.992559,0.976179,0.004161,0.977421,0.004690,0.002765,0.002419,0.000346,0.001523,0.145012,0.833921
u1,-0.033417,-0.033417,0.003966,0.082414,0.979831,0.992903,0.976877,0.004299,0.978056,0.004750,0.002954,0.002471,0.000483,0.001775,0.145068,0.834751
u1,-0.032714,-0.032714,0.003966,0.082414,0.980706,0.993240,0.978799,0.003876,0.979807,0.004141,0.001906,0.002522,-0.000616,0.000899,0.145122,0.835571
u1,-0.032010,-0.032010,0.003966,0.082414,0.981555,0.993566,0.978962,0.004485,0.980163,0.004887,0.002594,0.002571,0.000023,0.001393,0.145175,0.836369
u1,-0.031307,-0.031307,0.003966,0.082414,0.982387,0.993883,0.979754,0.003795,0.980975,0.004254,0.002632,0.002619,0.000014,0.001412,0.145224,0.837150
u1,-0.030603,-0.030603,0.003966,0.082414,0.983205,0.994194,0.980749,0.004133,0.981989,0.004536,0.002456,0.002665,-0.000210,0.001216,0.145272,0.837921
