iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,0.770408,-0.259575,-0.178371,0.152767,0.028405,0.575993,0.678775,0.061404,0.000000,NaN
2,-0.121371,-0.597457,-0.993672,0.152450,0.028505,0.575976,0.672765,0.061101,0.000000,NaN
3,0.113629,-0.463867,0.100675,0.152401,0.028501,0.575754,0.667021,0.060828,0.062500,NaN
4,-0.511256,0.734731,0.087748,0.152518,0.028344,0.576198,0.661430,0.060548,0.000000,NaN
5,-0.593620,0.683538,0.616581,0.152494,0.028332,0.576037,0.655927,0.060288,0.000000,NaN
6,-0.397391,-0.558379,0.879142,0.152464,0.028324,0.575885,0.650516,0.060031,0.000000,NaN
7,-0.337607,0.373551,-0.706572,0.152445,0.028317,0.575648,0.645194,0.059779,0.000000,NaN
8,0.667487,0.074233,0.716156,0.152595,0.028181,0.576075,0.639800,0.059537,0.000000,NaN
9,-0.435028,0.041631,0.989263,0.151372,0.028088,0.575451,0.633487,0.059212,0.000000,NaN
10,0.488902,-0.903935,0.130588,0.151743,0.027573,0.576673,0.611125,0.058138,0.000000,NaN
11,-0.910641,0.464521,0.302305,0.151735,0.027572,0.576607,0.605618,0.057867,0.000000,NaN
12,0.574483,0.707911,0.761770,0.151734,0.027570,0.576550,0.600183,0.057604,0.000000,NaN
13,0.006694,0.155875,0.212851,0.151716,0.027593,0.576476,0.594885,0.057345,0.477500,NaN
14,0.356437,0.653460,0.575159,0.143162,0.035167,0.556638,0.640685,0.057490,0.000000,NaN
15,-0.126289,-0.364414,0.044947,0.143050,0.035218,0.556272,0.637014,0.057261,0.000000,NaN
16,0.207126,0.346066,-0.318295,0.142923,0.035323,0.556476,0.633380,0.057041,0.000000,NaN
17,0.905158,0.566940,-0.778981,0.140198,0.031118,0.578352,0.625646,0.056940,0.000000,NaN
18,-0.557054,-0.307054,0.211563,0.140136,0.031185,0.578104,0.622017,0.056712,0.172500,NaN
19,-0.168892,-0.945959,0.098358,0.140204,0.031129,0.578458,0.620829,0.056613,0.000000,NaN
20,-0.855553,-0.979208,-0.372714,0.140143,0.033874,0.568232,0.598247,0.054908,0.000000,NaN
21,-0.707927,0.124946,-0.068744,0.140074,0.033937,0.567976,0.594519,0.054683,0.000000,NaN
22,0.556208,0.694433,-0.922742,0.140028,0.034003,0.567689,0.590789,0.054463,0.000000,NaN
23,0.480490,0.227935,0.129465,0.139967,0.034069,0.567455,0.587143,0.054248,0.000000,NaN
24,0.439322,-0.536319,-0.867275,0.137998,0.033360,0.569072,0.581391,0.054028,0.000000,NaN
25,-0.199455,-0.278813,0.959966,0.137877,0.033468,0.569095,0.577753,0.053819,0.280000,NaN
26,0.380005,-0.026358,0.324297,0.135892,0.031337,0.577761,0.587594,0.054317,0.000000,NaN
27,0.805579,0.186687,0.596727,0.114276,0.039283,0.597514,0.562018,0.056119,0.000000,NaN
28,-0.149311,-0.327309,-0.929457,0.114176,0.039454,0.597368,0.558349,0.055845,0.027500,NaN
29,0.623951,-0.508202,-0.626628,0.114151,0.039905,0.596757,0.554134,0.055538,0.000000,NaN
30,-0.048685,-0.509236,0.672175,0.131449,0.033169,0.580332,0.562042,0.054940,0.110000,NaN
31,0.716961,-0.525717,0.107959,0.131412,0.033234,0.581779,0.559348,0.054751,0.105000,NaN
32,0.460927,-0.356689,-0.830632,0.131351,0.033238,0.582055,0.556639,0.054558,0.000000,NaN
33,-0.717133,-0.843073,-0.059269,0.131321,0.033292,0.581880,0.553474,0.054344,0.000000,NaN
34,-0.724448,0.166485,0.760286,0.131287,0.033337,0.581656,0.550337,0.054135,0.000000,NaN
35,0.048491,-0.325357,0.215952,0.131253,0.033380,0.581446,0.547237,0.053929,0.180000,NaN
36,0.324100,-0.619842,-0.472576,0.130595,0.030921,0.582783,0.550992,0.053969,0.000000,NaN
37,-0.660530,-0.948063,-0.909128,0.130567,0.030970,0.582613,0.548057,0.053771,0.000000,NaN
38,-0.028170,0.760733,-0.749468,0.130538,0.031008,0.582412,0.545152,0.053576,0.000000,NaN
39,0.183332,-0.585309,0.840132,0.130513,0.031086,0.582281,0.542364,0.053382,0.000000,NaN
40,-0.593085,0.057403,-0.283727,0.125986,0.028734,0.602727,0.525127,0.052270,0.000000,NaN
41,-0.952335,-0.608467,-0.661022,0.125936,0.028765,0.602490,0.522270,0.052070,0.000000,NaN
42,0.806273,-0.972831,0.483900,0.125888,0.028796,0.602273,0.519415,0.051875,0.000000,NaN
43,-0.335385,-0.047300,0.080398,0.125839,0.028828,0.602065,0.516589,0.051684,0.082500,NaN
44,-0.045676,0.655326,-0.387881,0.125613,0.028832,0.602737,0.514077,0.051528,0.240000,NaN
45,0.479644,0.215773,0.229574,0.125443,0.028822,0.603847,0.517682,0.051845,0.000000,NaN
46,-0.806439,-0.732565,-0.065830,0.125391,0.028851,0.603585,0.515070,0.051667,0.000000,NaN
47,-0.111098,0.261432,0.652254,0.125340,0.028887,0.603362,0.512485,0.051491,0.007500,NaN
48,0.275241,0.804835,0.332218,0.130268,0.025736,0.582703,0.503752,0.050597,0.000000,NaN
49,0.833469,0.408771,-0.989596,0.130277,0.025758,0.582714,0.501146,0.050429,0.000000,NaN
50,0.608197,0.527405,-0.650671,0.137335,0.028519,0.568082,0.501525,0.050685,0.000000,NaN
51,-0.319037,-0.194401,0.926044,0.137341,0.028524,0.568019,0.498974,0.050525,0.162500,NaN
52,0.211944,0.884953,0.577316,0.137296,0.028477,0.568398,0.499235,0.050526,0.000000,NaN
53,0.961938,0.057634,0.742606,0.137300,0.028478,0.568352,0.496739,0.050375,0.000000,NaN
54,0.556516,0.492247,0.671814,0.137304,0.028480,0.568298,0.494272,0.050226,0.000000,NaN
55,-0.124490,0.359886,0.102891,0.137307,0.028484,0.568225,0.491825,0.050078,0.025000,NaN
56,-0.794300,0.650650,-0.625671,0.137325,0.028476,0.568111,0.489176,0.049909,0.000000,NaN
57,-0.553999,-0.014887,0.092954,0.137330,0.028478,0.568058,0.486782,0.049764,0.000000,NaN
58,0.822841,0.819545,0.724743,0.137334,0.028478,0.568010,0.484410,0.049621,0.000000,NaN
59,0.831767,-0.486803,-0.899156,0.137339,0.028480,0.567962,0.482061,0.049479,0.000000,NaN
60,0.125259,0.416703,0.188871,-0.017742,-0.048562,0.589365,0.009532,0.006546,0.087500,NaN
61,0.250594,-0.704760,-0.666937,-0.021350,-0.039287,0.572792,0.009522,0.006464,0.000000,NaN
62,0.134275,0.343552,0.335811,-0.021502,-0.039254,0.572722,0.009416,0.006426,0.240000,NaN
63,0.231479,0.480077,-0.968366,-0.025590,-0.018079,0.543969,0.010008,0.006401,0.000000,NaN
64,-0.035220,0.896669,0.300287,-0.025782,-0.017867,0.543913,0.009901,0.006365,0.000000,NaN
65,0.560772,-0.941211,0.492028,-0.025818,-0.017613,0.544145,0.009809,0.006328,0.102500,NaN
66,0.009589,0.605275,0.793566,-0.026984,-0.012076,0.536863,0.009629,0.006273,0.355000,NaN
67,-0.151843,-0.164589,-0.244604,-0.024485,-0.013488,0.548720,0.010233,0.006533,0.000000,NaN
68,0.726761,-0.880516,0.101979,-0.024559,-0.013582,0.549039,0.010132,0.006501,0.000000,NaN
69,0.825043,0.546982,-0.682816,-0.024735,-0.013447,0.549089,0.010034,0.006468,0.000000,NaN
70,0.583076,0.830533,0.372000,-0.024874,-0.013269,0.549113,0.009934,0.006434,0.000000,NaN
71,0.486526,-0.798679,-0.549224,-0.025102,-0.013089,0.548996,0.009842,0.006393,0.000000,NaN
72,0.254197,0.745081,-0.762316,-0.025251,-0.012906,0.549088,0.009749,0.006362,0.000000,NaN
73,0.779373,-0.219603,-0.325314,-0.025417,-0.012763,0.549050,0.009657,0.006331,0.000000,NaN
74,-0.228099,0.545071,-0.627233,-0.025413,-0.012612,0.549002,0.009579,0.006295,0.000000,NaN
75,0.801404,-0.679906,0.037916,-0.025719,-0.012154,0.548628,0.009493,0.006264,0.000000,NaN
76,0.294675,-0.181477,-0.826981,-0.025713,-0.011825,0.548596,0.009423,0.006232,0.000000,NaN
77,-0.268631,0.662566,-0.493107,-0.025738,-0.011667,0.548604,0.009336,0.006202,0.000000,NaN
78,0.920030,0.181357,-0.504677,-0.026506,-0.011041,0.547951,0.009259,0.006173,0.000000,NaN
79,-0.809676,-0.454372,0.760406,-0.026607,-0.010896,0.547894,0.009178,0.006144,0.032500,NaN
80,-0.973287,-0.251491,-0.271049,-0.022702,-0.007574,0.541766,0.008896,0.006073,0.000000,NaN
81,-0.657918,-0.267109,0.657341,-0.022833,-0.007477,0.541793,0.008824,0.006045,0.312500,NaN
82,0.999963,0.374495,-0.444403,-0.031846,-0.020735,0.546780,0.009490,0.006273,0.000000,NaN
83,0.783256,0.803654,-0.190892,-0.032310,-0.020233,0.546218,0.009401,0.006244,0.000000,NaN
84,0.485440,0.136618,-0.063992,-0.032661,-0.019747,0.545675,0.009323,0.006216,0.000000,NaN
85,-0.643492,-0.325051,-0.169125,-0.033681,-0.019001,0.546212,0.009183,0.006183,0.372500,NaN
86,-0.486353,0.415680,0.264553,-0.026534,-0.022951,0.556831,0.009664,0.006417,0.000000,NaN
87,-0.138634,-0.493050,-0.365617,-0.011848,-0.034906,0.572504,0.009279,0.006354,0.142500,NaN
88,0.339751,-0.428443,0.484934,-0.009993,-0.033158,0.574462,0.009193,0.006340,0.000000,NaN
89,-0.359612,0.275526,-0.693788,-0.011242,-0.014604,0.566976,0.008912,0.006208,0.000000,NaN
90,-0.390645,-0.302061,-0.119869,-0.011296,-0.014504,0.567028,0.008835,0.006182,0.237500,NaN
91,-0.147859,-0.638278,0.083381,-0.006821,-0.014505,0.574816,0.008856,0.006241,0.000000,NaN
92,0.197291,0.127941,-0.597808,-0.007002,-0.014251,0.574300,0.008796,0.006211,0.345000,NaN
93,-0.239475,-0.330992,-0.598721,-0.006880,-0.015540,0.575170,0.009249,0.006374,0.297500,NaN
94,-0.044278,-0.084897,0.036607,-0.006526,-0.015980,0.574915,0.009527,0.006469,0.495000,NaN
95,-0.660705,-0.935536,0.992506,-0.015250,-0.009535,0.537835,0.011044,0.006716,0.100000,NaN
96,-0.733144,0.988635,-0.313662,-1.000000,-1.000000,1.000000,0.019635,0.019570,0.000000,NaN
97,0.733371,0.604359,-0.428135,-1.000000,-1.000000,1.000000,0.019504,0.019501,0.000000,NaN
98,-0.395756,0.897300,0.705984,-1.000000,-1.000000,1.000000,0.019355,0.019434,0.000000,NaN
99,0.637942,-0.695989,-0.272705,-1.000000,-1.000000,1.000000,0.019141,0.019365,0.000000,NaN
100,-0.663636,0.991151,-0.001473,-1.000000,-1.000000,1.000000,0.018993,0.019295,0.000000,NaN
101,-0.379500,-0.752875,-0.004005,-1.000000,-1.000000,1.000000,0.018863,0.019232,0.000000,NaN
102,-0.152195,0.528953,-0.906476,-1.000000,-1.000000,1.000000,0.018608,0.019097,0.000000,NaN
103,0.834984,0.701179,0.097501,-1.000000,-1.000000,1.000000,0.018471,0.019033,0.000000,NaN
