iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
59,-0.357826,0.656549,0.438199,0.057657,0.078945,-0.234834,0.742868,0.047842,0.000000,NaN
60,-0.744931,-0.536216,-0.415726,0.057873,0.095631,-0.229671,0.735597,0.047816,0.000000,NaN
61,0.317680,0.592209,0.631028,0.057881,0.095522,-0.229734,0.734489,0.047739,0.000000,NaN
62,-0.748507,-0.962955,-0.288758,0.057889,0.095362,-0.229795,0.733365,0.047665,0.000000,NaN
63,-0.602046,-0.114195,-0.266249,0.057897,0.095247,-0.229860,0.732245,0.047593,0.000000,NaN
64,-0.338693,0.140444,-0.384535,0.057905,0.095156,-0.229922,0.731129,0.047522,0.000000,NaN
65,0.360459,0.689142,0.059311,0.057914,0.095063,-0.229978,0.730019,0.047452,0.000000,NaN
66,0.526472,-0.421710,0.166364,0.057922,0.094961,-0.230041,0.728910,0.047381,0.000000,NaN
67,0.476547,0.884835,-0.297209,0.057930,0.094862,-0.230104,0.727806,0.047312,0.000000,NaN
68,0.754069,-0.665340,-0.534780,0.057938,0.094758,-0.230168,0.726707,0.047243,0.000000,NaN
69,0.886253,0.199373,-0.156053,0.057946,0.094661,-0.230230,0.725610,0.047175,0.000000,NaN
70,-0.031631,-0.496104,0.144314,0.054780,0.040246,-0.229128,0.707804,0.045097,0.020000,NaN
71,-0.622805,-0.177557,0.529637,0.054808,0.040296,-0.229361,0.706519,0.045029,0.000000,NaN
72,0.304783,0.962452,0.579382,0.054853,0.040342,-0.229362,0.705316,0.044972,0.000000,NaN
73,0.800245,-0.992180,-0.730011,0.054877,0.040377,-0.229375,0.704152,0.044916,0.000000,NaN
74,0.287385,-0.449968,-0.533860,0.054900,0.040412,-0.229400,0.702995,0.044860,0.000000,NaN
75,0.553704,-0.243484,0.365078,0.054926,0.040439,-0.229419,0.701865,0.044803,0.000000,NaN
76,-0.060854,-0.417871,-0.183880,0.054948,0.040474,-0.229451,0.700716,0.044748,0.117500,NaN
77,0.557127,-0.083320,-0.722016,0.054809,0.040322,-0.229492,0.699797,0.044699,0.000000,NaN
78,0.579371,0.629287,-0.916844,0.054830,0.040356,-0.229516,0.698669,0.044645,0.000000,NaN
79,-0.558040,-0.366237,-0.316240,0.054852,0.040389,-0.229541,0.697543,0.044591,0.217500,NaN
80,-0.872835,-0.272961,0.858639,0.054532,0.040960,-0.233220,0.698658,0.044723,0.495000,NaN
81,0.514394,0.396499,-0.629810,0.054351,0.040714,-0.233060,0.707691,0.045152,0.000000,NaN
82,-0.443494,-0.093105,-0.848900,0.054376,0.040750,-0.233002,0.706694,0.045103,0.000000,NaN
83,0.002266,0.114517,-0.389441,0.054327,0.040746,-0.232967,0.705801,0.045058,0.420000,NaN
84,0.738980,0.251297,0.626150,0.057014,0.037803,-0.222192,0.698892,0.043810,0.000000,NaN
85,-0.202403,-0.126721,0.451481,0.057014,0.037852,-0.222306,0.697965,0.043756,0.000000,NaN
86,0.894632,0.620296,0.974067,0.058510,0.039222,-0.231134,0.694449,0.043636,0.000000,NaN
87,-0.566044,0.309621,0.994613,0.058511,0.039271,-0.231231,0.693518,0.043583,0.000000,NaN
88,-0.480648,0.884228,-0.413981,0.058507,0.039318,-0.231307,0.692590,0.043530,0.000000,NaN
89,-0.106383,0.054258,-0.572789,0.058508,0.039367,-0.231402,0.691667,0.043478,0.525000,NaN
90,-0.412383,-0.308726,-0.927942,0.051828,0.040125,-0.273423,0.701118,0.043053,0.037500,NaN
91,-0.045472,-0.684434,0.708589,0.051777,0.040136,-0.273220,0.700206,0.042993,0.000000,NaN
92,0.506169,-0.683558,-0.419429,0.051773,0.040172,-0.273250,0.699356,0.042947,0.000000,NaN
93,-0.463632,-0.824143,0.563182,0.051770,0.040208,-0.273281,0.698509,0.042900,0.000000,NaN
94,0.994849,0.228299,0.613759,0.051766,0.040244,-0.273312,0.697665,0.042854,0.000000,NaN
95,0.158975,0.469354,-0.962277,0.051765,0.040279,-0.273353,0.696824,0.042809,0.000000,NaN
96,0.477399,-0.685299,-0.632448,0.051767,0.040316,-0.273568,0.695969,0.042764,0.000000,NaN
97,-0.121311,-0.002013,-0.147524,0.051764,0.040351,-0.273598,0.695134,0.042718,0.765000,NaN
98,0.294258,0.387274,0.278396,0.026065,0.030756,-0.232159,0.743866,0.045516,0.000000,NaN
99,-0.311860,-0.232077,0.309964,0.026131,0.030834,-0.232423,0.743208,0.045426,0.265000,NaN
100,0.716960,0.692840,-0.194715,0.022146,0.030935,-0.236557,0.747890,0.044421,0.000000,NaN
101,-0.421468,0.682929,0.223720,0.022138,0.030960,-0.236660,0.747253,0.044354,0.000000,NaN
102,0.361457,0.477498,-0.478490,0.022131,0.030984,-0.236770,0.746599,0.044290,0.000000,NaN
103,-0.730275,0.826073,0.154845,0.022124,0.031009,-0.236878,0.745946,0.044227,0.000000,NaN
104,-0.680003,0.887550,-0.486927,0.022117,0.031033,-0.236987,0.745295,0.044164,0.000000,NaN
105,-0.592482,0.367650,-0.360299,0.022110,0.031058,-0.237097,0.744645,0.044102,0.000000,NaN
106,0.679598,-0.126207,-0.476752,0.022107,0.031081,-0.237242,0.743996,0.044040,0.000000,NaN
107,-0.112772,0.276124,0.539535,0.022099,0.031106,-0.237314,0.743351,0.043979,0.112500,NaN
108,0.818025,-0.669806,0.661246,0.022087,0.031129,-0.237465,0.742641,0.043911,0.000000,NaN
109,-0.115516,-0.932555,-0.732322,0.022080,0.031152,-0.237570,0.742000,0.043851,0.000000,NaN
110,0.429266,-0.230789,0.156353,0.021869,0.031334,-0.239554,0.734741,0.042802,0.000000,NaN
111,-0.460330,0.830321,-0.983630,0.021864,0.031355,-0.239653,0.734111,0.042744,0.000000,NaN
112,-0.613349,-0.299683,-0.811308,0.021864,0.031381,-0.239764,0.733459,0.042688,0.282500,NaN
113,0.685458,0.332987,0.787571,0.021863,0.031352,-0.239714,0.734079,0.042740,0.000000,NaN
114,0.333813,0.019142,-0.760967,0.021866,0.031378,-0.239821,0.733441,0.042684,0.000000,NaN
115,-0.188097,0.231868,-0.600160,0.003917,0.030854,-0.175972,0.725100,0.044191,0.000000,NaN
116,-0.716626,0.785446,-0.834649,0.004031,0.030963,-0.174128,0.724981,0.044138,0.000000,NaN
117,-0.163741,-0.493960,-0.881027,0.003996,0.030984,-0.174264,0.724266,0.044073,0.092500,NaN
118,-0.409163,-0.799369,0.460421,0.003951,0.031008,-0.174415,0.723434,0.043996,0.000000,NaN
119,0.407808,0.369709,-0.140220,0.003917,0.031029,-0.174549,0.722725,0.043932,0.000000,NaN
120,0.975242,-0.007336,0.958310,0.015787,0.031280,-0.197543,0.732333,0.045484,0.000000,NaN
