iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,0.304386,-0.366627,-0.795792,-0.038971,-0.009728,0.353546,0.957572,0.003610,0.000000,NaN
2,0.176447,0.826425,-0.600618,-0.038849,-0.009329,0.353712,0.957568,0.003360,0.000000,NaN
3,0.418000,0.044338,0.062364,-0.038743,-0.008942,0.353822,0.957566,0.003187,0.000000,NaN
4,0.485579,0.418762,-0.585230,-0.038656,-0.008666,0.353942,0.957570,0.003161,0.000000,NaN
5,-0.424565,-0.723307,-0.680879,-0.038581,-0.008422,0.354049,0.957577,0.003181,0.075000,NaN
6,0.666979,-0.555430,-0.599836,-0.038558,-0.008341,0.354082,0.957579,0.003125,0.015000,NaN
7,-0.959258,-0.798936,0.563277,-0.038505,-0.008171,0.354157,0.957586,0.003147,0.000000,NaN
8,0.757285,0.551711,0.565424,-0.038450,-0.007986,0.354235,0.957594,0.003194,0.000000,NaN
9,-0.787591,0.334364,0.299260,-0.038402,-0.007828,0.354305,0.957603,0.003241,0.000000,NaN
10,-0.915328,-0.778780,-0.768537,-0.040336,-0.013534,0.351231,0.937903,0.030451,0.000000,NaN
11,0.082734,-0.245131,0.391073,-0.040270,-0.013329,0.351325,0.937017,0.030365,0.165000,NaN
12,-0.530650,-0.711147,0.567101,-0.044417,0.007869,0.356171,0.938637,0.034560,0.000000,NaN
13,0.505774,-0.759520,0.025022,-0.044334,0.007833,0.356161,0.937653,0.034283,0.000000,NaN
14,0.446474,0.816464,0.525097,-0.044258,0.007762,0.356147,0.936677,0.034028,0.000000,NaN
15,-0.733869,0.496005,0.746636,-0.044189,0.007623,0.356137,0.935709,0.033797,0.000000,NaN
16,-0.620906,0.646800,0.648312,-0.044121,0.007539,0.356122,0.934746,0.033581,0.000000,NaN
17,0.174855,0.826318,-0.251629,-0.044059,0.007457,0.356108,0.933791,0.033383,0.000000,NaN
18,0.706848,-0.270833,-0.870157,-0.044001,0.007416,0.356059,0.932847,0.033196,0.000000,NaN
19,0.284810,0.573003,-0.282963,-0.043944,0.007330,0.356044,0.931900,0.033023,0.000000,NaN
20,0.734209,-0.979143,-0.226990,-0.039807,-0.053134,0.403442,0.934616,0.033193,0.000000,NaN
21,0.961558,-0.853635,0.715363,-0.039807,-0.053009,0.403145,0.933813,0.033057,0.000000,NaN
22,-0.017852,-0.407045,0.753835,-0.039807,-0.052898,0.402871,0.933009,0.032932,0.000000,NaN
23,-0.686786,-0.748682,0.653196,-0.047475,0.245835,0.139733,1.018556,0.065180,0.000000,0.180000
24,0.132178,0.942400,0.707699,-0.038560,0.000181,0.331625,0.769607,0.026792,0.000000,NaN
25,-0.227977,-0.901448,-0.623819,-0.038589,0.001096,0.330192,0.767327,0.026762,0.000000,NaN
26,0.663707,-0.726470,0.661168,-0.038659,0.001924,0.329048,0.765088,0.026732,0.000000,NaN
27,-0.560779,-0.599669,0.866935,-0.038708,0.002943,0.328093,0.762868,0.026699,0.310000,NaN
28,-0.350171,0.069763,0.930142,-0.038668,0.001902,0.329080,0.765103,0.026732,0.160000,NaN
29,-0.786136,-0.347853,-0.241052,-0.038719,0.002698,0.328462,0.763387,0.026705,0.335000,NaN
30,0.523393,0.262920,-0.400498,-0.039049,-0.002290,0.380570,0.927786,0.030837,0.000000,NaN
31,0.928894,-0.349736,0.832862,-0.039055,-0.002298,0.380481,0.927148,0.030790,0.000000,NaN
32,0.341352,0.993093,-0.169177,-0.039061,-0.002309,0.380324,0.926498,0.030744,0.000000,NaN
33,-0.835424,0.750832,0.518392,-0.039066,-0.002320,0.380171,0.925849,0.030699,0.000000,NaN
34,-0.244333,0.099460,-0.525763,-0.039071,-0.002331,0.380022,0.925199,0.030655,0.077500,NaN
35,0.068851,-0.796294,0.757436,-0.036130,-0.003777,0.398685,0.923297,0.030966,0.000000,NaN
36,-0.755193,-0.803895,0.521671,-0.036145,-0.003784,0.398475,0.922624,0.030914,0.000000,NaN
37,-0.166112,0.433514,0.696917,-0.036158,-0.003790,0.398259,0.921951,0.030863,0.067500,NaN
38,-0.789886,0.751519,0.035873,-0.036166,-0.003808,0.398216,0.921186,0.030812,0.000000,NaN
39,0.196730,0.678316,0.690195,-0.036179,-0.003814,0.398013,0.920518,0.030764,0.000000,NaN
40,-0.125347,-0.080560,-0.801844,-0.035889,-0.003828,0.393427,0.919066,0.030513,0.515000,NaN
41,-0.638175,0.886768,0.896317,-0.037758,-0.005656,0.358946,0.924387,0.029491,0.000000,NaN
42,0.421525,0.447190,-0.350109,-0.037765,-0.005655,0.358880,0.923849,0.029476,0.000000,NaN
