iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,-0.013564,-0.335451,-0.555124,-0.163386,-0.404386,-0.549721,0.119996,0.039311,0.022500,NaN
2,-0.565670,-0.792674,0.603774,-0.382394,-0.564854,0.591655,0.091654,0.036564,0.000000,NaN
3,-0.892578,-0.853061,-0.999578,-0.472565,-0.545641,-0.539559,0.052753,0.027973,0.000000,NaN
4,-0.968925,-0.939304,-0.691060,-0.447960,-0.534282,-0.539951,0.051448,0.026888,0.000000,NaN
5,-0.998961,-0.986416,0.252983,-0.364800,-0.490424,-0.536904,0.049535,0.025620,0.000000,NaN
6,-0.995691,0.808720,-0.533258,-0.351875,-0.484927,-0.537440,0.048473,0.024883,0.000000,NaN
7,0.848607,0.980028,0.785284,-0.117754,-0.765797,-0.540672,0.043159,0.024972,0.000000,NaN
8,0.987951,0.993838,-0.814559,-0.113933,-0.751664,-0.541113,0.042263,0.024290,0.000000,NaN
9,0.808123,-0.996834,-0.509168,-0.112952,-0.740912,-0.541524,0.041474,0.023709,0.000000,NaN
10,0.940762,-0.916836,0.969647,0.016604,-0.258441,-1.000000,0.006489,0.011310,0.000000,NaN
11,-0.979061,0.978980,0.909909,0.004363,-0.281259,-0.846534,0.006671,0.010150,0.000000,NaN
12,0.168785,-0.087651,-0.987209,0.000064,-0.256229,-0.851281,0.006668,0.010030,0.167500,NaN
13,0.215194,-0.089404,-0.994161,0.129293,-0.121303,-1.000000,0.014402,0.011785,0.020000,NaN
14,0.155335,0.017255,-0.993524,0.141990,-0.112825,-1.000000,0.015372,0.010164,0.487500,NaN
15,0.184659,0.065851,-0.995489,0.126227,-0.009567,-1.000000,0.039695,0.013445,0.265000,NaN
16,0.130893,0.276968,-0.991085,0.136334,0.039489,-1.000000,0.050814,0.013708,0.065000,NaN
17,0.079437,0.064058,-0.992584,0.134901,0.057207,-1.000000,0.052226,0.012867,0.485000,NaN
18,0.077905,0.075668,-0.998774,0.090831,0.094255,-1.000000,0.073477,0.013951,0.457500,NaN
19,-0.100445,0.187338,-0.990562,0.062236,0.116895,-1.000000,0.092145,0.014603,0.000000,NaN
20,0.103932,0.054290,-0.947053,0.097578,0.051752,-0.995605,0.417068,0.049162,0.557500,NaN
21,0.096138,0.021713,-0.488378,0.103041,0.047930,-0.967548,0.474902,0.044372,0.802500,NaN
22,0.102957,0.033789,-0.209951,0.095539,0.019728,-0.460973,0.679531,0.049973,0.835000,NaN
23,0.099701,0.014590,0.260104,0.098957,0.025702,-0.229166,0.778570,0.044077,0.857500,NaN
24,0.077931,-0.014132,0.135223,0.097465,0.019184,0.025574,0.840352,0.042378,0.907500,NaN
25,0.058262,0.008371,0.311127,0.083812,-0.000297,0.068721,0.894541,0.038888,0.932500,NaN
26,0.061293,0.011586,-0.073089,0.069031,0.006159,0.188734,0.928920,0.034883,0.935000,NaN
27,0.028751,-0.027709,-0.022295,0.067191,0.008009,0.104436,0.942175,0.030024,0.960000,NaN
28,0.031262,-0.022606,0.478093,0.043084,-0.014589,0.048187,0.968221,0.038417,0.850000,NaN
29,0.019824,0.020033,0.046899,0.044148,-0.014108,-0.007965,0.966340,0.039588,0.977500,NaN
30,-0.040158,-0.000917,-0.024355,0.021225,0.001947,0.057531,0.988676,0.017502,0.980000,NaN
31,-0.060717,-0.042716,0.017782,-0.005220,-0.003246,0.010060,0.999920,0.021472,0.795000,1.000000
