seed,initial_seed,N_shots,iterations,stopped_early,restarts,restart_seeds,total_shots,n_train,q_det,q_rec,q_last,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
909858,909858,Inf,100,false,0,,Inf,112,0.99999971656053555,0.99999971656053555,0.99948734040704879,0,0,0,-0,-0,-0,0.56115407382545213,0.3350506200652883,1.5,0.86491211545922231,0.38729758047964224,392.49339485168457
670733,670733,Inf,100,false,0,,Inf,112,0.99999955208157054,0.99999955208157054,0.99762460626143601,0,0,0,-0,-0,-0,0.58957997202027101,0.35099866281889452,1.5,0.93075275976632321,0.38729845368276894,394.82035493850708
400294,400294,Inf,100,false,0,,Inf,112,0.9999997597988961,0.9999997597988961,0.99855235770484696,0,0,0,-0,-0,-0,0.62398586298393921,0.3551122397011689,1.5,0.99924007107621182,0.38729807829862495,398.74731302261353
849665,849665,Inf,100,false,0,,Inf,112,0.99999825314934365,0.99999825314934365,0.99892864248939461,0,0,0,-0,-0,-0,0.60689049957288477,0.37869969114730834,1.5,0.98739723605721197,0.38729835113693739,401.3660409450531
714078,714078,Inf,100,false,0,,Inf,112,0.99999952929627189,0.99999952929627189,0.99856527814009732,0,0,0,-0,-0,-0,0.53423747149588729,0.33079842487462696,1.5,0.72634788014249041,0.38729826909134291,402.31480503082275
473966,473966,Inf,100,false,0,,Inf,112,0.99999982738606186,0.99999982738606186,0.99656783266630855,0,0,0,-0,-0,-0,0.60636770031935361,0.34969897198057681,1.5,0.98331471513900737,0.38730646431982996,381.70210409164429
981559,981559,Inf,100,false,0,,Inf,112,0.9999993509446562,0.9999993509446562,0.99730734214229322,0,0,0,-0,-0,-0,0.58900082092506401,0.33928558646339702,1.5,0.94558838495817432,0.38730392164120836,383.59198880195618
225142,225142,Inf,100,false,0,,Inf,112,0.99999971313782687,0.99999971313782687,0.99802690339529854,0,0,0,-0,-0,-0,0.50062595485054795,0.30645792113818116,1.5,0.7283230941114055,0.38730035469674895,390.76236701011658
318670,318670,Inf,100,false,0,,Inf,112,0.99999808347868502,0.99999808347868502,0.99736488461067963,0,0,0,-0,-0,-0,0.6286405768113722,0.34939810490242013,1.5,0.96468452049013698,0.38729069375346498,395.03675699234009
359405,359405,Inf,100,false,0,,Inf,112,0.99999848642783928,0.99999848642783928,0.99755287507238277,0,0,0,-0,-0,-0,0.59887068995765058,0.36180627049137243,1.5,1.0347857602908634,0.38684118087060082,447.30953693389893
250215,250215,Inf,100,false,0,,Inf,112,0.99999977649296579,0.99999977649296579,0.99841438510178449,0,0,0,-0,-0,-0,0.58095483634153799,0.35597256294344032,1.5,0.96843900137822425,0.3872988735530643,384.77346706390381
558664,558664,Inf,100,false,0,,Inf,112,0.99999830511891319,0.99999830511891319,0.9981616677207551,0,0,0,-0,-0,-0,0.5380188759403115,0.38760265930292931,1.5,0.86029908422164136,0.38729832667689584,388.91450786590576
5937,5937,Inf,100,false,0,,Inf,112,0.99999909403899945,0.99999909403899945,0.99867497398798688,0,0,0,-0,-0,-0,0.60339458889132858,0.37314013716163907,1.5,1.0027974786654301,0.38729930255714001,388.65295886993408
438880,438880,Inf,100,false,0,,Inf,112,0.99999963610168185,0.99999963610168185,0.99221460174097975,0,0,0,-0,-0,-0,0.68300981156284424,0.3437006755089414,1.5,0.98102608042394046,0.38729814947413449,393.35354900360107
615903,615903,Inf,100,false,0,,Inf,112,0.99999981116239167,0.99999981116239167,0.98973218430344068,0,0,0,-0,-0,-0,0.60598965374578695,0.32306019417327048,1.5,0.95210938109010568,0.38729660613632749,394.55300903320312
150574,150574,Inf,100,false,0,,Inf,112,0.99999958319922033,0.99999958319922033,0.99616734880897306,0,0,0,-0,-0,-0,0.61639583175464951,0.3311640447004276,1.5,0.99094466898825262,0.38730162319200767,382.63654112815857
963284,963284,Inf,100,false,0,,Inf,112,0.99999947982925064,0.99999947982925064,0.99890553667640569,0,0,0,-0,-0,-0,0.62057482872354985,0.36405879312692652,1.5,0.9069585234299794,0.38729569964916344,387.69733214378357
473867,473867,Inf,100,false,0,,Inf,112,0.99999967175579396,0.99999967175579396,0.99857225984261022,0,0,0,-0,-0,-0,0.55539133798015494,0.36075419221320831,1.5,0.77069215340206498,0.38729833675669445,384.76587390899658
150918,150918,Inf,100,false,0,,Inf,112,0.99999915357178126,0.99999915357178126,0.99925750054118878,0,0,0,-0,-0,-0,0.68914401384352741,0.39052664095987039,1.5,0.99620104742553639,0.38729785995356214,392.39660000801086
955377,955377,Inf,100,false,0,,Inf,112,0.99999980143653511,0.99999980143653511,0.99426844791440849,0,0,0,-0,-0,-0,0.58821486874180795,0.34806838721951189,1.5,0.88505195874729048,0.38730143550023832,397.88792395591736
902578,902578,Inf,100,false,0,,Inf,112,0.99999909574325985,0.99999909574325985,0.99431830388980591,0,0,0,-0,-0,-0,0.64280469937251483,0.3587969393597118,1.5,1.0027316562508459,0.38729887729298351,384.46177005767822
61646,61646,Inf,100,false,0,,Inf,112,0.99999970471668376,0.99999970471668376,0.99649773170325773,0,0,0,-0,-0,-0,0.60401997549091146,0.35144931665150098,1.5,0.95455666485810708,0.38729848209332468,386.38870406150818
197255,197255,Inf,100,false,0,,Inf,112,0.9999955761487791,0.9999955761487791,0.99783689926762253,0,0,0,-0,-0,-0,0.65038592347638924,0.38565866642924124,1.5,1.018512008825861,0.38729797951384648,390.57217907905579
462583,462583,Inf,100,false,0,,Inf,112,0.99999965611209274,0.99999965611209274,0.99762426247844771,0,0,0,-0,-0,-0,0.56018166497582156,0.34398592526691291,1.5,0.88585965942226774,0.38729821638099338,392.58928418159485
184672,184672,Inf,100,false,0,,Inf,112,0.9999998254089052,0.9999998254089052,0.99583047049864148,0,0,0,-0,-0,-0,0.60090273101115177,0.38687648697220034,1.5,0.97130510655058044,0.38730791176304064,395.61443901062012
831702,831702,Inf,100,false,0,,Inf,112,0.9999998308843111,0.9999998308843111,0.99374986709187896,0,0,0,-0,-0,-0,0.54735133097139577,0.31916787187083256,1.5,0.85345629747838914,0.38729351232376086,384.11722803115845
720308,720308,Inf,100,false,0,,Inf,112,0.99999979987981147,0.99999979987981147,0.99674165974794393,0,0,0,-0,-0,-0,0.56466578860838368,0.35518771372569308,1.5,0.8638490302728743,0.38730014138866103,392.29764103889465
16729,16729,Inf,100,false,0,,Inf,112,0.99999940272786114,0.99999940272786114,0.99939273876993651,0,0,0,-0,-0,-0,0.55355667621617766,0.33809460973342748,1.5,0.941832583312607,0.38729717456014418,388.14956498146057
387749,387749,Inf,100,false,0,,Inf,112,0.9999997384490289,0.9999997384490289,0.99735108643340376,0,0,0,-0,-0,-0,0.63146466936616552,0.33889470832097768,1.5,0.97721753978738146,0.38729907476704845,394.05146908760071
215846,215846,Inf,100,false,0,,Inf,112,0.99999982493422435,0.99999982493422435,0.99953124409710004,0,0,0,-0,-0,-0,0.61327443806749604,0.35187080101390772,1.5,0.93251963101666902,0.38729392729212281,395.48522901535034
312561,312561,Inf,100,false,0,,Inf,112,0.99999939262605764,0.99999939262605764,0.99836761532249318,0,0,0,-0,-0,-0,0.61063376800921654,0.38506507902587611,1.5,0.88411575715619384,0.38729840525338133,382.73253798484802
749598,749598,Inf,100,false,0,,Inf,112,0.99999982071500937,0.99999982071500937,0.99870700398687251,0,0,0,-0,-0,-0,0.64128000191951262,0.36160660004682055,1.5,1.0367786549794589,0.3872991870124956,387.67421388626099
631837,631837,Inf,100,false,0,,Inf,112,0.9999964594979156,0.9999964594979156,0.99824410238052685,0,0,0,-0,-0,-0,0.68681574566243486,0.38025413420826132,1.5,1.0018309652090904,0.38729845350470071,390.61063718795776
746550,746550,Inf,100,false,0,,Inf,112,0.99999924907616444,0.99999924907616444,0.99507623015380775,0,0,0,-0,-0,-0,0.56082415682615816,0.33286564219552756,1.5,0.87759006086025371,0.38729880328205213,394.02081704139709
709734,709734,Inf,100,false,0,,Inf,112,0.99999738723812304,0.99999738723812304,0.99798474948163307,0,0,0,-0,-0,-0,0.64405211473014168,0.35923351978281626,1.5,0.97679920394044661,0.38729386489125112,402.22446703910828
181983,181983,Inf,100,false,0,,Inf,112,0.99999959635984503,0.99999959635984503,0.99631468576917448,0,0,0,-0,-0,-0,0.57034826471956912,0.33312491021779855,1.5,0.93635039432515199,0.38730010868303955,383.71201300621033
279125,279125,Inf,100,false,0,,Inf,112,0.99999927322558657,0.99999927322558657,0.99758665997170948,0,0,0,-0,-0,-0,0.53166517629035703,0.31320738467830245,1.5,0.83849103984990525,0.3872900398279705,384.63990807533264
965652,965652,Inf,100,false,0,,Inf,112,0.99999975522440787,0.99999975522440787,0.99702060500379497,0,0,0,-0,-0,-0,0.60760495017977034,0.3580445856906968,1.5,0.97369788491495468,0.38729835090840137,384.47852516174316
419030,419030,Inf,100,false,0,,Inf,112,0.99999911706537004,0.99999911706537004,0.99620287445147326,0,0,0,-0,-0,-0,0.60624304565097242,0.34661304960856348,1.5,0.95597588620759,0.38729809782056801,386.50574994087219
888571,888571,Inf,100,false,0,,Inf,112,0.99999974011352855,0.99999974011352855,0.99881471447067849,0,0,0,-0,-0,-0,0.63114520916021666,0.36598804924583983,1.5,1.0137723772760545,0.38729654683096337,388.42558717727661
