iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,m_rec_lcb,surrogate_confident,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,y_acq_second,y_rec_check,y_rec_second,q_det_rec,q_det_acq,acq_source,kappa_eff,supported_q,supported_count,health_bad,stagnation_count,restart_id,restart_failure_count,restart_signal,restart_best_signal,restart_triggered,restart_seed,boundary_streak,scout_remaining,stop_supported,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,stopped_early
1,Inf,13,0.99467615979266089,0.99467615979266089,0.015948122927549765,0.97872803686511112,false,0.016085226447271124,-0.016026840852409362,-0.099999999999999992,0.098091874766689069,-0.016558669303120596,-0.074011269925289419,0.9930077523878954,0.019537358085640017,1.0301287327506115,0.90461914834793145,NaN,NaN,NaN,0.99252474837750848,0.90461914834793145,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.97872803686511112,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
2,Inf,14,1,1.0340544232483768,0.012564465492561643,0.98743553450743837,false,-0.099999999999999992,-0.023575386958008534,0.099999999999995662,-0.088401849826830636,-0.026457084738518336,0.098017860785315131,1.028630275067151,0.012435904157885829,1.0522584929671341,0.89676826000072385,NaN,NaN,NaN,0.88138386282112557,0.89676826000072385,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98743553450743837,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
3,Inf,15,1,1.0362910862791197,0.014433106564447153,0.98556689343555282,false,-0.099999999999999992,-0.024257375287064065,-0.099999999999999992,-0.086626351441748684,-0.02837917669666852,-0.092044045790967616,1.0248178278703106,0.013588073960984621,1.0506351683961814,0.90529749565393069,NaN,NaN,NaN,0.88758273924407083,0.90529749565393069,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98556689343555282,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
4,Inf,16,0.99425674721195623,0.99425674721195623,0.004827695229204872,0.98942905198275133,false,0.065042730947298177,-0.025331502843671454,0.0094036429944565625,0.083557812963249128,-0.026893889563729581,0.02284749651029952,0.99209468264053835,0.0068629687371020102,1.0051343232410321,0.91019535470340995,NaN,NaN,NaN,0.93931453067902881,0.91019535470340995,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98942905198275133,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
5,Inf,17,1,1.0015450256571046,0.0049170337744643489,0.9950829662255356,true,-0.05195815309138626,-0.020470807753802292,-0.020076614950515468,-0.095218517470645345,-0.014797493538157319,-0.012182994430033484,1.0001042770777964,0.0075066067266338441,1.0143668298584008,0.90619034275422128,NaN,NaN,NaN,0.96210847618210782,0.90619034275422128,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.9950829662255356,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
6,Inf,18,1,1.0052211188188089,0.0068936984141340849,0.99310630158586588,true,0.014234531846677015,-0.0038203866606891668,0.079619226033550913,0.066863606787858382,-0.0017248961676115948,0.098210747493212791,1.0003719689943544,0.011032124867131158,1.0213330062419037,0.95956695967269634,NaN,NaN,NaN,0.99715302314600263,0.95956695967269634,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99310630158586588,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
7,Inf,19,0.99218591185507654,0.99218591185507654,0.0031137468129060143,0.98907216504217055,false,-0.03541208133571256,-0.0050454015556072995,0.038426735108817174,-0.056561037701694433,-0.002372537468220276,0.011620709899760315,0.98748278592604166,0.006286198133749866,0.99942656238016636,0.96935045951055387,NaN,NaN,NaN,0.98715842847187452,0.96935045951055387,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98907216504217055,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
8,Inf,20,0.98952752466979577,0.98952752466979577,0.0026069341591781359,0.98692059051061765,false,-0.023055065479799096,-0.0067375605371147148,0.065757858307242525,0.095336836086482801,0.030082875223456707,0.070723238896050894,0.96441350424986427,0.016807395112300033,0.99634755496323435,0.91030929045244791,NaN,NaN,NaN,0.99307614315078452,0.91030929045244791,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98692059051061765,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
9,Inf,21,0.98979481956558346,0.98979481956558346,0.0026037511772932661,0.98719106838829018,false,-0.021304943038432809,-0.0067786919915988073,0.067377135848245007,-0.098522797596166001,0.031942329845997458,-0.091517673077245523,0.9782917587101273,0.0096979516291034167,0.99671786680542374,0.8897364693527805,NaN,NaN,NaN,0.99377780350476896,0.8897364693527805,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98719106838829018,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
10,Inf,22,1,1.003419224768032,0.011456428024640943,0.98854357197535903,false,0.000227810915161022,-0.00062413729818777675,0.022501980502685329,0.0067198156741612863,0.0045364944411220021,0.085634084082737483,1.0014117032217906,0.013486741581777562,1.0270365122271681,0.99901322336820986,NaN,NaN,NaN,0.9999985115134532,0.99901322336820986,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98854357197535903,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
11,Inf,23,1,1.0017508483912145,0.0069376225879352301,0.99306237741206482,true,-0.00081041114053222001,-0.0015950480059937827,0.007050330036925948,0.018643088623232676,8.2925600970631952e-05,-0.098949721859164674,0.99502898165775722,0.014874858076726305,1.0232912120035371,0.99506334940506203,NaN,NaN,NaN,0.999973804857613,0.99506334940506203,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99306237741206482,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
12,Inf,24,1,1.0017604883841582,0.0051847352826547288,0.99481526471734527,true,-0.00080490919616850562,-0.0016034334438557762,0.0067306014050665429,-0.010636716159244261,-0.00032943165644017114,-0.071053182571916784,0.99917376009286851,0.0071928494757554752,1.0128401740968038,0.9979737615833032,NaN,NaN,NaN,0.99997318015486514,0.9979737615833032,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99481526471734527,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
13,Inf,25,1,1.0012411840233593,0.0040794619498579912,0.99592053805014202,true,0.00058418758899035205,-0.0015352719182183084,0.018051288058112545,-0.0019556069732487441,-0.0067159437938558997,0.095345926408157311,0.99847448110871051,0.0067744480599220783,1.0113459324225624,0.99750791931298544,NaN,NaN,NaN,0.99998400249016994,0.99750791931298544,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99592053805014202,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
14,Inf,26,1,1.0009472509278863,0.0034309360404119926,0.996569063959588,true,0.00083361765724789167,-0.00065374195470344152,0.012936342114773611,-0.018206970446725548,0.0093116202888526151,0.094569377079460754,0.99423205838647677,0.0076140561166756658,1.0086987650081605,0.99497206495879587,NaN,NaN,NaN,0.99998049396027555,0.99497206495879587,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.996569063959588,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
15,Inf,27,1,1.0009257295796672,0.0034067269402654897,0.99659327305973455,true,0.00014562328049832313,-0.00041432982949875198,0.014515962717482123,0.011303050808030776,-0.0079452094747503033,-0.014208698388786981,0.99826490295937975,0.0051530591430982136,1.0080557153312664,0.99758354192166654,NaN,NaN,NaN,0.99998255691853843,0.99758354192166654,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99659327305973455,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
16,Inf,28,1,1.0007435670307108,0.0031268507063847667,0.99687314929361526,true,-0.00059793149414537328,0.00021879356611190158,0.019115657163104149,0.00061778238083447234,0.0064606310423112878,-0.025925549909440057,0.998889321955992,0.0042487104595236823,1.0069618718290869,0.99756683139304936,NaN,NaN,NaN,0.99995802359686004,0.99756683139304936,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99687314929361526,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
17,Inf,29,1,1.00025028531069,0.0026497271520940701,0.99735027284790589,true,-0.00088907387168898368,-0.00068421230825871208,0.029116094255644164,-0.011160849140459075,-0.00067155569264838733,0.042682549537021025,0.99934500705810136,0.0032425597016892517,1.0055058704913109,0.99879121177617192,NaN,NaN,NaN,0.99998979562311174,0.99879121177617192,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99735027284790589,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
