iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,m_rec_lcb,surrogate_confident,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,y_acq_second,y_rec_check,y_rec_second,q_det_rec,q_det_acq,acq_source,kappa_eff,supported_q,supported_count,health_bad,stagnation_count,restart_id,restart_failure_count,restart_signal,restart_best_signal,restart_triggered,restart_seed,boundary_streak,scout_remaining,stop_supported,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,stopped_early
1,Inf,13,1,1.0024020693948739,0.019481912169194055,0.98051808783080596,false,-0.099999999999999992,-0.012339969559166273,-0.099999999999999992,-0.098036278724260933,-0.011608189727707247,-0.083317303015366759,1.0022329963048786,0.019027024103944797,1.0383843421023737,0.90434345827922402,NaN,NaN,NaN,0.90014326654304566,0.90434345827922402,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98051808783080596,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
2,Inf,14,1,1.0212054195770812,0.012465463701727986,0.98753453629827204,false,0.099999999999999992,-0.016143070232974874,0.099999999999999992,0.098102203767742119,-0.018450303101056692,0.06898323663380343,1.0163410871145739,0.013142066688799242,1.0413110138232926,0.8996730506799635,NaN,NaN,NaN,0.8989715299081017,0.8996730506799635,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98753453629827204,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
3,Inf,15,1,1.0141049932315342,0.015591273809834275,0.98440872619016573,false,-0.099999999999999992,-0.027842393953727059,0.099999999999999992,-0.098301190445152065,-0.029175700184177575,0.057055583346441757,1.0127425215413817,0.013323967581144359,1.038058059945556,0.87647879468365975,NaN,NaN,NaN,0.87333789048751054,0.87647879468365975,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98440872619016573,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
4,Inf,16,1,1.0072341176940451,0.0060822974578631367,0.99391770254213685,true,0.067899682447327539,-0.0036647081336020019,0.099999999999999992,0.094732909211700606,-0.0019453672959882928,0.074234242411842483,1.0041282135080003,0.0085370941509129907,1.0203486923947349,0.92195457182307328,NaN,NaN,NaN,0.9574460422502562,0.92195457182307328,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99391770254213685,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
5,Inf,17,1,1.007355545096952,0.013912956960571999,0.98608704303942796,false,-0.074529452070106833,0.014321650472175099,0.099999999999999992,-0.085348607171751745,0.013774294937365109,0.095335044219885007,1.0061718934353301,0.014584907226637377,1.0338832171659411,0.93285399844251482,NaN,NaN,NaN,0.94736526775956054,0.93285399844251482,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98608704303942796,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
6,Inf,18,0.9947472670450096,0.9947472670450096,0.0039893927904516057,0.99075787425455797,true,-0.00097866242707018991,-0.02544631674973313,-0.099999999999999992,0.096408377039117588,0.030753573169859022,0.083816254790145178,0.97902739608950018,0.012287663441396972,1.0023739566281544,0.90880801842452175,NaN,NaN,NaN,0.98609934903591145,0.90880801842452175,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99075787425455797,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
7,Inf,19,0.9956525306981755,0.9956525306981755,0.0019774148986542008,0.99367511579952128,true,-0.0010356419548954196,-0.0082148808904515796,0.099999999999999992,0.024541424056778241,-0.025693509521381497,-0.097417244339352754,0.99298862933358345,0.0048573880132725808,1.0022176665588014,0.97906348964288625,NaN,NaN,NaN,0.9965548214064226,0.97906348964288625,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99367511579952128,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
8,Inf,20,0.99656056187409781,0.99656056187409781,0.0021088994188333586,0.9944516624552644,true,-0.0034509580978836431,-0.0083624258156600809,0.099999999999999992,-0.02014071563453719,-0.0094355558502468018,0.096725935199715146,0.99328273815407497,0.0031101342483235324,0.9991919932258897,0.99192217425297879,NaN,NaN,NaN,0.99635915759771643,0.99192217425297879,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.9944516624552644,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
9,Inf,21,0.99576529488937404,0.99576529488937404,0.00087966682342166384,0.99488562806595238,true,-0.00067226543954426287,-0.0083382077387102547,0.099999999999999992,0.091509562810430822,0.016050157533267662,-0.098692779245362378,0.97639792950884119,0.010401175305830486,0.99616016258991913,0.91923363249110124,NaN,NaN,NaN,0.99648246549002784,0.91923363249110124,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99488562806595238,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
10,Inf,22,1,1.0062985429299038,0.010090519616256335,0.98990948038374371,false,0.00071578012244344726,-0.003684043823348014,-0.051609161292817333,-0.0043473675424606506,0.0027685495754335293,-0.087004008949022715,1.0039141584621909,0.012906433862349031,1.028436382800654,0.9975440328696018,NaN,NaN,NaN,0.99962082121396045,0.9975440328696018,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98990948038374371,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
11,Inf,23,1,1.0022792272483732,0.0047375351322193763,0.99526246486778058,true,0.0017279872700624768,-0.0056333915604281524,-0.019439716485050398,9.1749240959809741e-06,0.0056878551503452834,0.078696726434502845,0.99769615036898607,0.0076749724269075245,1.0122785979801103,0.99915483299531571,NaN,NaN,NaN,0.99948976222310137,0.99915483299531571,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99526246486778058,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
