iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,m_rec_lcb,surrogate_confident,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,y_acq_second,y_rec_check,y_rec_second,q_det_rec,q_det_acq,acq_source,kappa_eff,supported_q,supported_count,health_bad,stagnation_count,restart_id,restart_failure_count,restart_signal,restart_best_signal,restart_triggered,restart_seed,boundary_streak,scout_remaining,stop_supported,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,stopped_early
1,Inf,13,1,1.0116888401164887,0.02266581579239782,0.97733418420760221,false,-0.062621246094816577,-0.010280594581682538,-0.099999999999999992,0.098401542666653796,-0.0072615184192730275,-0.088473123082198596,1.0078709931923424,0.026218480205108863,1.0576861055820492,0.91173495584039133,NaN,NaN,NaN,0.95909689898729145,0.91173495584039133,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.97733418420760221,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
2,Inf,14,1,1.0293923475823394,0.012331192179281388,0.98766880782071864,false,-0.099999999999999992,-0.0078215180437089631,0.099999999999999992,-0.090550561218858544,0.0066521999902200424,0.095977408649805168,1.0179782692212296,0.020252338020281993,1.0564577114597653,0.92585094533486689,NaN,NaN,NaN,0.9026281529313801,0.92585094533486689,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98766880782071864,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
3,Inf,15,1,1.0259485482369322,0.01353973218271955,0.98646026781728047,false,-0.099999999999999992,-0.014448790342810434,0.059187352660050895,-0.098048905520317808,-0.01654867806912641,0.074430345477124293,1.0239644536377837,0.016083647953569806,1.0545233847495663,0.89695973950873475,NaN,NaN,NaN,0.89653304456930338,0.89695973950873475,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98646026781728047,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
4,Inf,16,1,1.0021045822668053,0.0035654812733521379,0.9964345187266479,true,0.0029147937169083041,-0.0060613923874878401,0.04362705731947706,0.076536325541065681,-0.0044704355641333599,0.072999238352352475,0.99371913775279641,0.011374211698767863,1.0153301399804553,0.94660194299540912,NaN,NaN,NaN,0.99880863575973067,0.94660194299540912,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.9964345187266479,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
5,Inf,17,1,1.0178519730684163,0.0085572745448232023,0.99144272545517675,true,-0.099999999999999992,-0.006147971567158724,0.0056876959682983152,-0.090524148545094232,-0.003800067308316904,-0.0017636246776776832,1.012998339614724,0.0095496404400432187,1.0311426564508062,0.92238098144983993,NaN,NaN,NaN,0.90483871340884636,0.92238098144983993,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99144272545517675,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
6,Inf,18,1,1.0041419184188531,0.0033537799132336709,0.99664622008676629,true,0.030984422008419395,-0.010042375227724503,0.035039432997202614,-0.078745118151550261,0.016478713313737223,-0.090568800342583397,0.99615759494964451,0.012349239902368338,1.0196211507641444,0.93365498222061594,NaN,NaN,NaN,0.98782706830568057,0.93365498222061594,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99664622008676629,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
7,Inf,19,1,1.0047225445429921,0.0034413038677201095,0.99655869613227988,true,0.032284210315137202,-0.010099272509609738,0.032434549807736787,0.082281901735519719,0.02214850903836374,0.066618308624606354,0.98919440117355129,0.016555410210962729,1.0206496805743805,0.93443137459081371,NaN,NaN,NaN,0.98706156361845021,0.93443137459081371,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99655869613227988,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
8,Inf,20,1,1.0043135988175211,0.0032825256732785107,0.99671747432672153,true,0.031754115762086331,-0.010056512110223887,0.033476290460828395,0.093731523185623777,-0.031062925266357677,-0.087540898734654204,0.9892671437492494,0.013259803994339233,1.0144607713384939,0.88997403031164446,NaN,NaN,NaN,0.9873899911213353,0.88997403031164446,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99671747432672153,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
9,Inf,21,1,1.0040148899941352,0.0029321444728783673,0.99706785552712163,true,0.023627852297382866,-0.0099421526769105303,0.029959358551315599,0.012918629825218325,-0.011105724207271364,0.031663332745675288,1.0011428612662789,0.0035804976825545864,1.0079458068631326,0.99487792263816643,NaN,NaN,NaN,0.99184756620015968,0.99487792263816643,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99706785552712163,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
10,Inf,22,1,1.0020151316416668,0.0079780015817736884,0.99202199841822636,true,-0.0021392203472335,-0.0036223677831857186,-0.056271755205255097,-0.0063366878213929334,-0.0035002296331050342,-0.099232664692131545,1.0012853817150185,0.010217475203779617,1.0206985846021996,0.99857620755196408,NaN,NaN,NaN,0.99953929755661763,0.99857620755196408,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99202199841822636,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
11,Inf,23,1,1.0003232093838421,0.003428235313816082,0.99657176468618391,true,-0.0016727790648743217,-0.0031247655690427247,-0.021895168025746571,0.0082299782705065605,0.0099390198793299217,0.093655661410395913,0.99328782338068078,0.011012001705194239,1.0142106266205497,0.99697728471891212,NaN,NaN,NaN,0.99981642543332583,0.99697728471891212,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99657176468618391,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
12,Inf,24,1,1.0008914848060186,0.0039663464492483086,0.99603365355075169,true,2.7422182695700141e-05,-0.00018952854756727592,0.0053700834318839647,0.0050781083379641545,0.0041321205453193899,0.012930370760753318,1.0001688314475863,0.0045513579811441223,1.0088164116117602,0.99894655763559126,NaN,NaN,NaN,0.9999388411393807,0.99894655763559126,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99603365355075169,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
13,Inf,25,1,1.0000518008725883,0.0022916918193819748,0.99770830818061806,true,-0.001799583527171755,-0.0024585866387168052,-0.0098101665733594592,-0.014165721441411344,0.0067062284511073822,0.09204493330003069,0.99596415562729479,0.0054250941458188606,1.0062718345043506,0.99707918066349377,NaN,NaN,NaN,0.99988642616036505,0.99707918066349377,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99770830818061806,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
14,Inf,26,1,1.0000775127485608,0.0021339935057999759,0.99786600649419999,true,-0.0020751409121704681,-0.0013510879312360208,0.0043492768413346088,0.018716447942928302,-0.011139944822036091,-0.099726793917964199,0.99249726579678577,0.0073585671386569998,1.0064785433602341,0.99429168583129335,NaN,NaN,NaN,0.99993573571754246,0.99429168583129335,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99786600649419999,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
15,Inf,27,1,1.0000549016213176,0.002258234629620012,0.99774176537037995,true,-0.0014416497496055796,-0.0022889982203033693,-0.0071638523067268766,-0.0040629591247396818,-0.0093421240175618758,-0.03647085603058664,0.99910808083182767,0.0030267409816398514,1.0048588886969434,0.99828814998369475,NaN,NaN,NaN,0.99991124200216175,0.99828814998369475,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99774176537037995,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
16,Inf,28,0.99995875377833865,0.99995875377833865,0.0020459851580403661,0.99791276862029832,true,-0.0012862411315834412,0.00051320521322427155,0.039688238322933396,-0.0018917558155879394,-0.0020336299306098482,0.097153980879666618,0.99882011719778263,0.0034409732697489124,1.0053579664103056,0.99920032441008833,NaN,NaN,NaN,0.99995015361741302,0.99920032441008833,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99791276862029832,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
17,Inf,29,1,1.0000985421128745,0.0016786280132724801,0.99832137198672755,true,-0.00083948771567022337,0.00074871265080176134,0.053680367363363138,-0.0081107270841256768,0.00086247830357497057,0.010912216443321965,0.99945345730568336,0.0024542857585038418,1.0041166002468407,0.99925033692414289,NaN,NaN,NaN,0.99992446569654903,0.99925033692414289,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99832137198672755,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
18,Inf,30,1,1.0000303754073567,0.0014413996782327877,0.99855860032176724,true,-0.00029455547283651994,0.00089273521600853091,0.058490859338879493,0.015717065534399707,0.00039096453435352729,-0.046440534369939404,0.99699611216926542,0.0035641913385716286,1.0037680757125516,0.99702176077885751,NaN,NaN,NaN,0.99990992911375587,0.99702176077885751,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99855860032176724,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
19,Inf,31,1,1.0000285949094889,0.0014214534110931676,0.99857854658890688,true,-0.00029166871866721794,0.00088261150552501741,0.058443024979977151,0.016221879314917809,-0.00036987602040428058,0.091660221869356795,0.99716464485920053,0.0034553339435031915,1.0037297793518567,0.99716451076180479,NaN,NaN,NaN,0.99991048169058738,0.99716451076180479,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99857854658890688,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
20,Inf,32,1,1.0001340639423431,0.0012991568121712939,0.9987008431878287,true,-0.00023856940426209434,0.00087920007772104793,0.059986272664988446,-0.0027990989339420069,0.0010313352511223395,0.04728884349798998,1.0000377707405157,0.0011990311774812748,1.0023159299777302,0.9998583616848522,NaN,NaN,NaN,0.99990494303434208,0.9998583616848522,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.9987008431878287,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
21,Inf,33,0.99995796441111584,0.99995796441111584,0.00058645229821965459,0.99937151211289621,true,-7.6994866495833948e-05,0.00097514554130588907,0.064474441505930694,0.00038405568851027083,-0.00089618135934532717,-0.02409301485265733,0.99960742961429472,0.001327499702574133,1.0021296790491856,0.99979210782400174,NaN,NaN,NaN,0.99988390166307439,0.99979210782400174,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99937151211289621,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
22,Inf,34,0.99995987311928936,0.99995987311928936,0.00055803747264322875,0.99940183564664609,true,2.9172847174486756e-05,0.00079333269659519646,0.062450920474962458,-0.0016982512683099554,0.0039045942131808314,-0.083791842745091577,0.99739010445584653,0.0024596085394930339,1.0020633606808833,0.99728616188261876,NaN,NaN,NaN,0.99989692558135967,0.99728616188261876,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99940183564664609,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
23,Inf,35,0.99996008033123196,0.99996008033123196,0.00055007909378809706,0.99941000123744383,true,5.7080444504585797e-05,0.00075877277602014008,0.061961194558547934,0.0041985231299220549,-0.0058179115789966512,-0.085386245962294896,0.99905537631271046,0.0014274290174674503,1.0017674914458987,0.99898459840171638,NaN,NaN,NaN,0.99989974760820155,0.99898459840171638,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99941000123744383,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
24,Inf,36,0.99996107913792598,0.99996107913792598,0.00054788553550148551,0.99941319360242453,true,6.1841465889441127e-05,0.00075838687481677891,0.062017888292926759,-0.0023552310493839962,0.0022002829782494376,0.097023434626880345,0.99965638538552171,0.00098070247782570995,1.0015197200933905,0.9995846559008098,NaN,NaN,NaN,0.99989948265892314,0.9995846559008098,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99941319360242453,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
