iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,m_rec_lcb,surrogate_confident,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,y_acq_second,y_rec_check,y_rec_second,q_det_rec,q_det_acq,acq_source,kappa_eff,supported_q,supported_count,health_bad,stagnation_count,restart_id,restart_failure_count,restart_signal,restart_best_signal,restart_triggered,restart_seed,boundary_streak,scout_remaining,stop_supported,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,stopped_early
1,1300000,13,0.67850548578896663,0.67850548578896663,0.0049568687796871288,0.67364775438487323,false,0.12467960317516526,0.044646063422162666,-0.12482665430814456,0.094641989858268882,0.10017525231302149,0.0006457889817927942,0.60073907297823992,0.094672369993160643,0.78061657596524514,0.55640000000000001,NaN,NaN,NaN,0.67106248936362878,0.55593915422515816,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.67364775438487323,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
2,1400000,14,0.67999867542525294,0.67999867542525294,0.011993527705508171,0.66824501827385496,false,0.12926068179063596,0.03621948503297974,-0.14487861882589914,0.16834217700717202,0.026902320540145519,0.28684889502410549,0.58451416900536945,0.11926302486412514,0.81111391624720719,0.5838000000000001,NaN,NaN,NaN,0.67437929506778993,0.58880959607305017,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.66824501827385496,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
3,1500000,15,0.6802058508837947,0.6802058508837947,0.014187512076928288,0.66630208904840493,false,0.12918156073940468,0.035876224713113018,-0.15192440309317862,0.18029794258142573,0.083671793897867275,-0.47029285780018037,0.55523991571756093,0.14704319117165729,0.83462197894370971,0.30544000000000004,NaN,NaN,NaN,0.67419531870514227,0.30617530438472862,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.66630208904840493,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
4,1600000,16,0.7091898587076364,0.7091898587076364,0.049394641386443658,0.66078311014892166,false,0.11259409887013452,0.022659465399976347,0.014973303429354557,0.080623659291545247,0.003617130076007502,0.20734571102056409,0.65509493793828599,0.11434312087877872,0.87234686760796554,0.88762000000000008,NaN,NaN,NaN,0.77766134513857932,0.88658450994762139,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.66078311014892166,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
5,1700000,17,0.89010936029578369,0.89010936029578369,0.016172450505238425,0.87426035880065001,false,0.080145004178719115,-0.0033467971589974626,0.23468781017690574,0.09252886307124486,-0.07213963283767999,0.43155431364939689,0.7493856986659706,0.14455519960254734,1.0240405779108106,0.37159999999999993,NaN,NaN,NaN,0.87813614825159181,0.36743893847233533,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.87426035880065001,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
6,1800000,18,0.90381724511420469,0.90381724511420469,0.024815819686532258,0.87949774182140306,false,0.075794189143906163,0.016524018383147022,0.18302657737897168,0.039911645810281504,0.031912429745176274,0.381660922219345,0.80806158297711661,0.10913301878385336,1.0154143186664379,0.9356199999999999,NaN,NaN,NaN,0.8971690914425996,0.93482412135892679,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.87949774182140306,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
7,1900000,19,0.94558249957697427,0.94558249957697427,0.028378462629902883,0.91777160619966947,false,0.052927336622312193,0.027860348410069007,0.29898793667353263,0.020838487295590902,0.031179762176776649,0.087584343574530266,0.86749407282937296,0.10567179816498823,1.0682704893428505,0.94378000000000006,NaN,NaN,NaN,0.9262082326461677,0.94365257496108246,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.91777160619966947,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
8,2000000,20,0.96316106284643999,0.96316106284643999,0.03547180977475993,0.92839868926717528,false,0.041024205147451337,0.026420724215774599,0.16960725138683197,-0.022291816486528893,0.065351507431498979,0.42361496228653217,0.78407646154705779,0.16088847490230232,1.0897645638614322,0.8339399999999999,NaN,NaN,NaN,0.94250679358830269,0.83496371326166485,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.92839868926717528,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
9,2100000,21,0.95874145314311354,0.95874145314311354,0.030388490731455969,0.92896073222628672,false,0.038747628581942396,0.027878143674548116,0.17986401016097095,0.049747510795286498,0.013849981386796939,-0.44489581798412958,0.77437425879735655,0.1466995779595518,1.0531034569205049,0.87988,NaN,NaN,NaN,0.94225149461985758,0.88103684526105663,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.92896073222628672,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
10,2200000,22,0.9546736616841256,0.9546736616841256,0.023287561905009153,0.93185185101721668,false,0.037868844285060412,0.022205804956092885,0.14311575173483196,-0.0010149594995243483,0.003850973810800129,0.17320442569046279,0.88371470938850893,0.076242789861578245,1.0285760101255077,0.99712000000000001,NaN,NaN,NaN,0.95424327457627733,0.9970620331368284,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.93185185101721668,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
