iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,m_rec_lcb,surrogate_confident,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,y_acq_second,y_rec_check,y_rec_second,q_det_rec,q_det_acq,acq_source,kappa_eff,supported_q,supported_count,health_bad,stagnation_count,restart_id,restart_failure_count,restart_signal,restart_best_signal,restart_triggered,restart_seed,boundary_streak,scout_remaining,stop_supported,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,stopped_early
1,1300000,13,0.25282110962480153,0.25282110962480153,0.0090014298580112749,0.24399970836395049,false,0.039501174601276945,0.22569851495782345,0.46991183660379965,0.31428335241022487,0.31752230381901625,0.49997734311417807,0.22950997002562112,0.037936139686456184,0.3015886354298879,0,NaN,NaN,NaN,0.20813301486074318,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.24399970836395049,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
2,1400000,14,0.30163130724779091,0.30163130724779091,0.021988302814245683,0.28008277048983016,false,-0.19466575715199447,0.14158476491619146,0.43537701883235203,-0.45757762509852773,0.11745207908189559,0.43102950294138398,0.28653658564764783,0.035568317100968319,0.35411638813948765,0,NaN,NaN,NaN,0.18552056668297062,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.28008277048983016,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
3,1500000,15,0.27140400226642158,0.27140400226642158,0.015033204282305115,0.25667146206976255,false,0.17560727165662815,0.17858776872261772,0.44216845116780618,0.45267938607879232,0.11650884453034904,0.42396748398918627,0.24231952721803213,0.034575108616229172,0.30801223358886753,0,NaN,NaN,NaN,0.31956377418499249,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.25667146206976255,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
4,1600000,16,0.25544905747288565,0.25544905747288565,0.0038860812107674243,0.25164069788633359,false,-0.013680410593433869,0.22014330675203903,0.45907037754782898,-0.092531479416000151,0.26040191156215386,0.45653178857846943,0.24146291894726493,0.012568720085662006,0.26534348711002276,0.017099999999999921,NaN,NaN,NaN,0.17647577391773295,0.012939869271056698,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.25164069788633359,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
5,1700000,17,0.36911364590203249,0.36911364590203249,0.019726311468881749,0.34978186066252837,false,0.085139639973870848,0.10987235296380886,0.48486262222301907,0.075835323623648199,0.083742374214029081,0.48297966405222859,0.36399188297588758,0.021785478604809089,0.40538429232502482,0.71629999999999994,NaN,NaN,NaN,0.59831366970597943,0.71401422959808336,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.34978186066252837,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
6,1800000,18,0.81447288587179711,0.81447288587179711,0.036121090416022475,0.77907421726409509,false,0.063636724200727898,0.020111931253328452,0.49999999341907103,0.027042135525364275,-0.096859575475633397,0.49389502963671816,0.71506666248478568,0.076133974842397145,0.85972121468534024,0.22754000000000002,NaN,NaN,NaN,0.90990448950852121,0.22950794924572371,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.77907421726409509,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
7,1900000,19,0.74854458161469928,0.74854458161469928,0.020892602695377686,0.72806983097322919,false,0.079517671759622127,0.08771349304043885,0.49879643167738208,0.2646606930495421,0.060910224066747176,0.49915856790121382,0.67204300131220251,0.035895648872375292,0.74024473416971559,0.16372,NaN,NaN,NaN,0.69481219743468892,0.16562758846719161,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.72806983097322919,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
8,2000000,20,0.80804215897939835,0.80804215897939835,0.018062136988624744,0.79034126473054611,false,-0.069918554451106243,0.078042496810732165,0.48212545005947655,-0.1577284373632315,0.072593623238168981,0.49149453088248052,0.77984270628885222,0.032850437355040132,0.84225853726342848,0.55255999999999994,NaN,NaN,NaN,0.7366525671769858,0.55285503671467162,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.79034126473054611,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
9,2100000,21,0.76452822100895457,0.76452822100895457,0.012506448040659819,0.75227190192910798,false,0.02243005223338734,0.077742113349338421,0.47397297169678587,0.068585605272747152,0.067581032601182978,0.47464441472615904,0.7443437180824346,0.012866317129813926,0.76878972062908102,0.7845399999999999,NaN,NaN,NaN,0.78080978243729038,0.78708802984144455,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.75227190192910798,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
10,2200000,22,0.81914728614522225,0.81914728614522225,0.050162689512136004,0.76998785042332896,false,0.03509316367256201,0.057757267180996684,0.49999999999999994,-0.019439945320359753,0.050042247064398193,0.3523838871783036,0.76974615481107911,0.098495058442839192,0.95688676585247356,0.89874000000000009,NaN,NaN,NaN,0.86074851366382876,0.89663336452605202,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.76998785042332896,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
