score_mode,N,seed,selected_rank,iter,n_train,axis,x_u,x_physical,physical_unit,mu,sigma
full_l1,100,387749,1,10,22,fcl,-0.5,-5,kHz,0.29513713268817759,0.14248864169917413
full_l1,100,387749,1,10,22,fcl,-0.495,-4.9500000000000002,kHz,0.29587750582267414,0.13997864891379189
full_l1,100,387749,1,10,22,fcl,-0.48999999999999999,-4.9000000000000004,kHz,0.29672848828043907,0.13745322728455733
full_l1,100,387749,1,10,22,fcl,-0.48499999999999999,-4.8499999999999996,kHz,0.29769258506771773,0.13491603516896267
full_l1,100,387749,1,10,22,fcl,-0.47999999999999998,-4.7999999999999998,kHz,0.29877227275400875,0.13237112612002805
full_l1,100,387749,1,10,22,fcl,-0.47499999999999998,-4.75,kHz,0.29996999659943013,0.12982296843217775
full_l1,100,387749,1,10,22,fcl,-0.46999999999999997,-4.7000000000000002,kHz,0.30128816756631321,0.12727646086284175
full_l1,100,387749,1,10,22,fcl,-0.46500000000000002,-4.6500000000000004,kHz,0.30272915916320164,0.1247369428660101
full_l1,100,387749,1,10,22,fcl,-0.46000000000000002,-4.5999999999999996,kHz,0.30429530405978183,0.12221019731644374
full_l1,100,387749,1,10,22,fcl,-0.45500000000000002,-4.5499999999999998,kHz,0.30598889040198174,0.1197024433233707
full_l1,100,387749,1,10,22,fcl,-0.45000000000000001,-4.5,kHz,0.30781215774815274,0.11722031635425539
full_l1,100,387749,1,10,22,fcl,-0.44500000000000001,-4.4500000000000002,kHz,0.30976729254107038,0.11477083255088452
full_l1,100,387749,1,10,22,fcl,-0.44,-4.4000000000000004,kHz,0.31185642302781102,0.11236133387763722
full_l1,100,387749,1,10,22,fcl,-0.435,-4.3499999999999996,kHz,0.31408161354215292,0.10999941067172579
full_l1,100,387749,1,10,22,fcl,-0.42999999999999999,-4.2999999999999998,kHz,0.31644485807421008,0.10769279836392212
full_l1,100,387749,1,10,22,fcl,-0.42499999999999999,-4.25,kHz,0.31894807307187456,0.10544924571770749
full_l1,100,387749,1,10,22,fcl,-0.41999999999999998,-4.2000000000000002,kHz,0.32159308945065496,0.10327635301012091
full_l1,100,387749,1,10,22,fcl,-0.41499999999999998,-4.1500000000000004,kHz,0.32438164383454071,0.1011813802459051
full_l1,100,387749,1,10,22,fcl,-0.40999999999999998,-4.0999999999999996,kHz,0.32731536911122061,0.09917102780482559
full_l1,100,387749,1,10,22,fcl,-0.40500000000000003,-4.0500000000000007,kHz,0.33039578445907147,0.097251194827418772
full_l1,100,387749,1,10,22,fcl,-0.40000000000000002,-4,kHz,0.33362428508661768,0.095426723973810967
full_l1,100,387749,1,10,22,fcl,-0.39500000000000002,-3.9500000000000002,kHz,0.33700213201004636,0.093701144613008366
full_l1,100,387749,1,10,22,fcl,-0.39000000000000001,-3.8999999999999999,kHz,0.34053044226975993,0.092076429531281256
full_l1,100,387749,1,10,22,fcl,-0.38500000000000001,-3.8500000000000001,kHz,0.34421018003942183,0.090552782299988324
full_l1,100,387749,1,10,22,fcl,-0.38,-3.7999999999999998,kHz,0.34804214909679282,0.089128472930090519
full_l1,100,387749,1,10,22,fcl,-0.375,-3.75,kHz,0.35202698709419944,0.087799737927888533
full_l1,100,387749,1,10,22,fcl,-0.37,-3.7000000000000002,kHz,0.35616516198341058,0.086560757222673188
full_l1,100,387749,1,10,22,fcl,-0.36499999999999999,-3.6499999999999999,kHz,0.36045697081971706,0.085403714937485373
full_l1,100,387749,1,10,22,fcl,-0.35999999999999999,-3.6000000000000001,kHz,0.3649025410070566,0.084318944305040333
full_l1,100,387749,1,10,22,fcl,-0.35499999999999998,-3.5499999999999998,kHz,0.36950183387124064,0.0832951501697929
full_l1,100,387749,1,10,22,fcl,-0.34999999999999998,-3.5,kHz,0.37425465028546018,0.082319696517287766
full_l1,100,387749,1,10,22,fcl,-0.34499999999999997,-3.4499999999999997,kHz,0.37916063794224997,0.081378942215124123
full_l1,100,387749,1,10,22,fcl,-0.34000000000000002,-3.4000000000000004,kHz,0.38421929978284752,0.080458606151230225
full_l1,100,387749,1,10,22,fcl,-0.33500000000000002,-3.3500000000000001,kHz,0.389430003062612,0.07954414328054632
full_l1,100,387749,1,10,22,fcl,-0.33000000000000002,-3.2999999999999998,kHz,0.39479198854524195,0.07862111540148059
full_l1,100,387749,1,10,22,fcl,-0.32500000000000001,-3.25,kHz,0.4003043793674626,0.077675544173391342
full_l1,100,387749,1,10,22,fcl,-0.32000000000000001,-3.2000000000000002,kHz,0.40596618918519628,0.076694238259065683
full_l1,100,387749,1,10,22,fcl,-0.315,-3.1499999999999999,kHz,0.41177632928708119,0.075665090896888124
full_l1,100,387749,1,10,22,fcl,-0.31,-3.1000000000000001,kHz,0.41773361442894252,0.074577348199862586
full_l1,100,387749,1,10,22,fcl,-0.30499999999999999,-3.0499999999999998,kHz,0.42383676719333474,0.073421851757216716
full_l1,100,387749,1,10,22,fcl,-0.29999999999999999,-3,kHz,0.43008442070429825,0.072191261562693634
full_l1,100,387749,1,10,22,fcl,-0.29499999999999998,-2.9500000000000002,kHz,0.43647511952325851,0.070880266911244563
full_l1,100,387749,1,10,22,fcl,-0.28999999999999998,-2.8999999999999999,kHz,0.44300731851241448,0.06948579374008837
full_l1,100,387749,1,10,22,fcl,-0.28499999999999998,-2.8499999999999996,kHz,0.44967937937095354,0.068007216965956616
full_l1,100,387749,1,10,22,fcl,-0.28000000000000003,-2.8000000000000003,kHz,0.45648956441909733,0.066446585620686921
full_l1,100,387749,1,10,22,fcl,-0.27500000000000002,-2.75,kHz,0.46343602701457726,0.064808866780592292
full_l1,100,387749,1,10,22,fcl,-0.27000000000000002,-2.7000000000000002,kHz,0.47051679772202593,0.063102210946865508
full_l1,100,387749,1,10,22,fcl,-0.26500000000000001,-2.6499999999999999,kHz,0.47772976500260766,0.061338235864325533
full_l1,100,387749,1,10,22,fcl,-0.26000000000000001,-2.6000000000000001,kHz,0.48507264873552547,0.059532316573867407
full_l1,100,387749,1,10,22,fcl,-0.255,-2.5499999999999998,kHz,0.49254296432262373,0.057703855222845449
full_l1,100,387749,1,10,22,fcl,-0.25,-2.5,kHz,0.50013797448862263,0.055876483148137937
full_l1,100,387749,1,10,22,fcl,-0.245,-2.4500000000000002,kHz,0.50785462526013192,0.05407811902754156
full_l1,100,387749,1,10,22,fcl,-0.23999999999999999,-2.3999999999999999,kHz,0.51568946218463529,0.052340771904610159
full_l1,100,387749,1,10,22,fcl,-0.23499999999999999,-2.3500000000000001,kHz,0.523638523005441,0.050699943452343021
full_l1,100,387749,1,10,22,fcl,-0.23000000000000001,-2.2999999999999998,kHz,0.53169720431956136,0.049193465946506698
full_l1,100,387749,1,10,22,fcl,-0.22500000000000001,-2.25,kHz,0.53986010293359221,0.047859638320076121
full_l1,100,387749,1,10,22,fcl,-0.22,-2.2000000000000002,kHz,0.54812083825035895,0.046734625453326954
full_l1,100,387749,1,10,22,fcl,-0.215,-2.1499999999999999,kHz,0.55647186980633556,0.04584928433342176
full_l1,100,387749,1,10,22,fcl,-0.20999999999999999,-2.1000000000000001,kHz,0.56490433218857061,0.045225845430531618
full_l1,100,387749,1,10,22,fcl,-0.20499999999999999,-2.0499999999999998,kHz,0.57340791438920369,0.044875106076983869
full_l1,100,387749,1,10,22,fcl,-0.20000000000000001,-2,kHz,0.58197080825411507,0.044794836836345449
full_l1,100,387749,1,10,22,fcl,-0.19500000000000001,-1.95,kHz,0.59057973960618659,0.044969866169598367
full_l1,100,387749,1,10,22,fcl,-0.19,-1.8999999999999999,kHz,0.59922007907983887,0.04537385310509439
full_l1,100,387749,1,10,22,fcl,-0.185,-1.8500000000000001,kHz,0.60787601433981386,0.045972291800370046
full_l1,100,387749,1,10,22,fcl,-0.17999999999999999,-1.8,kHz,0.6165307570504005,0.04672603454836792
full_l1,100,387749,1,10,22,fcl,-0.17499999999999999,-1.75,kHz,0.62516675830439139,0.047594648547429654
full_l1,100,387749,1,10,22,fcl,-0.17000000000000001,-1.7000000000000002,kHz,0.63376591259974679,0.048539150813997192
full_l1,100,387749,1,10,22,fcl,-0.16500000000000001,-1.6499999999999999,kHz,0.64230973876490915,0.049523943363523303
full_l1,100,387749,1,10,22,fcl,-0.16,-1.6000000000000001,kHz,0.65077953340579142,0.050517984700214319
full_l1,100,387749,1,10,22,fcl,-0.155,-1.55,kHz,0.65915649723460557,0.051495346778741333
full_l1,100,387749,1,10,22,fcl,-0.14999999999999999,-1.5,kHz,0.66742183714839987,0.052435335824978328
