score_mode,N,seed,selected_rank,iter,point_idx,x_u1,x_u2,x_u3,y,sigma_y
full_l1,100,387749,1,10,1,-0.20833333333333331,-0.041666666666666685,0.12499999999999989,0.58000000000000007,0.048752103402800132
full_l1,100,387749,1,10,2,0.37499999999999989,0.37499999999999989,-0.29166666666666669,0.13000000000000012,0.033855937371552021
full_l1,100,387749,1,10,3,-0.041666666666666685,-0.125,-0.041666666666666685,0.57999999999999996,0.048788805475500477
full_l1,100,387749,1,10,4,0.29166666666666663,-0.20833333333333331,-0.125,0.25,0.046959502517989173
full_l1,100,387749,1,10,5,0.45833333333333326,0.45833333333333326,0.29166666666666663,0.030000000000000027,0.013546768502445692
full_l1,100,387749,1,10,6,0.04166666666666663,0.20833333333333326,-0.20833333333333331,0.59999999999999998,0.049402927418332181
full_l1,100,387749,1,10,7,0.12499999999999989,-0.375,0.20833333333333326,0.35999999999999999,0.048959775349542517
full_l1,100,387749,1,10,8,-0.45833333333333331,0.29166666666666663,0.04166666666666663,0.080000000000000071,0.031230421973824002
full_l1,100,387749,1,10,9,-0.29166666666666669,-0.29166666666666669,-0.375,0.41999999999999993,0.047998295162476952
full_l1,100,387749,1,10,10,-0.125,0.12499999999999989,-0.45833333333333331,0.60999999999999999,0.048657264318265905
full_l1,100,387749,1,10,11,0.20833333333333326,-0.45833333333333331,0.45833333333333326,0.42999999999999994,0.04978417584150413
full_l1,100,387749,1,10,12,-0.375,0.04166666666666663,0.37499999999999989,0.35000000000000009,0.04938137141417203
full_l1,100,387749,1,10,13,-0.0810160077795683,0.44003268988272493,0.44860328441463238,0.5,0.049956806111807139
full_l1,100,387749,1,10,14,-0.047210626699138558,0.43415057972826987,-0.48004420321157015,0.45999999999999996,0.049613791455863872
full_l1,100,387749,1,10,15,-0.17059936743836168,-0.49651689695100654,0.47655709822707526,0.34999999999999998,0.049133822399582194
full_l1,100,387749,1,10,16,-0.1113656448550282,-0.18977228803363411,-0.45778324087481659,0.40999999999999992,0.048198731633599431
full_l1,100,387749,1,10,17,-0.17800284569041724,0.29898221246142764,-0.21260027233335199,0.29000000000000004,0.048041190656153525
full_l1,100,387749,1,10,18,-0.0055084477146383204,0.11896530456755539,0.46368485451043817,0.81000000000000005,0.040947053069047133
full_l1,100,387749,1,10,19,0.052873650638408876,0.2945958076675339,0.49186140387824118,0.55000000000000004,0.049742289006116922
full_l1,100,387749,1,10,20,-0.03567222219182109,0.061185169564393238,0.42414315187251161,0.90000000000000002,0.026747398288033793
full_l1,100,387749,1,10,21,-0.054990606839964373,0.02585482004798223,0.42420395364299091,0.93000000000000005,0.019186228823575263
full_l1,100,387749,1,10,22,-0.034665745329720776,-0.013952333625550484,0.49634016243100865,0.97999999999999998,0.022144246908621854
full_l1,100,387749,1,30,1,-0.20833333333333331,-0.041666666666666685,0.12499999999999989,0.58000000000000007,0.048752103402800132
full_l1,100,387749,1,30,2,0.37499999999999989,0.37499999999999989,-0.29166666666666669,0.13000000000000012,0.033855937371552021
full_l1,100,387749,1,30,3,-0.041666666666666685,-0.125,-0.041666666666666685,0.57999999999999996,0.048788805475500477
full_l1,100,387749,1,30,4,0.29166666666666663,-0.20833333333333331,-0.125,0.25,0.046959502517989173
full_l1,100,387749,1,30,5,0.45833333333333326,0.45833333333333326,0.29166666666666663,0.030000000000000027,0.013546768502445692
full_l1,100,387749,1,30,6,0.04166666666666663,0.20833333333333326,-0.20833333333333331,0.59999999999999998,0.049402927418332181
full_l1,100,387749,1,30,7,0.12499999999999989,-0.375,0.20833333333333326,0.35999999999999999,0.048959775349542517
full_l1,100,387749,1,30,8,-0.45833333333333331,0.29166666666666663,0.04166666666666663,0.080000000000000071,0.031230421973824002
full_l1,100,387749,1,30,9,-0.29166666666666669,-0.29166666666666669,-0.375,0.41999999999999993,0.047998295162476952
full_l1,100,387749,1,30,10,-0.125,0.12499999999999989,-0.45833333333333331,0.60999999999999999,0.048657264318265905
full_l1,100,387749,1,30,11,0.20833333333333326,-0.45833333333333331,0.45833333333333326,0.42999999999999994,0.04978417584150413
full_l1,100,387749,1,30,12,-0.375,0.04166666666666663,0.37499999999999989,0.35000000000000009,0.04938137141417203
full_l1,100,387749,1,30,13,-0.0810160077795683,0.44003268988272493,0.44860328441463238,0.5,0.049956806111807139
full_l1,100,387749,1,30,14,-0.047210626699138558,0.43415057972826987,-0.48004420321157015,0.45999999999999996,0.049613791455863872
full_l1,100,387749,1,30,15,-0.17059936743836168,-0.49651689695100654,0.47655709822707526,0.34999999999999998,0.049133822399582194
full_l1,100,387749,1,30,16,-0.1113656448550282,-0.18977228803363411,-0.45778324087481659,0.40999999999999992,0.048198731633599431
full_l1,100,387749,1,30,17,-0.17800284569041724,0.29898221246142764,-0.21260027233335199,0.29000000000000004,0.048041190656153525
full_l1,100,387749,1,30,18,-0.0055084477146383204,0.11896530456755539,0.46368485451043817,0.81000000000000005,0.040947053069047133
full_l1,100,387749,1,30,19,0.052873650638408876,0.2945958076675339,0.49186140387824118,0.55000000000000004,0.049742289006116922
full_l1,100,387749,1,30,20,-0.03567222219182109,0.061185169564393238,0.42414315187251161,0.90000000000000002,0.026747398288033793
full_l1,100,387749,1,30,21,-0.054990606839964373,0.02585482004798223,0.42420395364299091,0.93000000000000005,0.019186228823575263
full_l1,100,387749,1,30,22,-0.034665745329720776,-0.013952333625550484,0.49634016243100865,0.97999999999999998,0.022144246908621854
full_l1,100,387749,1,30,23,0.039141362518112066,0.0033259208541711605,0.45886920815842003,1,0.016443576163960281
