seed,initial_seed,N_shots,total_shots,n_train,q_det,q_rec,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
150918,150918,100,11300,112,0.99846280537011123,1,0,0,0,-0,-0,-0,0.52956282566351853,0.40292941960619755,1.5,1.3376993784844162,0.92025225497776142,526.17585587501526
849665,849665,100,11300,112,0.99969027886907025,1,0,0,0,-0,-0,-0,0.48953341876150719,0.3831046700762003,1.5,1.4656945822539293,0.91230646386125358,527.636549949646
359405,359405,100,11300,112,0.99953997387446203,1,0,0,0,-0,-0,-0,0.52558656828182815,0.33256751760447223,1.5,1.5837829491472446,1.0322144938112015,530.81652498245239
318670,318670,100,11300,112,0.99944099505058326,1,0,0,0,-0,-0,-0,0.55305172837635164,0.31911138868574274,1.5,1.5303540241773004,0.79270657600784999,538.41989588737488
558664,558664,100,11300,112,0.99945247295560435,1,0,0,0,-0,-0,-0,0.47513155012421482,0.342716089681526,1.5,1.1822258322070009,0.72118196485554464,543.1408097743988
250215,250215,100,11300,112,0.99942688987026373,1,0,0,0,-0,-0,-0,0.49060441145662664,0.32990649767366603,1.5,1.1295960774792224,1.0129299678539563,543.49222087860107
400294,400294,100,11300,112,0.99988308712543383,1,0,0,0,-0,-0,-0,0.52043456729491644,0.35786916499273347,1.5,1.5498127775829522,0.82478584907796371,542.33789801597595
981559,981559,100,11300,112,0.9981002263253832,1,0,0,0,-0,-0,-0,0.57723038165963969,0.29177389524064956,1.5,1.3791463115648299,0.95026993664180215,547.83093285560608
438880,438880,100,11300,112,0.99858128448341865,0.98999999999999999,0,0,0,-0,-0,-0,0.61028306792826148,0.38948399265200007,1.5,1.689232644987976,0.89350810080344933,584.38572788238525
714078,714078,100,11300,112,0.9988565030348634,1,0,0,0,-0,-0,-0,0.47941834850365428,0.33098780441385989,1.5,1.6172818472191692,0.82450648141004146,859.39881300926208
