iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,q_det_rec,q_det_acq,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3
1,1300,13,0.78126607093834943,0.78126607093834943,0.013080173800019256,-0.12145180132645315,-0.0056613788983709253,0.098992797894352294,-0.12874046435375819,0.43489805478697563,-0.49662841138590541,0.69629963378868087,0.1111395724779715,0.90746482149682672,0.42999999999999994,0.86366671615204105,0.39740960521120372,0,0,0,-0,-0,-0
2,1400,14,0.81721100132488655,0.81721100132488655,0.04816271522946737,-0.11874833581838301,-0.21617144791835097,0.36134203397068915,-0.11504303133047822,-0.49978939375388176,0.47875539388357669,0.79335011134304012,0.084555658991363622,0.95400586342663096,0.44999999999999996,0.22644364665396899,0.35978638495661519,0,0,0,-0,-0,-0
3,1500,15,0.7872773708867612,0.7872773708867612,0.017560434265199914,-0.12672014712014748,0.049376675882212555,0.1587908084782218,-0.12485719290476727,0.31815467427759647,0.41544275864869173,0.73863866792927535,0.072443493349447538,0.87628130529322568,0.37,0.84031619785375034,0.45137631539897549,0,0,0,-0,-0,-0
4,1600,16,0.848248334010966,0.848248334010966,0.03533151349214405,-0.12584089168518733,-0.21230320723641513,-0.099955828417841036,-0.12388989043805076,-0.421471277839917,-0.31945280454066771,0.8117962958373357,0.067799631684787504,0.94061559603843192,0.3899999999999999,0.25884486981024324,0.38243110224196397,0,0,0,-0,-0,-0
5,1700,17,0.78302478768045924,0.78302478768045924,0.0051866281582379293,-0.12613667003683018,-0.060653283483840796,0.092943409417245618,-0.13862233163516491,-0.10246977652572675,0.089697238985355865,0.74288890246105233,0.03047985114357088,0.80080061963383697,0.44999999999999996,0.73076141163660568,0.54039699647834172,0,0,0,-0,-0,-0
6,1800,18,0.91344280943465761,0.91344280943465761,0.02954223471330358,-0.10674461371222947,-0.014277180587554781,0.058718471131997775,-0.10548227699291313,-0.021596075030292594,0.093132213249628837,0.91075839647430712,0.030734292570755693,0.9691535523587429,0.90000000000000002,0.88417907954549035,0.87483340444003344,0,0,0,-0,-0,-0
7,1900,19,0.90367398655442843,0.90367398655442843,0.0065136966424516867,-0.10794759224335071,-0.016199692513298686,0.061764840190443031,-0.091863819238010791,0.011241681467194509,-0.021365662998552137,0.85762246145815468,0.030062879313009095,0.91474193215287192,0.95999999999999996,0.87934548160786496,0.9206740595269306,0,0,0,-0,-0,-0
8,2000,20,0.96148217618000742,0.96148217618000742,0.0053007634201581817,-0.090749047956774562,0.024132304036697097,-0.048149861783422107,-0.092142468816222012,0.18527241785822102,-0.10267108142515657,0.92437776716377495,0.032019769173076119,0.98521532859261962,0.63,0.9126916044381278,0.55991347760561527,0,0,0,-0,-0,-0
9,2100,21,1,1.0972184074758151,0.037102992897856055,-0.083355540917670112,-0.20373612683457515,0.038483762204338738,-0.076036587020652746,-0.33090418058101756,0.090487042841004062,1.0643932084727827,0.061001653423482197,1.1802963499773989,0.39000000000000001,0.28696046656860275,0.34282373475939965,0,0,0,-0,-0,-0
10,2200,22,0.96234333670534777,0.96234333670534777,0.01782161005206153,-0.086796615375938357,0.011800690934716732,0.05145959772290544,-0.040591383989523777,0.029686747725454543,0.33228724857169167,0.90220229012380415,0.097798111177285069,1.0880187013606457,0.98999999999999999,0.93037611885095461,0.969870982507676,0,0,0,-0,-0,-0
11,2300,23,0.9973316748199923,0.9973316748199923,0.024522588816094811,-0.057973939404650066,0.022216093132606099,0.26155373212297994,-0.00030567296924455256,0.017495189032072922,-0.19749474435448899,0.89827594857063731,0.11294364713176097,1.1128688781209832,0.97999999999999998,0.96289369528938773,0.97914864449964578,0,0,0,-0,-0,-0
12,2400,24,1,1.0071818605538154,0.034053077270224288,-0.034577656553643137,0.019583962885933247,0.073576199427996675,-0.021185089134853508,0.065534437865339967,-0.29221410414876892,0.9256954301112813,0.097026720337623093,1.1100461987527652,0.81999999999999995,0.9800128877777835,0.86357578270537372,0,0,0,-0,-0,-0
13,2500,25,1,1.0184541678790533,0.04245493086298302,-0.03019155858190015,0.0078612043533642165,0.10873704361537598,0.0048406480369140858,-0.027570427630838612,0.29723145138705398,0.93285976060573095,0.1034277044216186,1.1293723990068063,0.95999999999999996,0.99036520026843944,0.95329919556040632,0,0,0,-0,-0,-0
14,2600,26,1,1.0239101572954499,0.039887642928110589,-0.026166252413305679,0.0047151364024705482,0.12760500838462083,0.030808694404906634,0.01340905266550263,0.46330502370670334,0.94813363430083664,0.086908052460956009,1.113258933976653,0.96999999999999997,0.99294256763114008,0.98016313706010605,0,0,0,-0,-0,-0
15,2700,27,1,1.0228943346976047,0.039840081630917214,-0.021285319587671665,0.005667895749749581,0.14862262868753931,-0.032040816697660457,0.0026665106307688369,0.17976272510185698,1.0207201116173696,0.041545536919666622,1.0996566317647363,1,0.99474119149086793,0.98895220171563547,0,0,0,-0,-0,-0
16,2800,28,1,1.0065631439316529,0.027210794670592748,-0.0077591718561531029,0.0074508447220468102,0.12281533342415832,0.075333860867301761,-0.021952383198185155,-0.2934724155164985,0.86648730073352853,0.1269635151774022,1.1077179795705927,0.93999999999999995,0.99808464313343115,0.93278583115504043,0,0,0,-0,-0,-0
17,2900,29,1,1.006597704533968,0.032120958422476989,0.0012059225806674637,0.0033821897267487977,0.071321840928312522,-0.0031649427495101801,-0.040788395581473846,-0.40677575854765902,0.90791059118798545,0.10153536286427753,1.1008277806301128,0.98999999999999999,0.99963547969396005,0.96925700728762665,0,0,0,-0,-0,-0
18,3000,30,1,1.0159548350313159,0.038024526515670079,-0.00043725729813418599,-0.01518178753409913,-0.21730562908047898,-0.10912732145980653,0.048965559958284777,0.44476952369922063,0.89883695872921265,0.10345778308001399,1.0954067465812392,0.87,0.99495990485754171,0.87935548477636372,0,0,0,-0,-0,-0
19,3100,31,1,1.0154201940810423,0.037817911075138058,-0.0016152718981354052,-0.015203603518056491,-0.22062383073574843,-0.056229852924452262,-0.0047460694572636353,-0.35143703149466199,0.97791213826090362,0.062080164350666579,1.0958644505271702,0.94999999999999996,0.99486642390646429,0.9575114185376381,0,0,0,-0,-0,-0
20,3200,32,1,1.015509444078184,0.026844000391491447,-0.00027267931039151963,-0.012185550354678802,-0.131190452425343,0.014691795871633051,-0.011317031277864098,0.032807118393569867,1.0067457920687468,0.029817723723468484,1.0633994671433369,1,0.99723892517784396,0.99422457839284994,0,0,0,-0,-0,-0
21,3300,33,1,1.0115664562453071,0.021062857894526981,-0.00052210657913237058,-0.013470342175553481,-0.17261088403582356,-0.0045643411484230789,-0.017660608775107223,-0.1026578833738192,1.0086047410996331,0.021199266437787394,1.0488833473314292,1,0.99632306607295873,0.99387843208970206,0,0,0,-0,-0,-0
22,3400,34,1,1.0066730183659172,0.013732993077555674,-0.0062075703438463203,0.0028777895157396983,0.040655923334092708,0.018642059589218274,0.034109734001994019,0.11986622388376822,0.97326110542826183,0.036668606986557689,1.0429314587027214,0.93999999999999995,0.99934425137591321,0.96917408410425321,0,0,0,-0,-0,-0
23,3500,35,1,1.0062617165834804,0.017811955193450593,0.0068293692417203756,-0.017047534707731724,-0.2723719557738189,0.48978837510663698,0.49865807301745191,0.40431132000816139,0.57906418381326974,0.24993041234834568,1.0539319672751266,0.010000000000000009,0.99248457841787163,0.0036165415750271102,0,0,0,-0,-0,-0
24,3600,36,1,1.006227037437613,0.018637304435142516,0.0066935759051953833,-0.01702883065683403,-0.27222691839208291,0.030801626450804642,-0.0099317454885772261,-0.42857404664682508,0.98412504595514894,0.033916051417527557,1.0485655436484513,0.97999999999999998,0.99251556029095389,0.97590773351930404,0,0,0,-0,-0,-0
25,3700,37,1,1.0053503900733123,0.010065763385994167,-8.5658670523637779e-05,-0.005889195146767303,-0.11639668157150945,-0.48866324750213441,-0.48971524731696503,0.3250631960736583,0.61542315901284428,0.22982690551458959,1.0520942794905646,0.28000000000000003,0.99870790338248505,0.2850269739136736,0,0,0,-0,-0,-0
