mode,N_shots,n_pts,median_seed,slice_axis,u_proj,Q_obs,σ_obs,Q_true_proj,Q_det_proj,μ_GP_proj,σ_GP_proj
fixed,50,100,32,fcl,0.842840,0.000000,0.000000,0.000000,0.525939,0.000354,0.005440
fixed,50,100,32,fcl,0.257575,0.000000,0.000000,0.124678,0.821162,0.000085,0.003174
fixed,50,100,32,fcl,0.734158,0.000000,0.000000,0.000000,0.501691,0.000124,0.003277
fixed,50,100,32,fcl,-0.408369,0.000000,0.000000,0.000000,0.267723,0.000443,0.006286
fixed,50,100,32,fcl,0.444559,0.000000,0.000000,0.000000,0.663658,-0.000056,0.002678
fixed,50,100,32,fcl,0.707026,0.000000,0.000000,0.000000,0.510701,0.000084,0.002872
fixed,50,100,32,fcl,-0.518547,0.000000,0.000000,0.000000,0.402006,0.000333,0.005453
fixed,50,100,32,fcl,0.390105,0.000000,0.000000,0.000000,0.703111,-0.000036,0.002478
fixed,50,100,32,fcl,0.185890,0.080000,0.038367,0.523118,0.882706,0.000177,0.004285
fixed,50,100,32,fcl,-0.890489,0.000000,0.000000,0.000000,0.341758,-0.000117,0.005863
fixed,50,100,32,fcl,0.062456,0.000000,0.000000,0.941142,0.977911,0.000334,0.005999
fixed,50,100,32,fcl,0.132248,0.500000,0.070711,0.752939,0.926538,0.000248,0.005102
fixed,50,100,32,fcl,0.468163,0.000000,0.000000,0.000000,0.648963,-0.000059,0.002730
fixed,50,100,32,fcl,0.075590,0.000000,0.000000,0.914389,0.969467,0.000319,0.005848
fixed,50,100,32,fcl,-0.682650,0.420000,0.069800,0.000000,0.500476,0.000095,0.004289
fixed,50,100,32,fcl,0.141655,0.000000,0.000000,0.715976,0.918956,0.000236,0.004965
fixed,50,100,32,fcl,0.305175,0.000000,0.000000,0.000000,0.777887,0.000031,0.002619
fixed,50,100,32,fcl,-0.773936,0.000000,0.000000,0.000000,0.415528,-0.000037,0.004488
fixed,50,100,32,fcl,-0.549932,0.000000,0.000000,0.000000,0.439790,0.000293,0.005190
fixed,50,100,32,fcl,0.651498,0.000000,0.000000,0.000000,0.539200,0.000020,0.002374
fixed,50,100,32,fcl,0.210590,0.000000,0.000000,0.393117,0.861990,0.000144,0.003892
fixed,50,100,32,fcl,-0.233464,0.000000,0.000000,0.431354,0.536497,0.000511,0.007134
fixed,50,100,32,fcl,0.136857,0.000000,0.000000,0.735960,0.922835,0.000242,0.005035
fixed,50,100,32,fcl,-0.985423,0.000000,0.000000,0.000000,0.234848,-0.000031,0.007367
fixed,50,100,32,fcl,-0.176218,0.000000,0.000000,0.559719,0.724127,0.000504,0.007221
fixed,50,100,32,fcl,0.548806,0.000000,0.000000,0.000000,0.602458,-0.000047,0.002594
fixed,50,100,32,fcl,0.420638,0.000000,0.000000,0.000000,0.679946,-0.000049,0.002595
fixed,50,100,32,fcl,-0.336622,0.000000,0.000000,0.257240,0.244426,0.000487,0.006719
fixed,50,100,32,fcl,0.991533,0.000000,0.000000,0.000000,0.606066,0.000923,0.008935
fixed,50,100,32,fcl,0.414458,0.000000,0.000000,0.000000,0.684413,-0.000047,0.002570
fixed,50,100,32,fcl,0.241622,0.180000,0.054332,0.217338,0.835259,0.000104,0.003408
fixed,50,100,32,fcl,-0.834119,0.000000,0.000000,0.000000,0.383515,-0.000097,0.005092
fixed,50,100,32,fcl,-0.248617,0.000000,0.000000,0.407814,0.485611,0.000510,0.007092
fixed,50,100,32,fcl,-0.645631,0.320000,0.065970,0.000000,0.506526,0.000153,0.004455
fixed,50,100,32,fcl,-0.877911,0.000000,0.000000,0.000000,0.353329,-0.000117,0.005679
fixed,50,100,32,fcl,-0.093205,0.000000,0.000000,0.844418,0.926240,0.000470,0.007111
fixed,50,100,32,fcl,0.346675,0.000000,0.000000,0.000000,0.740087,-0.000007,0.002415
fixed,50,100,32,fcl,-0.614829,0.000000,0.000000,0.000000,0.496390,0.000200,0.004662
fixed,50,100,32,fcl,-0.932998,0.100000,0.042426,0.000000,0.295762,-0.000100,0.006514
fixed,50,100,32,fcl,0.080243,0.040000,0.027713,0.903875,0.966219,0.000313,0.005792
fixed,50,100,32,fcl,-0.691364,0.040000,0.027713,0.000000,0.496121,0.000081,0.004268
fixed,50,100,32,fcl,0.688426,0.000000,0.000000,0.000000,0.519071,0.000060,0.002648
fixed,50,100,32,fcl,0.495227,0.000000,0.000000,0.000000,0.633239,-0.000059,0.002739
fixed,50,100,32,fcl,-0.054029,0.200000,0.056569,0.946585,0.976915,0.000444,0.006948
fixed,50,100,32,fcl,-0.069521,0.100000,0.042426,0.911806,0.960415,0.000455,0.007022
fixed,50,100,32,fcl,-0.384289,0.000000,0.000000,0.070494,0.244839,0.000460,0.006442
fixed,50,100,32,fcl,0.458978,0.000000,0.000000,0.000000,0.654543,-0.000058,0.002715
fixed,50,100,32,fcl,0.641867,0.000000,0.000000,0.000000,0.544945,0.000011,0.002343
fixed,50,100,32,fcl,0.363555,0.000000,0.000000,0.000000,0.725267,-0.000019,0.002414
fixed,50,100,32,fcl,-0.254096,0.000000,0.000000,0.401256,0.467410,0.000509,0.007075
fixed,50,100,32,fcl,0.188329,0.000000,0.000000,0.510095,0.880674,0.000174,0.004247
fixed,50,100,32,fcl,0.698477,0.000000,0.000000,0.000000,0.514351,0.000073,0.002763
fixed,50,100,32,fcl,-0.905950,0.000000,0.000000,0.000000,0.326023,-0.000115,0.006094
fixed,50,100,32,fcl,0.162761,0.000000,0.000000,0.630866,0.901768,0.000208,0.004647
fixed,50,100,32,fcl,0.437964,0.000000,0.000000,0.000000,0.667975,-0.000054,0.002658
fixed,50,100,32,fcl,0.840274,0.000000,0.000000,0.000000,0.524361,0.000347,0.005383
fixed,50,100,32,fcl,-0.637156,0.460000,0.070484,0.000000,0.505123,0.000166,0.004507
fixed,50,100,32,fcl,-0.029500,0.100000,0.042426,0.984113,0.993394,0.000425,0.006807
fixed,50,100,32,fcl,-0.120747,0.000000,0.000000,0.751242,0.872378,0.000485,0.007182
fixed,50,100,32,fcl,-0.731218,0.000000,0.000000,0.000000,0.463006,0.000021,0.004276
fixed,50,100,32,fcl,0.211102,0.100000,0.042426,0.390140,0.861556,0.000144,0.003884
fixed,50,100,32,fcl,-0.903939,0.000000,0.000000,0.000000,0.328139,-0.000115,0.006064
fixed,50,100,32,fcl,-0.225223,0.000000,0.000000,0.443471,0.564309,0.000510,0.007154
fixed,50,100,32,fcl,-0.063000,0.020000,0.019799,0.927531,0.967942,0.000451,0.006992
fixed,50,100,32,fcl,0.469769,0.000000,0.000000,0.000000,0.648013,-0.000059,0.002733
fixed,50,100,32,fcl,0.574242,0.000000,0.000000,0.000000,0.587066,-0.000036,0.002480
fixed,50,100,32,fcl,0.331391,0.000000,0.000000,0.000000,0.753880,0.000006,0.002456
fixed,50,100,32,fcl,-0.387200,0.200000,0.056569,0.056552,0.247188,0.000458,0.006424
fixed,50,100,32,fcl,-0.095890,0.580000,0.069800,0.835926,0.921785,0.000472,0.007120
fixed,50,100,32,fcl,-0.132841,0.040000,0.027713,0.706777,0.844280,0.000490,0.007202
fixed,50,100,32,fcl,0.147153,0.900000,0.042426,0.693605,0.914505,0.000229,0.004884
fixed,50,100,32,fcl,-0.638075,0.000000,0.000000,0.000000,0.505391,0.000164,0.004501
fixed,50,100,32,fcl,-0.915817,0.200000,0.056569,0.000000,0.315320,-0.000111,0.006245
fixed,50,100,32,fcl,-0.928752,0.000000,0.000000,0.000000,0.300699,-0.000103,0.006447
fixed,50,100,32,fcl,-0.842412,0.000000,0.000000,0.000000,0.379055,-0.000103,0.005196
fixed,50,100,32,fcl,-0.499381,0.000000,0.000000,0.000000,0.377634,0.000356,0.005610
fixed,50,100,32,fcl,-0.987293,0.000000,0.000000,0.000000,0.232789,-0.000028,0.007398
fixed,50,100,32,fcl,0.064379,0.000000,0.000000,0.937972,0.976757,0.000332,0.005977
fixed,50,100,32,fcl,0.527473,0.000000,0.000000,0.000000,0.614896,-0.000053,0.002674
fixed,50,100,32,fcl,-0.017761,0.580000,0.069800,0.993781,0.997634,0.000415,0.006728
fixed,50,100,32,fcl,-0.421081,0.000000,0.000000,0.000000,0.281503,0.000433,0.006200
fixed,50,100,32,fcl,-0.124212,0.300000,0.064807,0.738550,0.864705,0.000486,0.007188
fixed,50,100,32,fcl,-0.492741,0.000000,0.000000,0.000000,0.369122,0.000363,0.005664
fixed,50,100,32,fcl,-0.228169,0.360000,0.067882,0.438961,0.554372,0.000511,0.007147
fixed,50,100,32,fcl,0.420102,0.000000,0.000000,0.000000,0.680327,-0.000049,0.002593
fixed,50,100,32,fcl,-0.858765,0.000000,0.000000,0.000000,0.368600,-0.000111,0.005412
fixed,50,100,32,fcl,0.439316,0.000000,0.000000,0.000000,0.667090,-0.000054,0.002662
fixed,50,100,32,fcl,0.459171,0.000000,0.000000,0.000000,0.654425,-0.000058,0.002715
fixed,50,100,32,fcl,0.882957,0.000000,0.000000,0.000000,0.551965,0.000474,0.006351
fixed,50,100,32,fcl,-0.723454,0.000000,0.000000,0.000000,0.470916,0.000033,0.004260
fixed,50,100,32,fcl,0.464211,0.000000,0.000000,0.000000,0.651356,-0.000058,0.002724
fixed,50,100,32,fcl,-0.001520,0.040000,0.027713,0.999343,0.999824,0.000401,0.006608
fixed,50,100,32,fcl,0.692913,0.000000,0.000000,0.000000,0.516963,0.000066,0.002697
fixed,50,100,32,fcl,0.255841,0.060000,0.033586,0.134010,0.822711,0.000087,0.003198
fixed,50,100,32,fcl,-0.528057,0.000000,0.000000,0.000000,0.413850,0.000321,0.005374
fixed,50,100,32,fcl,-0.157260,0.000000,0.000000,0.622598,0.779998,0.000499,0.007223
fixed,50,100,32,fcl,-0.270876,0.000000,0.000000,0.377769,0.412950,0.000507,0.007017
fixed,50,100,32,fcl,-0.290819,0.000000,0.000000,0.354713,0.351961,0.000503,0.006938
fixed,50,100,32,fcl,0.686540,0.000000,0.000000,0.000000,0.520026,0.000058,0.002629
fixed,50,100,32,fcl,0.566317,0.000000,0.000000,0.000000,0.591929,-0.000040,0.002517
fixed,50,100,32,fsb,0.865780,0.000000,0.000000,0.000000,0.820818,-0.000255,0.009563
fixed,50,100,32,fsb,-0.444641,0.000000,0.000000,0.000000,0.499792,0.000206,0.006205
fixed,50,100,32,fsb,-0.984428,0.000000,0.000000,0.084963,0.498400,0.000642,0.009067
fixed,50,100,32,fsb,0.179841,0.000000,0.000000,0.346443,0.835759,0.000409,0.006666
fixed,50,100,32,fsb,-0.680812,0.000000,0.000000,0.000000,0.499043,0.000151,0.007236
fixed,50,100,32,fsb,0.133517,0.000000,0.000000,0.487283,0.881547,0.000415,0.006597
fixed,50,100,32,fsb,0.055628,0.000000,0.000000,0.845579,0.968794,0.000412,0.006577
fixed,50,100,32,fsb,0.448861,0.000000,0.000000,0.221140,0.793104,0.000228,0.007913
fixed,50,100,32,fsb,-0.260087,0.080000,0.038367,0.000000,0.519408,0.000285,0.006286
fixed,50,100,32,fsb,-0.047144,0.000000,0.000000,0.858552,0.972191,0.000383,0.006604
fixed,50,100,32,fsb,0.915949,0.000000,0.000000,0.000000,0.795467,-0.000221,0.009682
fixed,50,100,32,fsb,0.029700,0.500000,0.070711,0.945431,0.989552,0.000407,0.006585
fixed,50,100,32,fsb,-0.370710,0.000000,0.000000,0.001816,0.499946,0.000236,0.006127
fixed,50,100,32,fsb,-0.953585,0.000000,0.000000,0.023906,0.498617,0.000531,0.008763
fixed,50,100,32,fsb,-0.472684,0.420000,0.069800,0.000000,0.499511,0.000195,0.006281
fixed,50,100,32,fsb,0.263753,0.000000,0.000000,0.219737,0.786098,0.000380,0.006926
fixed,50,100,32,fsb,0.152297,0.000000,0.000000,0.422188,0.861621,0.000414,0.006619
fixed,50,100,32,fsb,0.615225,0.000000,0.000000,0.264438,0.851022,-0.000008,0.008808
fixed,50,100,32,fsb,-0.165829,0.000000,0.000000,0.000002,0.689225,0.000330,0.006492
fixed,50,100,32,fsb,0.762765,0.000000,0.000000,0.053773,0.861139,-0.000211,0.009333
fixed,50,100,32,fsb,0.433948,0.000000,0.000000,0.218741,0.788936,0.000245,0.007825
fixed,50,100,32,fsb,-0.585513,0.000000,0.000000,0.079982,0.498399,0.000159,0.006767
fixed,50,100,32,fsb,-0.770183,0.000000,0.000000,0.000000,0.499902,0.000187,0.007639
fixed,50,100,32,fsb,0.403788,0.000000,0.000000,0.204062,0.781828,0.000277,0.007649
fixed,50,100,32,fsb,0.359603,0.000000,0.000000,0.193613,0.775469,0.000318,0.007396
fixed,50,100,32,fsb,0.090248,0.000000,0.000000,0.676302,0.931335,0.000415,0.006574
fixed,50,100,32,fsb,0.289052,0.000000,0.000000,0.206984,0.779247,0.000367,0.007035
fixed,50,100,32,fsb,0.262780,0.000000,0.000000,0.220317,0.786440,0.000381,0.006922
fixed,50,100,32,fsb,-0.061148,0.000000,0.000000,0.764507,0.952044,0.000378,0.006602
fixed,50,100,32,fsb,-0.179098,0.000000,0.000000,0.000000,0.654490,0.000324,0.006467
fixed,50,100,32,fsb,-0.084422,0.180000,0.054332,0.565370,0.907604,0.000368,0.006592
fixed,50,100,32,fsb,0.784154,0.000000,0.000000,0.011434,0.855423,-0.000230,0.009386
fixed,50,100,32,fsb,-0.900539,0.000000,0.000000,0.000000,0.499126,0.000382,0.008339
fixed,50,100,32,fsb,-0.596499,0.320000,0.065970,0.083460,0.498385,0.000156,0.006822
fixed,50,100,32,fsb,-0.623511,0.000000,0.000000,0.058342,0.498497,0.000152,0.006957
fixed,50,100,32,fsb,-0.221808,0.000000,0.000000,0.000000,0.564122,0.000303,0.006374
fixed,50,100,32,fsb,0.287634,0.000000,0.000000,0.207133,0.779522,0.000368,0.007029
fixed,50,100,32,fsb,0.482794,0.000000,0.000000,0.238550,0.803892,0.000186,0.008111
fixed,50,100,32,fsb,0.139394,0.100000,0.042426,0.464540,0.875152,0.000415,0.006603
fixed,50,100,32,fsb,0.411273,0.040000,0.027713,0.207388,0.783410,0.000269,0.007692
fixed,50,100,32,fsb,-0.543920,0.040000,0.027713,0.048267,0.498691,0.000170,0.006565
fixed,50,100,32,fsb,-0.166993,0.000000,0.000000,0.000000,0.686136,0.000329,0.006490
fixed,50,100,32,fsb,-0.569632,0.000000,0.000000,0.072320,0.498472,0.000163,0.006688
fixed,50,100,32,fsb,0.758867,0.200000,0.056569,0.059424,0.862032,-0.000207,0.009323
fixed,50,100,32,fsb,-0.453105,0.100000,0.042426,0.000000,0.499715,0.000203,0.006225
fixed,50,100,32,fsb,0.619312,0.000000,0.000000,0.264404,0.852259,-0.000014,0.008827
fixed,50,100,32,fsb,-0.220723,0.000000,0.000000,0.000000,0.565911,0.000303,0.006377
fixed,50,100,32,fsb,-0.100578,0.000000,0.000000,0.418703,0.869343,0.000361,0.006581
fixed,50,100,32,fsb,-0.395850,0.000000,0.000000,0.004568,0.500009,0.000226,0.006133
fixed,50,100,32,fsb,0.373985,0.000000,0.000000,0.195763,0.776931,0.000305,0.007477
fixed,50,100,32,fsb,0.668957,0.000000,0.000000,0.214847,0.863829,-0.000090,0.009034
fixed,50,100,32,fsb,0.033725,0.000000,0.000000,0.932647,0.987010,0.000408,0.006583
fixed,50,100,32,fsb,0.026734,0.000000,0.000000,0.954851,0.991424,0.000406,0.006586
fixed,50,100,32,fsb,0.565272,0.000000,0.000000,0.271433,0.833966,0.000069,0.008565
fixed,50,100,32,fsb,0.506549,0.000000,0.000000,0.252160,0.812228,0.000154,0.008247
fixed,50,100,32,fsb,0.788292,0.000000,0.000000,0.004710,0.854151,-0.000233,0.009396
fixed,50,100,32,fsb,-0.519545,0.460000,0.070484,0.023400,0.498960,0.000178,0.006456
fixed,50,100,32,fsb,-0.421924,0.100000,0.042426,0.000000,0.499947,0.000215,0.006161
fixed,50,100,32,fsb,-0.588422,0.000000,0.000000,0.081290,0.498390,0.000158,0.006782
fixed,50,100,32,fsb,0.446664,0.000000,0.000000,0.219313,0.792458,0.000230,0.007900
fixed,50,100,32,fsb,-0.425507,0.100000,0.042426,0.000000,0.499929,0.000214,0.006167
fixed,50,100,32,fsb,0.317703,0.000000,0.000000,0.198517,0.775238,0.000349,0.007174
fixed,50,100,32,fsb,0.807473,0.000000,0.000000,0.000000,0.847316,-0.000246,0.009439
fixed,50,100,32,fsb,0.816201,0.020000,0.019799,0.000000,0.843820,-0.000250,0.009458
fixed,50,100,32,fsb,0.332352,0.000000,0.000000,0.196832,0.774595,0.000339,0.007249
fixed,50,100,32,fsb,-0.764063,0.000000,0.000000,0.000000,0.499845,0.000183,0.007612
fixed,50,100,32,fsb,0.093961,0.000000,0.000000,0.657569,0.927036,0.000416,0.006575
fixed,50,100,32,fsb,-0.388932,0.200000,0.056569,0.001023,0.500001,0.000228,0.006129
fixed,50,100,32,fsb,-0.077440,0.580000,0.069800,0.625916,0.922307,0.000371,0.006596
fixed,50,100,32,fsb,0.764838,0.040000,0.027713,0.050768,0.860664,-0.000213,0.009339
fixed,50,100,32,fsb,0.077350,0.900000,0.042426,0.738571,0.946022,0.000414,0.006573
fixed,50,100,32,fsb,0.884500,0.000000,0.000000,0.000000,0.811347,-0.000248,0.009604
fixed,50,100,32,fsb,-0.291194,0.200000,0.056569,0.000000,0.504792,0.000270,0.006220
fixed,50,100,32,fsb,-0.561870,0.000000,0.000000,0.065105,0.498528,0.000165,0.006651
fixed,50,100,32,fsb,0.587724,0.000000,0.000000,0.269383,0.842018,0.000035,0.008678
fixed,50,100,32,fsb,0.970376,0.000000,0.000000,0.000000,0.770687,-0.000126,0.009865
fixed,50,100,32,fsb,-0.653421,0.000000,0.000000,0.000000,0.498778,0.000150,0.007105
fixed,50,100,32,fsb,-0.664829,0.000000,0.000000,0.000000,0.498894,0.000150,0.007160
fixed,50,100,32,fsb,-0.245732,0.000000,0.000000,0.000000,0.531907,0.000291,0.006319
fixed,50,100,32,fsb,0.141393,0.580000,0.069800,0.456741,0.873008,0.000415,0.006605
fixed,50,100,32,fsb,0.676137,0.000000,0.000000,0.206409,0.864852,-0.000101,0.009061
fixed,50,100,32,fsb,-0.039070,0.300000,0.064807,0.902715,0.981126,0.000386,0.006604
fixed,50,100,32,fsb,0.888878,0.000000,0.000000,0.000000,0.809117,-0.000245,0.009614
fixed,50,100,32,fsb,0.020824,0.360000,0.067882,0.969988,0.994397,0.000405,0.006588
fixed,50,100,32,fsb,-0.702117,0.000000,0.000000,0.000000,0.499219,0.000155,0.007335
fixed,50,100,32,fsb,0.304000,0.000000,0.000000,0.200896,0.776701,0.000358,0.007106
fixed,50,100,32,fsb,-0.990194,0.000000,0.000000,0.089073,0.498381,0.000664,0.009129
fixed,50,100,32,fsb,0.812193,0.000000,0.000000,0.000000,0.845446,-0.000248,0.009450
fixed,50,100,32,fsb,0.451970,0.000000,0.000000,0.224583,0.794032,0.000224,0.007931
fixed,50,100,32,fsb,-0.091128,0.000000,0.000000,0.503535,0.892242,0.000365,0.006588
fixed,50,100,32,fsb,-0.672315,0.000000,0.000000,0.000000,0.498966,0.000150,0.007196
fixed,50,100,32,fsb,0.798754,0.040000,0.027713,0.000087,0.850586,-0.000240,0.009420
fixed,50,100,32,fsb,0.078739,0.000000,0.000000,0.732041,0.944455,0.000415,0.006573
fixed,50,100,32,fsb,0.109294,0.060000,0.033586,0.589430,0.909153,0.000416,0.006580
fixed,50,100,32,fsb,-0.818509,0.000000,0.000000,0.000000,0.499925,0.000235,0.007864
fixed,50,100,32,fsb,-0.924359,0.000000,0.000000,0.000000,0.498914,0.000443,0.008515
fixed,50,100,32,fsb,0.576253,0.000000,0.000000,0.269483,0.837956,0.000052,0.008621
fixed,50,100,32,fsb,0.997492,0.000000,0.000000,0.000000,0.760624,-0.000054,0.009990
fixed,50,100,32,fsb,-0.079254,0.000000,0.000000,0.610182,0.918486,0.000370,0.006595
fixed,50,100,32,fsb,0.726242,0.000000,0.000000,0.126774,0.866556,-0.000169,0.009231
fixed,50,100,32,A,0.699031,0.000000,0.000000,0.915904,0.989244,0.003593,0.007345
fixed,50,100,32,A,0.163805,0.000000,0.000000,0.996528,0.999585,0.000948,0.007268
fixed,50,100,32,A,-0.158515,0.000000,0.000000,0.993112,0.999143,0.000099,0.005550
fixed,50,100,32,A,-0.309396,0.000000,0.000000,0.978405,0.997208,0.000105,0.004729
fixed,50,100,32,A,-0.470585,0.000000,0.000000,0.951535,0.993927,0.000423,0.005230
fixed,50,100,32,A,-0.444000,0.000000,0.000000,0.957436,0.994555,0.000357,0.005069
fixed,50,100,32,A,0.564224,0.000000,0.000000,0.946274,0.993141,0.002910,0.007412
fixed,50,100,32,A,-0.932334,0.000000,0.000000,0.825050,0.977674,0.000722,0.007218
fixed,50,100,32,A,0.687936,0.080000,0.038367,0.917567,0.989598,0.003542,0.007341
fixed,50,100,32,A,-0.670055,0.000000,0.000000,0.906305,0.988145,0.000791,0.006266
fixed,50,100,32,A,-0.839017,0.000000,0.000000,0.856437,0.981770,0.000755,0.006675
fixed,50,100,32,A,-0.770542,0.500000,0.070711,0.877933,0.984515,0.000795,0.006494
fixed,50,100,32,A,-0.939071,0.000000,0.000000,0.819909,0.977363,0.000723,0.007277
fixed,50,100,32,A,-0.693312,0.000000,0.000000,0.899384,0.987347,0.000802,0.006330
fixed,50,100,32,A,-0.235969,0.420000,0.069800,0.986961,0.998288,0.000062,0.005020
fixed,50,100,32,A,-0.887378,0.000000,0.000000,0.842241,0.979698,0.000729,0.006899
fixed,50,100,32,A,-0.223694,0.000000,0.000000,0.986945,0.998442,0.000063,0.005094
fixed,50,100,32,A,0.577779,0.000000,0.000000,0.941829,0.992789,0.002984,0.007397
fixed,50,100,32,A,0.790453,0.000000,0.000000,0.889272,0.986112,0.003950,0.007489
fixed,50,100,32,A,-0.408479,0.000000,0.000000,0.961887,0.995340,0.000274,0.004885
fixed,50,100,32,A,0.438718,0.000000,0.000000,0.967284,0.995991,0.002230,0.007549
fixed,50,100,32,A,0.442681,0.000000,0.000000,0.966236,0.995912,0.002251,0.007546
fixed,50,100,32,A,0.422218,0.000000,0.000000,0.969738,0.996309,0.002143,0.007561
fixed,50,100,32,A,-0.150455,0.000000,0.000000,0.993731,0.999216,0.000108,0.005610
fixed,50,100,32,A,0.903906,0.000000,0.000000,0.857222,0.981679,0.004224,0.008050
fixed,50,100,32,A,-0.376112,0.000000,0.000000,0.967824,0.996002,0.000207,0.004766
fixed,50,100,32,A,0.712617,0.000000,0.000000,0.912207,0.988804,0.003653,0.007353
fixed,50,100,32,A,-0.518505,0.000000,0.000000,0.942470,0.992712,0.000542,0.005535
fixed,50,100,32,A,0.631825,0.000000,0.000000,0.930345,0.991295,0.003268,0.007351
fixed,50,100,32,A,-0.958103,0.000000,0.000000,0.814619,0.976472,0.000729,0.007458
fixed,50,100,32,A,0.798755,0.180000,0.054332,0.886753,0.985808,0.003977,0.007514
fixed,50,100,32,A,-0.707005,0.000000,0.000000,0.896054,0.986866,0.000806,0.006363
fixed,50,100,32,A,-0.797670,0.000000,0.000000,0.867831,0.983454,0.000781,0.006554
fixed,50,100,32,A,-0.028518,0.320000,0.065970,0.999257,0.999927,0.000326,0.006437
fixed,50,100,32,A,0.388758,0.000000,0.000000,0.975460,0.996915,0.001970,0.007577
fixed,50,100,32,A,-0.358947,0.000000,0.000000,0.971797,0.996333,0.000175,0.004728
fixed,50,100,32,A,0.735145,0.000000,0.000000,0.905909,0.988054,0.003748,0.007376
fixed,50,100,32,A,0.972145,0.000000,0.000000,0.832187,0.978724,0.004317,0.008659
fixed,50,100,32,A,0.987781,0.100000,0.042426,0.826800,0.978016,0.004336,0.008830
fixed,50,100,32,A,0.226658,0.040000,0.027713,0.992938,0.999085,0.001206,0.007431
fixed,50,100,32,A,-0.260018,0.040000,0.027713,0.983124,0.997962,0.000068,0.004892
fixed,50,100,32,A,0.330559,0.000000,0.000000,0.982648,0.997839,0.001680,0.007570
fixed,50,100,32,A,0.984664,0.000000,0.000000,0.827979,0.978158,0.004332,0.008795
fixed,50,100,32,A,0.414497,0.200000,0.056569,0.970834,0.996454,0.002103,0.007566
fixed,50,100,32,A,0.631752,0.100000,0.042426,0.930371,0.991297,0.003268,0.007351
fixed,50,100,32,A,0.302101,0.000000,0.000000,0.985736,0.998232,0.001545,0.007549
fixed,50,100,32,A,0.565669,0.000000,0.000000,0.946272,0.993104,0.002918,0.007410
fixed,50,100,32,A,-0.052949,0.000000,0.000000,0.998638,0.999842,0.000269,0.006290
fixed,50,100,32,A,-0.171599,0.000000,0.000000,0.992185,0.999019,0.000087,0.005454
fixed,50,100,32,A,0.712969,0.000000,0.000000,0.912095,0.988792,0.003655,0.007354
fixed,50,100,32,A,0.966862,0.000000,0.000000,0.834303,0.978960,0.004311,0.008603
fixed,50,100,32,A,-0.207165,0.000000,0.000000,0.989475,0.998640,0.000067,0.005202
fixed,50,100,32,A,-0.952858,0.000000,0.000000,0.817213,0.976719,0.000727,0.007406
fixed,50,100,32,A,0.488382,0.000000,0.000000,0.960107,0.994953,0.002497,0.007501
fixed,50,100,32,A,-0.680495,0.000000,0.000000,0.902314,0.987790,0.000797,0.006296
fixed,50,100,32,A,0.594970,0.000000,0.000000,0.939899,0.992329,0.003076,0.007380
fixed,50,100,32,A,-0.902754,0.460000,0.070484,0.834591,0.979016,0.000724,0.006995
fixed,50,100,32,A,-0.383954,0.100000,0.042426,0.966787,0.995846,0.000222,0.004790
fixed,50,100,32,A,-0.549707,0.000000,0.000000,0.936400,0.991861,0.000613,0.005726
fixed,50,100,32,A,-0.286540,0.000000,0.000000,0.980840,0.997572,0.000083,0.004786
fixed,50,100,32,A,0.892786,0.100000,0.042426,0.860967,0.982140,0.004205,0.007971
fixed,50,100,32,A,0.731384,0.000000,0.000000,0.906141,0.988181,0.003732,0.007372
fixed,50,100,32,A,0.723021,0.000000,0.000000,0.908548,0.988460,0.003697,0.007363
fixed,50,100,32,A,0.719029,0.020000,0.019799,0.910136,0.988593,0.003681,0.007359
fixed,50,100,32,A,-0.638655,0.000000,0.000000,0.914356,0.989181,0.000763,0.006160
fixed,50,100,32,A,0.327679,0.000000,0.000000,0.983141,0.997881,0.001667,0.007568
fixed,50,100,32,A,0.026168,0.000000,0.000000,0.999998,1.000012,0.000473,0.006729
fixed,50,100,32,A,0.583430,0.200000,0.056569,0.940832,0.992639,0.003014,0.007391
fixed,50,100,32,A,-0.601479,0.580000,0.069800,0.922705,0.990347,0.000713,0.006002
fixed,50,100,32,A,0.887515,0.040000,0.027713,0.862628,0.982356,0.004196,0.007936
fixed,50,100,32,A,0.883877,0.900000,0.042426,0.863736,0.982505,0.004189,0.007913
fixed,50,100,32,A,-0.487535,0.000000,0.000000,0.949772,0.993510,0.000466,0.005337
fixed,50,100,32,A,0.790651,0.200000,0.056569,0.889212,0.986105,0.003951,0.007489
fixed,50,100,32,A,-0.916544,0.000000,0.000000,0.831107,0.978395,0.000721,0.007092
fixed,50,100,32,A,-0.624410,0.000000,0.000000,0.917235,0.989635,0.000746,0.006104
fixed,50,100,32,A,-0.510209,0.000000,0.000000,0.942311,0.992930,0.000522,0.005483
fixed,50,100,32,A,-0.140731,0.000000,0.000000,0.994349,0.999299,0.000119,0.005682
fixed,50,100,32,A,0.557684,0.000000,0.000000,0.946300,0.993309,0.002875,0.007419
fixed,50,100,32,A,-0.671415,0.000000,0.000000,0.905714,0.988098,0.000792,0.006270
fixed,50,100,32,A,0.653355,0.580000,0.069800,0.925334,0.990661,0.003377,0.007342
fixed,50,100,32,A,0.261930,0.000000,0.000000,0.989464,0.998720,0.001361,0.007497
fixed,50,100,32,A,0.739054,0.300000,0.064807,0.905484,0.987922,0.003763,0.007382
fixed,50,100,32,A,-0.751911,0.000000,0.000000,0.884651,0.985224,0.000802,0.006457
