iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,m_rec_lcb,surrogate_confident,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,y_acq_second,y_rec_check,y_rec_second,q_det_rec,q_det_acq,acq_source,kappa_eff,supported_q,supported_count,health_bad,stagnation_count,restart_id,restart_failure_count,restart_signal,restart_best_signal,restart_triggered,restart_seed,boundary_streak,scout_remaining,stop_supported,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,stopped_early
1,130000,13,0.93724814744164298,0.93724814744164298,0.0061588973699500038,0.93121242801909199,false,0.04019945700561077,0.040375622579135483,-0.056951389110313194,-0.34983122161815938,0.032103272245097791,-0.49475870517266762,0.85453387241870793,0.10350219014641232,1.0511880336968913,0.42730000000000001,NaN,NaN,NaN,0.93881616705010695,0.42530850391691977,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.93121242801909199,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
2,140000,14,1,1.0332407556465995,0.062109324909452299,0.93913286158873677,false,0.29902901836869017,0.043500315536774969,0.26494618655036134,0.49334301513826317,0.048581748202441988,0.49110541877267488,0.99811778317648514,0.098300962604903369,1.1848896121258015,0.1976,NaN,NaN,NaN,0.49071752540022451,0.19633935145934611,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.93913286158873677,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
3,150000,15,0.9394546065675311,0.9394546065675311,0.0077150874116521028,0.93189382090411199,false,0.024169937061837531,0.043292178815624936,-0.059715073938775697,-0.0078173934308456428,0.056982188383944976,-0.083496743946006147,0.87816612237151703,0.05243222477815826,0.97778734945001777,0.91320000000000001,NaN,NaN,NaN,0.93994159672298982,0.91023100806769819,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.93189382090411199,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
4,160000,16,0.94638428931866247,0.94638428931866247,0.010200689895932648,0.93638761322064845,false,0.01274285201350147,0.045956069683290586,-0.068614951021520515,-0.18105691914549005,0.048190693069018575,0.04693252196175135,0.89773420472798748,0.050126852598528733,0.99297522466519206,0.74039999999999995,NaN,NaN,NaN,0.93649892193559392,0.73243370525640195,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.93638761322064845,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
5,170000,17,1,1.013076420434011,0.038266159224741157,0.96249916395975366,false,0.19383549549765614,0.048410606189207707,-0.23779750659487747,0.47786514037236594,0.050637271482226076,-0.42205881318596994,0.9463130971489413,0.089178381459201803,1.1157520219214248,0.18730000000000002,NaN,NaN,NaN,0.69297684626836942,0.19214546617778838,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.96249916395975366,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
6,180000,18,0.94279352995196453,0.94279352995196453,0.0083148677362224616,0.93464495957046656,false,0.048993448541601758,0.044737142344656929,-0.064808246380287024,0.11395133550566605,0.046405041648481804,0.025154657949486792,0.90433518721822859,0.018614631479428243,0.93970298702914223,0.85850000000000004,NaN,NaN,NaN,0.92422660743294727,0.86124814803635674,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.93464495957046656,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
7,190000,19,0.94517967130492608,0.94517967130492608,0.0079499796956548612,0.93738869120318435,false,0.0264192538761568,0.042538829303565846,-0.090537006682899365,-0.01620723703695548,0.044666634676713279,-0.13044477260390397,0.93572223376183117,0.015426519739388566,0.96503262126666944,0.93700000000000006,NaN,NaN,NaN,0.93829405836504975,0.93364228495600254,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.93738869120318435,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
8,200000,20,0.94578507851496285,0.94578507851496285,0.0039146679659997491,0.94194870390828311,false,0.025565961676964323,0.042700743340226048,-0.092605593435837033,-0.015243309249364456,0.042175247582236786,-0.062779458972769264,0.93451288694001677,0.0056893451665727384,0.94532264275650502,0.94889999999999997,NaN,NaN,NaN,0.93809782256505869,0.94479193084877378,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.94194870390828311,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
9,210000,21,0.95090983495664361,0.95090983495664361,0.0021579310050695031,0.94879506257167545,false,-0.0029648780112482205,0.041966670760179611,-0.077733947990654986,-0.0062773589553917208,0.038531176720192795,-0.10649895042324209,0.93688856768626338,0.012470436559108792,0.96058239714857008,0.94989999999999997,NaN,NaN,NaN,0.9455440247440926,0.9501762450227047,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.94879506257167545,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
10,220000,22,0.96742326767236375,0.96742326767236375,0.019282739586170529,0.94852618287791668,false,-0.0028101164273497867,0.023308920787960586,0.012875573640054419,0.0023628867371578988,-0.0015742151454407605,0.18018151091727508,0.93519253437825822,0.055173347167986581,1.0400218939974328,0.99709999999999999,NaN,NaN,NaN,0.98336375036325163,0.99727951220421018,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.94852618287791668,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
11,230000,23,1,1.0001348840361501,0.0093014602265557404,0.99088456897797539,false,0.0052913421164914182,0.0067216125751680504,0.15642131352886893,0.048036418142258563,0.013687972792042258,0.47474839415337655,0.94690894618146648,0.063899441615064431,1.068317885250089,0.96940000000000004,NaN,NaN,NaN,0.99829243792588618,0.96916071462796538,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99088456897797539,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
12,240000,24,1,1.0015129326367409,0.011834481544601302,0.98840220808629076,false,0.0093866535678154266,0.0083660326702582107,0.20414750040733159,-0.017675036155412105,0.022225531857260394,0.46880251694473318,0.96624124279620216,0.044697664798308299,1.0511668059129879,0.98409999999999997,NaN,NaN,NaN,0.9967778365311657,0.9828895783688375,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98840220808629076,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
13,250000,25,1,1.0036217551143949,0.013912390766222377,0.98636585704910207,false,0.0029635866200603475,0.011083657237250674,0.24549931504131317,-0.010121733448935188,-0.025215986920737121,0.41827187730268722,0.94730862920511139,0.046378591164856951,1.0354279524183396,0.94199999999999995,NaN,NaN,NaN,0.99607100909379853,0.94343666613148769,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98636585704910207,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
14,260000,26,1,1.0040827092328994,0.013478883154088697,0.98679069450899304,false,0.0033251052732865389,0.011703692135309335,0.23992857372805643,0.019262828545676625,0.027328549846320493,0.35093070876154142,0.9912559347433203,0.01924608491551244,1.0278234960827939,0.98370000000000002,NaN,NaN,NaN,0.99596296620302882,0.98124506497211184,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98679069450899304,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
15,270000,27,1,1.0015467903258772,0.0096504416291226126,0.99054256720345979,false,0.0015775510365924244,0.0088364119235407636,0.21465802247736829,0.01064026313590194,-0.0089642194080585824,-0.079965388708600482,0.96227306453699146,0.035791643078437116,1.0302771863860221,0.99670000000000003,NaN,NaN,NaN,0.99725324710297725,0.99748048795110866,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99054256720345979,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
16,280000,28,1,1.0026221295906625,0.010610840845956785,0.98960137597096232,false,0.0088967255604759047,0.00019514322665703008,0.030856302511262503,0.050832146440367154,-0.026664083101295422,0.013172766837069361,0.96169271185972849,0.038504523361523178,1.0348513062466225,0.95489999999999997,NaN,NaN,NaN,0.99924369348922881,0.9528623004576755,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98960137597096232,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
17,290000,29,1,1.0028695811126198,0.010513662176956231,0.98969661106658291,false,0.0060797037203584401,0.00071811235035672521,0.025702487165618713,-0.0041868190260516691,-0.012420527068238041,-0.39301487637613608,0.93356556370138521,0.050862550843598545,1.0302044103042225,0.98860000000000003,NaN,NaN,NaN,0.99959594182992706,0.9881545155002035,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98969661106658291,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
18,300000,30,0.99982783195092306,0.99982783195092306,0.008707291231708535,0.99129468654384867,false,0.0011518639867705855,0.0047597154731233091,0.11183601444194496,0.030162429631024334,-0.002793356419945825,-0.48010091380117292,0.96927536328833463,0.035497922626322627,1.0367214162783476,0.97350000000000003,NaN,NaN,NaN,0.99926480244491311,0.96845576617213747,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99129468654384867,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
19,310000,31,0.99985279991818909,0.99985279991818909,0.0085875927638952385,0.99143695900957174,false,0.0014158779811502828,0.004965345047024095,0.11555740790909799,-0.02353755856907469,-0.0027286381160396278,-0.035722781731697628,0.99137781041127537,0.0190766786097409,1.0276234997697831,0.99539999999999995,NaN,NaN,NaN,0.99920176744959899,0.99442963694342279,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99143695900957174,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
20,320000,32,1,1.0009220256846723,0.0085033568915912766,0.99166671024624053,false,-0.0030133206140001102,0.0028150351521812776,0.061127935462426453,-0.014528726061832975,0.019812438201287419,0.21437948827773345,0.99396318204134393,0.013525718059299216,1.0196620463540125,0.99219999999999997,NaN,NaN,NaN,0.99965866052911534,0.98993622025589156,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99166671024624053,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
