iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,q_det_rec,q_det_acq,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3
1,Inf,13,1,1.0023659972300096,0.014165890325917814,0.00015609758982352943,-0.002600821746427031,0.099999999999999992,0.022365856510817878,0.0046653201058382415,0.098220476759907221,0.99597846907511889,0.018785751822305626,1.032798542646838,0.99488320634490324,0.99904377726162275,0.99488320634490324,0,0,0,-0,-0,-0
2,Inf,14,1,1.0016970370268907,0.0075732905762324601,-0.00084783218142262667,-0.002825690144520276,0.099999999999999992,-0.076713399334624122,-0.001581329622119737,0.097760624836135929,0.96604298110977038,0.030093142906795042,1.0250255412070888,0.94424014796872446,0.99897595227300462,0.94424014796872446,0,0,0,-0,-0,-0
3,Inf,15,1,1.0012713030728688,0.0049668652050318595,0.0031701019275771629,-0.002905247583029459,0.053212335846455787,-0.0014352828512775029,0.0056535419270206805,-0.082523629992477643,0.99386168737350888,0.014627465959162346,1.0225315206534671,0.99643201791389502,0.99955170983024466,0.99643201791389502,0,0,0,-0,-0,-0
4,Inf,16,1,1.0015601084132781,0.0046379304973103146,0.0028208147771185297,-0.0018309936979757238,0.028956448225442931,-0.014305050358979526,0.0041843957434637008,0.097451829519008742,0.99724979154262294,0.0093614324201787193,1.0155981990861733,0.997583951343888,0.99987543209643348,0.997583951343888,0,0,0,-0,-0,-0
5,Inf,17,1,1.0016186519807075,0.0043511483243279872,0.0024493827835005569,-0.0016273884219199033,0.032142543815270548,0.098396276240282493,0.093271031238381596,0.091568825226737538,0.87793210273124445,0.069076647180861706,1.0133223312057333,0.79786016117348946,0.99989821523588163,0.79786016117348946,0,0,0,-0,-0,-0
6,Inf,18,1,1.0016667065817435,0.0044892627520166329,0.0028827313011927508,-0.0016907172653479782,0.03390275280939118,0.013833595934005766,-0.00859760934233611,0.076011319525618376,0.99849236528148722,0.0075253148252711136,1.0132419823390186,0.99515090095204295,0.99986504075799087,0.99515090095204295,0,0,0,-0,-0,-0
7,Inf,19,1,1.0010164615743176,0.004022697717373464,-8.4485660445746366e-05,-6.8835451983306807e-05,0.021482712558471291,0.015770914528584659,-0.011708536871193068,-0.094473260463309616,0.99322087084103705,0.0094577291849503257,1.0117580200435397,0.99507864414254721,0.99998257821751191,0.99507864414254721,0,0,0,-0,-0,-0
8,Inf,20,1,1.0010645940946721,0.0040620187981644483,0.00086428408379258409,-0.00068256555238434778,0.012350728829281227,0.0029476899293463532,0.016988894337089055,0.085410261970025853,0.99246929145800578,0.0089585657881816379,1.0100280804028419,0.99251945827435051,0.99997934022360691,0.99251945827435051,0,0,0,-0,-0,-0
9,Inf,21,1,1.0010593516848709,0.00401963758064138,0.00085890651395381591,-0.0006840238855004738,0.012362150904847097,0.0045079909910070715,0.0016412145487969126,0.015608949054838075,1.0007366282037413,0.0043133638055760344,1.0091908212626703,0.99959702503539372,0.99997946742137556,0.99959702503539372,0,0,0,-0,-0,-0
10,Inf,22,1,1.0002328974113284,0.0018663207350332826,0.00089785563670715805,-0.0028902931322252138,-0.015936484885476061,-0.010526910843432713,-0.0060858215844517422,-0.095910118898127283,0.99631841484115946,0.0049144371628399514,1.0059507116803257,0.99792376029159191,0.99987044363670396,0.99792376029159191,0,0,0,-0,-0,-0
11,Inf,23,1,1.0003779890278475,0.0020690511967874129,-0.00018971054948078268,-0.0032976266280989723,-0.031677874507570626,0.0056101510813784949,-0.0045707333920947113,-0.058778427856702779,0.9999319337063669,0.0025114198901565214,1.0048543166910737,0.99921546980927167,0.99978569924450345,0.99921546980927167,0,0,0,-0,-0,-0
12,Inf,24,1,1.0001190427917277,0.0013269646591529409,-0.0017810305350301977,-0.00028373109036184101,0.023811049233024274,-0.013395256242946504,0.0030232097274576625,0.0059919133984694256,0.99856004986122038,0.0030596524273850895,1.0045569686188951,0.99775635514981753,0.9999635136980749,0.99775635514981753,0,0,0,-0,-0,-0
