iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,q_det_rec,q_det_acq,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3
1,1300,13,0.83019791931913867,0.83019791931913867,0.005940161125666127,-0.041908888992764563,0.12231114333501826,-0.32271653160476921,-0.036366965071169988,-0.39187458881920412,-0.37600436507106827,0.77174935543488887,0.075496547279758311,0.91972258810321517,0.37,0.69918052710006151,0.38846050422739592,0,0,0,-0,-0,-0
2,1400,14,0.95469950096305234,0.95469950096305234,0.048274635848823744,-0.04689313680860157,0.49999999999999994,-0.22911433597309297,-0.058417228378047081,0.49994044125436354,-0.068443220689520912,0.92890745189543467,0.061672885791554471,1.0497863080468814,0.5,0.46670815167618512,0.4749628323812306,0,0,0,-0,-0,-0
3,1500,15,0.86874188778685446,0.86874188778685446,0.032652879212913571,-0.033990545563972671,0.26496648299170433,-0.41048035600762367,-0.021616643518270084,0.37767542069267646,-0.48681695665792701,0.84181433665809124,0.060326089205088224,0.96005347150006415,0.40000000000000002,0.4751552717980802,0.44209437517269151,0,0,0,-0,-0,-0
4,1600,16,0.84387217482186705,0.84387217482186705,0.0096956051341416417,-0.045718253251258369,0.10354220903899951,-0.24053581736788954,-0.044417936200221941,0.13769312526631583,-0.15129359231439188,0.82840054061084878,0.017371302229121567,0.86244829297992709,0.69999999999999996,0.75692085585359781,0.67982720911568728,0,0,0,-0,-0,-0
5,1700,17,0.89654783596655008,0.89654783596655008,0.030327371237395595,-0.050610889187652108,0.13067417187894884,-0.46725496122072313,-0.054587113799016151,0.025140507582855465,-0.48482378055307418,0.87071197652370746,0.038913334897561234,0.94698211292292744,0.87,0.65620027302733752,0.91352557204844087,0,0,0,-0,-0,-0
6,1800,18,0.89680484122782178,0.89680484122782178,0.013084178668221825,-0.050406362313587354,0.1314089790065906,-0.46602499378549533,-0.049115083693454853,0.22717280100658521,-0.44809014863492336,0.87532353728433265,0.020431052403483519,0.9153683999951604,0.52000000000000002,0.65471514460831648,0.49484686473076189,0,0,0,-0,-0,-0
7,1900,19,0.93786737151577637,0.93786737151577637,0.016587131430271962,-0.058460022328284789,-0.09626758435236453,-0.45449618622659138,-0.066601199197124705,-0.10481702694313877,-0.45679395344955287,0.92112459551496739,0.031148540531872528,0.9821757349574376,0.75,0.79105615993917966,0.74972041586444327,0,0,0,-0,-0,-0
8,2000,20,0.9210385695834995,0.9210385695834995,0.011362072958829334,-0.050161390576493721,-0.047417706239332641,-0.43935607666980681,-0.043167165010762565,0.033653954139282627,-0.29436846687902385,0.88137371758543648,0.0097433682457801069,0.90047071934716549,0.93999999999999995,0.93260701025863557,0.92886058239979719,0,0,0,-0,-0,-0
9,2100,21,0.97591071960189701,0.97591071960189701,0.0089738453681065099,-0.045820672942668318,-0.03514305737817508,-0.35973531951392285,-0.050117623081616935,-0.093391668469875455,-0.3883236116072013,0.953574992968653,0.014203358693563598,0.98141357600803769,0.83999999999999997,0.95490227069307032,0.8021836254610637,0,0,0,-0,-0,-0
10,2200,22,0.94886783546440379,0.94886783546440379,0.028537554748278599,-0.02612795208553428,0.018857436065436283,-0.32562767653758962,0.039423610096911643,0.042743597365459962,-0.37689831188196776,0.89099477390105131,0.087763631235192638,1.0630114911220288,0.87,0.96077336497666554,0.90261709527251122,0,0,0,-0,-0,-0
11,2300,23,0.94563425051830319,0.94563425051830319,0.020711512694838084,-0.033575205319432408,0.018338441858812091,-0.32215807711120736,-0.025375139190786822,-0.020129413185632661,-0.25071535017872026,0.91685783374591501,0.048756843260884836,1.0124212465372493,0.97999999999999998,0.95803097125319647,0.98534784563958677,0,0,0,-0,-0,-0
12,2400,24,0.98137683746785198,0.98137683746785198,0.010813444652840983,-0.024510269669084483,-0.016889814336035758,-0.27078733243111208,0.030457834896270963,-0.014162384085898205,-0.20413661805682137,0.91372311370220438,0.058126119401155793,1.0276503077284698,0.96999999999999997,0.98695296094354157,0.98612406266573083,0,0,0,-0,-0,-0
13,2500,25,0.9878989533576974,0.9878989533576974,0.016390554442708892,-0.0020906445657747734,-0.015318236274298697,-0.24499513683122098,0.024612643434944736,-0.058205418189349212,-0.33030025505237082,0.92466328146680621,0.057891634818123025,1.0381308857103273,0.91000000000000003,0.99427349571735046,0.92331089385017617,0,0,0,-0,-0,-0
14,2600,26,0.98722199181401238,0.98722199181401238,0.01607730967532249,-0.003102000312928141,-0.012794511745575948,-0.23771352574718574,-0.020991814389517804,-0.015967729755489879,-0.073827389052028236,0.89065470731428587,0.069768399593162236,1.0274007705168837,1,0.99507294943197122,0.99059790846231222,0,0,0,-0,-0,-0
15,2700,27,1,1.0113452133023826,0.019397833491899396,-0.014233766605298136,-0.014956397588669837,-0.12911368508661264,-0.033544458969276381,-0.057546240487562184,-0.17536515362980687,0.968696813844791,0.045068713642296317,1.0570314925836919,0.89000000000000001,0.99394521092171262,0.91187237910637953,0,0,0,-0,-0,-0
16,2800,28,1,1.0166808056859797,0.024030097076204834,-0.0090833990384942484,0.0016503026986368317,-0.11154679755477784,0.055306455364329876,0.045763891193703499,-0.02877136135124081,0.89538949664506817,0.09045768036048972,1.0726865501516281,0.93000000000000005,0.99667313075121022,0.92063721766623985,0,0,0,-0,-0,-0
