iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,q_det_rec,q_det_acq,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3
1,130000,13,0.63750179120778139,0.63750179120778139,0.027751463078455874,-0.1989182813827535,-0.031533879279292278,-0.11357594969232511,-0.1462537303819349,0.10536752600144594,0.031510265073340538,0.57269801897027461,0.12088681818731996,0.80963618261742176,0.69030000000000002,0.66232207735047555,0.69436368533205894,0,0,0,-0,-0,-0
2,140000,14,0.69194309151149302,0.69194309151149302,0.022577085932236785,-0.15177152652257908,0.086105507715350346,0.0080895035045021029,-0.13102499570443937,0.28893549413971753,-0.46680983534764042,0.594742811543582,0.12546365609275795,0.84065157748538755,0.39860000000000001,0.72480430930618445,0.39054285276099249,0,0,0,-0,-0,-0
3,150000,15,0.71277155182790808,0.71277155182790808,0.04635368207160144,-0.15227914864048125,0.047355999108163099,0.15310953738719973,-0.12909688526223451,-0.016194233250871548,0.38657082832050826,0.67245875585689896,0.09580491186613839,0.86023638311453021,0.81920000000000004,0.79744600040556457,0.81917942034766689,0,0,0,-0,-0,-0
4,160000,16,0.81985332045314085,0.81985332045314085,0.010249446359176037,-0.13090187111300933,-0.017541225714754409,0.42365499959406527,-0.092835529856897914,-0.090845772719820195,0.39314553146282538,0.72201303330983579,0.1065589380541658,0.93086855189600071,0.60550000000000004,0.80948383576713634,0.60478145623194135,0,0,0,-0,-0,-0
5,170000,17,0.82946098998179529,0.82946098998179529,0.029306677304950297,-0.13799992057016064,-0.0084685801582939195,0.44600494203132884,-0.16799455736406776,-0.0035148868317227411,0.48073601106847352,0.77595835148397496,0.083098009211670057,0.93883044953884831,0.75429999999999997,0.81154227937831325,0.7537694354399419,0,0,0,-0,-0,-0
6,180000,18,0.82549754394061825,0.82549754394061825,0.017397243310167006,-0.13520182371147396,-0.0070931807938753311,0.42286749463530354,-0.15114854779079212,-0.046845049219341961,-0.06450760920634524,0.75268991912034555,0.083047783126155586,0.91546357404761047,0.73280000000000001,0.8213201773830594,0.73391994903582347,0,0,0,-0,-0,-0
7,190000,19,0.8268367043017848,0.8268367043017848,0.021152002333600664,-0.13442471624180122,-0.0026046008446722032,0.46282654883577307,-0.1488081907178378,-0.11918548976707921,0.4495131935543617,0.72896520985348445,0.078362313236885084,0.88255534379777922,0.37269999999999998,0.82781666898985806,0.37624336560508226,0,0,0,-0,-0,-0
8,200000,20,0.85784028130484646,0.85784028130484646,0.028346745457956169,-0.12890957441318446,0.024129493272613028,0.36685153115996288,-0.10792312499059076,0.070986893761323611,0.14089048865085396,0.77428238853129028,0.074252466922052895,0.91981722369851393,0.83450000000000002,0.86150633300886814,0.82823097317402472,0,0,0,-0,-0,-0
9,210000,21,0.8739611420271769,0.8739611420271769,0.029347372249689752,-0.12211065963772992,0.033031314792465773,0.33887290596451114,-0.11187202843515509,0.057980048651432581,0.42782462157603329,0.85907903947384689,0.046109327334015945,0.9494533210485181,0.86739999999999995,0.87085040286264981,0.86315488209212188,0,0,0,-0,-0,-0
10,220000,22,0.91287473543749231,0.91287473543749231,0.049900570705140625,-0.068716257128611624,0.024005056087314361,0.28580426095863337,0.006497366421938322,0.028768424819118898,0.31988114480665875,0.86396206479150939,0.10014199444011729,1.0602403738941393,0.98470000000000002,0.95100059040346174,0.98247950470857304,0,0,0,-0,-0,-0
