score_mode,axis,x_u,x_physical,physical_unit,score
full_l1,fcl,-0.5,-5,kHz,0.30935205756877637
full_l1,fcl,-0.495,-4.9500000000000002,kHz,0.31469132032251923
full_l1,fcl,-0.48999999999999999,-4.9000000000000004,kHz,0.32000257076438454
full_l1,fcl,-0.48499999999999999,-4.8499999999999996,kHz,0.3252796728908518
full_l1,fcl,-0.47999999999999998,-4.7999999999999998,kHz,0.3305169738190592
full_l1,fcl,-0.47499999999999998,-4.75,kHz,0.335709377659138
full_l1,fcl,-0.46999999999999997,-4.7000000000000002,kHz,0.34085242393728343
full_l1,fcl,-0.46500000000000002,-4.6500000000000004,kHz,0.34594235646190918
full_l1,fcl,-0.46000000000000002,-4.5999999999999996,kHz,0.35097619197838603
full_l1,fcl,-0.45500000000000002,-4.5499999999999998,kHz,0.35595177602568229
full_l1,fcl,-0.45000000000000001,-4.5,kHz,0.36086783968181502
full_l1,fcl,-0.44500000000000001,-4.4500000000000002,kHz,0.36572404292123384
full_l1,fcl,-0.44,-4.4000000000000004,kHz,0.37052101027470419
full_l1,fcl,-0.435,-4.3499999999999996,kHz,0.37526036422734621
full_l1,fcl,-0.42999999999999999,-4.2999999999999998,kHz,0.37994473846654997
full_l1,fcl,-0.42499999999999999,-4.25,kHz,0.38457779188709296
full_l1,fcl,-0.41999999999999998,-4.2000000000000002,kHz,0.38916420728455836
full_l1,fcl,-0.41499999999999998,-4.1500000000000004,kHz,0.39370968216496538
full_l1,fcl,-0.40999999999999998,-4.0999999999999996,kHz,0.39822091054555131
full_l1,fcl,-0.40500000000000003,-4.0500000000000007,kHz,0.40270555131707697
full_l1,fcl,-0.40000000000000002,-4,kHz,0.40717219133886906
full_l1,fcl,-0.39500000000000002,-3.9500000000000002,kHz,0.4116302953571962
full_l1,fcl,-0.39000000000000001,-3.8999999999999999,kHz,0.41609015181836206
full_l1,fcl,-0.38500000000000001,-3.8500000000000001,kHz,0.42056280521026523
full_l1,fcl,-0.38,-3.7999999999999998,kHz,0.42505998082481522
full_l1,fcl,-0.375,-3.75,kHz,0.42959400615253651
full_l1,fcl,-0.37,-3.7000000000000002,kHz,0.43417772213963168
full_l1,fcl,-0.36499999999999999,-3.6499999999999999,kHz,0.43882438752860287
full_l1,fcl,-0.35999999999999999,-3.6000000000000001,kHz,0.44354758039618902
full_l1,fcl,-0.35499999999999998,-3.5499999999999998,kHz,0.44836109458450935
full_l1,fcl,-0.34999999999999998,-3.5,kHz,0.4532788328278532
full_l1,fcl,-0.34499999999999997,-3.4499999999999997,kHz,0.45831469397181546
full_l1,fcl,-0.34000000000000002,-3.4000000000000004,kHz,0.4634824622087117
full_l1,fcl,-0.33500000000000002,-3.3500000000000001,kHz,0.46879569426743606
full_l1,fcl,-0.33000000000000002,-3.2999999999999998,kHz,0.47426760708658366
full_l1,fcl,-0.32500000000000001,-3.25,kHz,0.47991096645273013
full_l1,fcl,-0.32000000000000001,-3.2000000000000002,kHz,0.48573797407966723
full_l1,fcl,-0.315,-3.1499999999999999,kHz,0.49176016390757371
full_l1,fcl,-0.31,-3.1000000000000001,kHz,0.49798829648425968
full_l1,fcl,-0.30499999999999999,-3.0499999999999998,kHz,0.50443225935919955
full_l1,fcl,-0.29999999999999999,-3,kHz,0.51110097457756409
full_l1,fcl,-0.29499999999999998,-2.9500000000000002,kHz,0.51800230941515035
full_l1,fcl,-0.28999999999999998,-2.8999999999999999,kHz,0.52514299647400609
full_l1,fcl,-0.28499999999999998,-2.8499999999999996,kHz,0.53252855748240224
full_l1,fcl,-0.28000000000000003,-2.8000000000000003,kHz,0.54016323799642918
full_l1,fcl,-0.27500000000000002,-2.75,kHz,0.548049950106416
full_l1,fcl,-0.27000000000000002,-2.7000000000000002,kHz,0.55619022121285344
full_l1,fcl,-0.26500000000000001,-2.6499999999999999,kHz,0.56458415390306593
full_l1,fcl,-0.26000000000000001,-2.6000000000000001,kHz,0.57323039670616771
full_l1,fcl,-0.255,-2.5499999999999998,kHz,0.58212611894276201
full_l1,fcl,-0.25,-2.5,kHz,0.59126700250729924
full_l1,fcl,-0.245,-2.4500000000000002,kHz,0.60064723661107355
full_l1,fcl,-0.23999999999999999,-2.3999999999999999,kHz,0.61025952536769701
full_l1,fcl,-0.23499999999999999,-2.3500000000000001,kHz,0.62009510679312874
full_l1,fcl,-0.23000000000000001,-2.2999999999999998,kHz,0.63014377527914345
full_l1,fcl,-0.22500000000000001,-2.25,kHz,0.64039391964486558
full_l1,fcl,-0.22,-2.2000000000000002,kHz,0.65083256517410271
full_l1,fcl,-0.215,-2.1499999999999999,kHz,0.66144542800717654
full_l1,fcl,-0.20999999999999999,-2.1000000000000001,kHz,0.672216974610929
full_l1,fcl,-0.20499999999999999,-2.0499999999999998,kHz,0.68313049027360129
full_l1,fcl,-0.20000000000000001,-2,kHz,0.69416815309301838
full_l1,fcl,-0.19500000000000001,-1.95,kHz,0.70531111859465878
full_l1,fcl,-0.19,-1.8999999999999999,kHz,0.71653960199195343
full_l1,fcl,-0.185,-1.8500000000000001,kHz,0.72783297641419886
full_l1,fcl,-0.17999999999999999,-1.8,kHz,0.73916986816258534
full_l1,fcl,-0.17499999999999999,-1.75,kHz,0.75052825501522324
full_l1,fcl,-0.17000000000000001,-1.7000000000000002,kHz,0.7618855744039178
full_l1,fcl,-0.16500000000000001,-1.6499999999999999,kHz,0.77321882810361153
full_l1,fcl,-0.16,-1.6000000000000001,kHz,0.78450469141612456
full_l1,fcl,-0.155,-1.55,kHz,0.79571961930433754
full_l1,fcl,-0.14999999999999999,-1.5,kHz,0.80683995950336596
full_l1,fcl,-0.14499999999999999,-1.45,kHz,0.81784205794442322
full_l1,fcl,-0.14000000000000001,-1.4000000000000001,kHz,0.82870236863990077
full_l1,fcl,-0.13500000000000001,-1.3500000000000001,kHz,0.83939755582561126
full_l1,fcl,-0.13,-1.3,kHz,0.84990459843472477
full_l1,fcl,-0.125,-1.25,kHz,0.86020088844611131
full_l1,fcl,-0.12,-1.2,kHz,0.87026432612306681
full_l1,fcl,-0.115,-1.1499999999999999,kHz,0.88007340938149348
full_l1,fcl,-0.11,-1.1000000000000001,kHz,0.88960731969220275
full_l1,fcl,-0.105,-1.05,kHz,0.89884600174464968
full_l1,fcl,-0.10000000000000001,-1,kHz,0.90777023578803395
full_l1,fcl,-0.095000000000000001,-0.94999999999999996,kHz,0.91636170524020233
full_l1,fcl,-0.089999999999999997,-0.90000000000000002,kHz,0.92460305664809073
full_l1,fcl,-0.085000000000000006,-0.85000000000000009,kHz,0.93247795207204931
full_l1,fcl,-0.080000000000000002,-0.80000000000000004,kHz,0.93997111469220995
full_l1,fcl,-0.074999999999999997,-0.75,kHz,0.94706836751078349
full_l1,fcl,-0.070000000000000007,-0.70000000000000007,kHz,0.95375666274349058
full_l1,fcl,-0.065000000000000002,-0.65000000000000002,kHz,0.96002410502900015
full_l1,fcl,-0.059999999999999998,-0.59999999999999998,kHz,0.96585996725129675
full_l1,fcl,-0.055,-0.55000000000000004,kHz,0.97125469723207492
full_l1,fcl,-0.050000000000000003,-0.5,kHz,0.97619991959199492
full_l1,fcl,-0.044999999999999998,-0.45000000000000001,kHz,0.98068842814644952
full_l1,fcl,-0.040000000000000001,-0.40000000000000002,kHz,0.98471417281797013
full_l1,fcl,-0.035000000000000003,-0.35000000000000003,kHz,0.98827224053801088
full_l1,fcl,-0.029999999999999999,-0.29999999999999999,kHz,0.99135882916343354
full_l1,fcl,-0.025000000000000001,-0.25,kHz,0.99397121608136263
full_l1,fcl,-0.02,-0.20000000000000001,kHz,0.99610772224721089
full_l1,fcl,-0.014999999999999999,-0.14999999999999999,kHz,0.99776767143871825
full_l1,fcl,-0.01,-0.10000000000000001,kHz,0.99895134522526308
full_l1,fcl,-0.0050000000000000001,-0.050000000000000003,kHz,0.99965993505586259
full_l1,fcl,0,0,kHz,0.99989549141336287
full_l1,fcl,0.0050000000000000001,0.050000000000000003,kHz,0.99966087086176159
full_l1,fcl,0.01,0.10000000000000001,kHz,0.9989596816403693
full_l1,fcl,0.014999999999999999,0.14999999999999999,kHz,0.9977962284405546
full_l1,fcl,0.02,0.20000000000000001,kHz,0.99617545698498178
full_l1,fcl,0.025000000000000001,0.25,kHz,0.9941028989715367
