axis,x_u,x_physical,physical_unit,score
fcl,-0.5,-5,kHz,0.30935205756879075
fcl,-0.495,-4.9500000000000002,kHz,0.31469132032252117
fcl,-0.48999999999999999,-4.9000000000000004,kHz,0.3200025707644012
fcl,-0.48499999999999999,-4.8499999999999996,kHz,0.32527967289085102
fcl,-0.47999999999999998,-4.7999999999999998,kHz,0.33051697381908535
fcl,-0.47499999999999998,-4.75,kHz,0.33570937765911479
fcl,-0.46999999999999997,-4.7000000000000002,kHz,0.34085242393726112
fcl,-0.46500000000000002,-4.6500000000000004,kHz,0.3459423564618847
fcl,-0.46000000000000002,-4.5999999999999996,kHz,0.35097619197835472
fcl,-0.45500000000000002,-4.5499999999999998,kHz,0.3559517760256703
fcl,-0.45000000000000001,-4.5,kHz,0.36086783968181607
fcl,-0.44500000000000001,-4.4500000000000002,kHz,0.36572404292121197
fcl,-0.44,-4.4000000000000004,kHz,0.37052101027468026
fcl,-0.435,-4.3499999999999996,kHz,0.37526036422735415
fcl,-0.42999999999999999,-4.2999999999999998,kHz,0.37994473846654175
fcl,-0.42499999999999999,-4.25,kHz,0.38457779188709823
fcl,-0.41999999999999998,-4.2000000000000002,kHz,0.38916420728455536
fcl,-0.41499999999999998,-4.1500000000000004,kHz,0.39370968216497393
fcl,-0.40999999999999998,-4.0999999999999996,kHz,0.3982209105455517
fcl,-0.40500000000000003,-4.0500000000000007,kHz,0.40270555131706925
fcl,-0.40000000000000002,-4,kHz,0.40717219133885274
fcl,-0.39500000000000002,-3.9500000000000002,kHz,0.41163029535721918
fcl,-0.39000000000000001,-3.8999999999999999,kHz,0.41609015181833114
fcl,-0.38500000000000001,-3.8500000000000001,kHz,0.42056280521026285
fcl,-0.38,-3.7999999999999998,kHz,0.42505998082481444
fcl,-0.375,-3.75,kHz,0.42959400615255289
fcl,-0.37,-3.7000000000000002,kHz,0.43417772213965611
fcl,-0.36499999999999999,-3.6499999999999999,kHz,0.4388243875286042
fcl,-0.35999999999999999,-3.6000000000000001,kHz,0.4435475803962044
fcl,-0.35499999999999998,-3.5499999999999998,kHz,0.44836109458452483
fcl,-0.34999999999999998,-3.5,kHz,0.45327883282783665
fcl,-0.34499999999999997,-3.4499999999999997,kHz,0.45831469397181485
fcl,-0.34000000000000002,-3.4000000000000004,kHz,0.4634824622087394
fcl,-0.33500000000000002,-3.3500000000000001,kHz,0.46879569426743017
fcl,-0.33000000000000002,-3.2999999999999998,kHz,0.47426760708657989
fcl,-0.32500000000000001,-3.25,kHz,0.47991096645273673
fcl,-0.32000000000000001,-3.2000000000000002,kHz,0.48573797407964275
fcl,-0.315,-3.1499999999999999,kHz,0.4917601639075741
fcl,-0.31,-3.1000000000000001,kHz,0.4979882964842462
fcl,-0.30499999999999999,-3.0499999999999998,kHz,0.50443225935918201
fcl,-0.29999999999999999,-3,kHz,0.51110097457756021
fcl,-0.29499999999999998,-2.9500000000000002,kHz,0.51800230941515257
fcl,-0.28999999999999998,-2.8999999999999999,kHz,0.52514299647400309
fcl,-0.28499999999999998,-2.8499999999999996,kHz,0.53252855748239203
fcl,-0.28000000000000003,-2.8000000000000003,kHz,0.54016323799642507
fcl,-0.27500000000000002,-2.75,kHz,0.54804995010642765
fcl,-0.27000000000000002,-2.7000000000000002,kHz,0.55619022121285422
fcl,-0.26500000000000001,-2.6499999999999999,kHz,0.56458415390306471
fcl,-0.26000000000000001,-2.6000000000000001,kHz,0.5732303967061575
fcl,-0.255,-2.5499999999999998,kHz,0.5821261189427579
fcl,-0.25,-2.5,kHz,0.59126700250731756
fcl,-0.245,-2.4500000000000002,kHz,0.60064723661108976
fcl,-0.23999999999999999,-2.3999999999999999,kHz,0.61025952536767736
fcl,-0.23499999999999999,-2.3500000000000001,kHz,0.62009510679315127
fcl,-0.23000000000000001,-2.2999999999999998,kHz,0.63014377527915466
fcl,-0.22500000000000001,-2.25,kHz,0.64039391964485792
fcl,-0.22,-2.2000000000000002,kHz,0.65083256517407695
fcl,-0.215,-2.1499999999999999,kHz,0.66144542800718575
fcl,-0.20999999999999999,-2.1000000000000001,kHz,0.67221697461090357
fcl,-0.20499999999999999,-2.0499999999999998,kHz,0.68313049027360573
fcl,-0.20000000000000001,-2,kHz,0.69416815309298985
fcl,-0.19500000000000001,-1.95,kHz,0.70531111859465223
fcl,-0.19,-1.8999999999999999,kHz,0.71653960199194977
fcl,-0.185,-1.8500000000000001,kHz,0.72783297641424727
fcl,-0.17999999999999999,-1.8,kHz,0.739169868162592
fcl,-0.17499999999999999,-1.75,kHz,0.75052825501522646
fcl,-0.17000000000000001,-1.7000000000000002,kHz,0.76188557440387661
fcl,-0.16500000000000001,-1.6499999999999999,kHz,0.77321882810361153
fcl,-0.16,-1.6000000000000001,kHz,0.7845046914161462
fcl,-0.155,-1.55,kHz,0.79571961930434076
fcl,-0.14999999999999999,-1.5,kHz,0.80683995950337195
fcl,-0.14499999999999999,-1.45,kHz,0.81784205794438392
fcl,-0.14000000000000001,-1.4000000000000001,kHz,0.82870236863990554
fcl,-0.13500000000000001,-1.3500000000000001,kHz,0.83939755582559106
fcl,-0.13,-1.3,kHz,0.849904598434709
fcl,-0.125,-1.25,kHz,0.86020088844611364
fcl,-0.12,-1.2,kHz,0.87026432612305826
fcl,-0.115,-1.1499999999999999,kHz,0.88007340938150025
fcl,-0.11,-1.1000000000000001,kHz,0.88960731969219053
fcl,-0.105,-1.05,kHz,0.89884600174464546
fcl,-0.10000000000000001,-1,kHz,0.90777023578804195
fcl,-0.095000000000000001,-0.94999999999999996,kHz,0.91636170524020766
fcl,-0.089999999999999997,-0.90000000000000002,kHz,0.92460305664808073
fcl,-0.085000000000000006,-0.85000000000000009,kHz,0.93247795207204243
fcl,-0.080000000000000002,-0.80000000000000004,kHz,0.93997111469220396
fcl,-0.074999999999999997,-0.75,kHz,0.94706836751077539
fcl,-0.070000000000000007,-0.70000000000000007,kHz,0.9537566627434888
fcl,-0.065000000000000002,-0.65000000000000002,kHz,0.96002410502899194
fcl,-0.059999999999999998,-0.59999999999999998,kHz,0.96585996725129841
fcl,-0.055,-0.55000000000000004,kHz,0.97125469723207791
fcl,-0.050000000000000003,-0.5,kHz,0.97619991959198904
fcl,-0.044999999999999998,-0.45000000000000001,kHz,0.98068842814644608
fcl,-0.040000000000000001,-0.40000000000000002,kHz,0.98471417281796525
fcl,-0.035000000000000003,-0.35000000000000003,kHz,0.98827224053801344
fcl,-0.029999999999999999,-0.29999999999999999,kHz,0.99135882916342677
fcl,-0.025000000000000001,-0.25,kHz,0.99397121608136363
fcl,-0.02,-0.20000000000000001,kHz,0.99610772224721067
fcl,-0.014999999999999999,-0.14999999999999999,kHz,0.99776767143871981
fcl,-0.01,-0.10000000000000001,kHz,0.99895134522526208
fcl,-0.0050000000000000001,-0.050000000000000003,kHz,0.99965993505586226
fcl,0,0,kHz,0.99989549141336331
fcl,0.0050000000000000001,0.050000000000000003,kHz,0.9996608708617627
fcl,0.01,0.10000000000000001,kHz,0.99895968164036897
fcl,0.014999999999999999,0.14999999999999999,kHz,0.9977962284405556
fcl,0.02,0.20000000000000001,kHz,0.996175456984982
