iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,q_det_rec,q_det_acq,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3
1,1300000,13,0.66108864088351993,0.66108864088351993,0.016671845449440916,-0.12200486711473682,0.1157577228580276,-0.13678265593435229,-0.47961701673467694,0.094320049647981463,-0.34546245590511915,0.61767352910513007,0.080460974579788916,0.77537703928151636,0.29315999999999998,0.6803408757504128,0.29468438806109359,0,0,0,-0,-0,-0
2,1400000,14,0.74431881096696384,0.74431881096696384,0.058352548586831421,0.27080912629766218,0.12902908584765854,0.084737509098024646,0.48354726415607474,0.13058048582020731,0.43023992751040074,0.70645163562290225,0.094177849661894089,0.89104022096021462,0.21659999999999999,0.52824907946281729,0.21637093464206467,0,0,0,-0,-0,-0
3,1500000,15,0.6709884431214741,0.6709884431214741,0.019586479429110053,-0.043463505226351416,0.13105778608045895,-0.1902713717338399,0.24559066876396796,0.12960965799673674,-0.48779012565301239,0.61304677015249165,0.072274846744568383,0.75470546977184572,0.50678999999999996,0.6921169373555438,0.5101010557658946,0,0,0,-0,-0,-0
4,1600000,16,0.66287211476746988,0.66287211476746988,0.0092149467449350094,-0.11771152107455136,0.13049028237471463,-0.10041185441046059,-0.16871165638041941,0.13973989744331949,-0.15056264845399658,0.64972259338899274,0.0230882275808975,0.69497551944755187,0.57064000000000004,0.65392580368475473,0.57186518380202878,0,0,0,-0,-0,-0
5,1700000,17,0.67365813900118243,0.67365813900118243,0.011685689546276433,-0.056050449087646899,0.11838479894693833,-0.086082302566136679,-0.059792752208753797,0.11185825488628542,0.043688530268321868,0.6508087467312158,0.026109721552908242,0.70198380097491597,0.75861000000000001,0.7298145351255132,0.75802008941164334,0,0,0,-0,-0,-0
6,1800000,18,0.76282605871932985,0.76282605871932985,0.0070274419440390532,-0.057567166872868794,0.10819013363696101,0.080692192206324648,-0.14607848149985814,0.1019125741563276,0.22594240148892974,0.73393801441093776,0.033314991338163708,0.79923539743373861,0.72208000000000006,0.77234057279577362,0.72084706255616382,0,0,0,-0,-0,-0
7,1900000,19,0.76153313025706204,0.76153313025706204,0.0050756883564942153,-0.048275390796284963,0.10878185527361532,0.066419970839260087,0.082202726641758872,0.091817572286870153,0.0044654281025107156,0.70843464692156255,0.033761614976699925,0.77460741227589436,0.80196999999999996,0.77388524054900376,0.80384791490246543,0,0,0,-0,-0,-0
8,2000000,20,0.80509784262703854,0.80509784262703854,0.0055979860465643957,0.061838317387069089,0.095475831079781123,0.020452335185490573,0.066434238306078308,0.094800011013514096,0.16634776371885196,0.77435603946388554,0.019025543825660737,0.81164610536218063,0.82042000000000004,0.80737984728460566,0.81932148337804478,0,0,0,-0,-0,-0
9,2100000,21,0.82441043452755891,0.82441043452755891,0.0039129088969778346,0.076359868943358319,0.094312701153828324,0.1202461267392138,0.11179826115416658,0.088474916940447512,0.11180911291809714,0.81526722024889597,0.010219329749037056,0.83529710655700862,0.79778000000000004,0.81193001762778039,0.79799029810308386,0,0,0,-0,-0,-0
10,2200000,22,0.82611691131053278,0.82611691131053278,0.021850231815533899,0.037366932794627744,0.078266617694203275,0.22447923152836466,0.010585975631126399,0.022635632871268019,0.42298444867677576,0.79192889060689819,0.068654255062351552,0.9264912305291072,0.98573999999999995,0.87407217931469849,0.98556072738200895,0,0,0,-0,-0,-0
11,2300000,23,0.99280421651740425,0.99280421651740425,0.019143891024635578,-0.0035169430956563481,0.010150382471428051,0.48964241695648392,-0.037869845711534511,-0.034706347618578048,0.47641974069729431,0.95382334698840077,0.057062790738995062,1.0656664168368311,0.89327999999999996,0.98561551336435116,0.89517366838865631,0,0,0,-0,-0,-0
12,2400000,24,0.98713312132513864,0.98713312132513864,0.0091939554391649112,0.0099876014021676642,0.023293877756947686,0.46363099094725879,-0.020858684867079313,0.0052225165737289636,0.27876661716569728,0.94314963468080071,0.033948622111725502,1.0096889340197828,0.99177000000000004,0.98391165466272423,0.99180948111726408,0,0,0,-0,-0,-0
13,2500000,25,0.99844281329972318,0.99844281329972318,0.0084221663867210771,-0.0028597916793264592,0.014755242239027778,0.30522864327138743,0.016882436305289517,-0.0077462836574520022,0.23533268337326607,0.97667915704446484,0.027978568421830743,1.0315171511512531,0.98834999999999995,0.99358427312320841,0.98837614990998601,0,0,0,-0,-0,-0
14,2600000,26,1,1.0010862108376304,0.0086316470428332241,0.0051827746317780529,0.011471075248971528,0.28786759781711768,-0.019574156789419206,0.0094732728271880173,0.10019223602319527,0.96816722173323955,0.026151879111676643,1.0194249047921258,0.99455000000000005,0.99483897693830259,0.99447411706454614,0,0,0,-0,-0,-0
15,2700000,27,1,1.0028771538501808,0.0099798017123582921,0.00011739985807007198,0.012154627148922325,0.20585032056610064,0.0019905504326807044,0.024092886669965452,0.25099801138499789,0.99901598534266078,0.013998359326554468,1.0264527696227075,0.98823000000000005,0.99636733868610816,0.9877200407118979,0,0,0,-0,-0,-0
16,2800000,28,0.99903139746590386,0.99903139746590386,0.0063145882521684375,-0.0085610180261036541,0.0043159389706952439,0.1683264228548132,0.012545702768452571,0.0038962858793554211,-0.0077532630559207227,0.97232579743498393,0.024243543377164029,1.0198431424542254,0.99773999999999996,0.99797341351876234,0.99754597962855363,0,0,0,-0,-0,-0
17,2900000,29,1,1.0019025819912939,0.0070721078534575436,0.0041500062627044393,0.0011227773881254269,0.067987184858109825,-0.035541970049369986,-0.0065818711485934323,-0.17748495862724289,0.94552369351466425,0.044046647030407213,1.0318551216942624,0.98421000000000003,0.99970374075753576,0.98478084094709772,0,0,0,-0,-0,-0
18,3000000,30,1,1.0023800374084866,0.0090024768345379723,-0.006069402141926316,-0.003810944882566821,-0.005578068513359305,0.010557776919754236,-0.038302084496543598,-0.040787845073565032,0.96885946153101243,0.032521010986735988,1.032600643065015,0.95979000000000003,0.99945937945192642,0.95931889828223904,0,0,0,-0,-0,-0
