seed,N_shots,total_shots,n_train,q_det,q_rec,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
150918,100000,11300000,112,0.9999705145631862,1,0,0,0,-0,-0,-0,0.68050642553489926,0.39262578526074532,1.5,1.0164277391322214,0.050000000000000031,570.94700407981873
615903,100000,11300000,112,0.99998469406249701,0.99995999999999996,0,0,0,-0,-0,-0,0.60460591257461971,0.33433602154837433,1.5,0.97616807433481645,0.050000000000000031,575.90275597572327
558664,100000,11300000,112,0.99992530023438042,0.99994000000000005,0,0,0,-0,-0,-0,0.55165683800353194,0.3383754449617819,1.5,0.84734219895029861,0.050000000000004027,590.16002082824707
400294,100000,11300000,112,0.99997714506597968,0.99994000000000005,0,0,0,-0,-0,-0,0.62120193514026945,0.36788342884416531,1.5,1.0308401347455542,0.050000000000000031,590.22122120857239
981559,100000,11300000,112,0.99996469549041267,0.99999000000000005,0,0,0,-0,-0,-0,0.59116140715488497,0.33316845566726139,1.5,0.93622160848259661,0.050000000000000031,592.99108195304871
225142,100000,11300000,112,0.99994612644400438,0.99999000000000005,0,0,0,-0,-0,-0,0.49896031708023142,0.30651708568518299,1.5,0.73371560368977495,0.050000000000000031,597.53805685043335
473966,100000,11300000,112,0.99999551330359238,0.99999000000000005,0,0,0,-0,-0,-0,0.59058769353537144,0.35636033388072563,1.5,0.96187130191382109,0.050000000000000031,604.90306496620178
5937,100000,11300000,112,0.99996907114909961,0.99995000000000001,0,0,0,-0,-0,-0,0.63214287855830908,0.40487564821022065,1.5,1.0418384317307798,0.050000000000000031,607.56921696662903
318670,100000,11300000,112,0.99988649867075752,0.99983999999999995,0,0,0,-0,-0,-0,0.61003835314611377,0.35818300360330269,1.5,0.99318457801245441,0.75339115756594421,613.84218287467957
963284,100000,11300000,112,0.99994486011063333,0.99995000000000001,0,0,0,-0,-0,-0,0.61395664685732243,0.37963015544049517,1.5,0.92393514067675575,0.050000000000003736,696.36169195175171
909858,100000,11300000,112,0.99997823140857178,0.99997999999999998,0,0,0,-0,-0,-0,0.5392826214580182,0.33607274791391517,1.5,0.85412272906899811,0.050000000000000031,733.56463885307312
250215,100000,11300000,112,0.99999333935435075,1,0,0,0,-0,-0,-0,0.56376373378167777,0.35308295632270303,1.5,0.98144311807343865,0.050000000000002563,740.20613694190979
438880,100000,11300000,112,0.99999319416747467,1,0,0,0,-0,-0,-0,0.71079609278480038,0.35599672988040582,1.5,1.0126798868458906,0.050000000000000031,749.39004993438721
150574,100000,11300000,112,0.99987149186301016,0.99988999999999995,0,0,0,-0,-0,-0,0.60910365044915371,0.32831718483824229,1.5,1.0090581414826179,0.050000000000000031,747.87169504165649
955377,100000,11300000,112,0.99980948628348365,0.99987999999999999,0,0,0,-0,-0,-0,0.56902791006219522,0.35063379037112247,1.5,0.87759444050041302,0.05000000000000434,835.50644087791443
849665,100000,11300000,112,0.99985821729679547,0.99975999999999998,0,0,0,-0,-0,-0,0.60360947126962672,0.36448714312977426,1.5,1.0042925542628596,0.050000000000000031,852.18005299568176
714078,100000,11300000,112,0.99999765231675963,0.99999000000000005,0,0,0,-0,-0,-0,0.52121147533561552,0.32431141842304856,1.5,0.72660703939780502,0.050000000000000273,875.60538196563721
473867,100000,11300000,112,0.99993781346412336,0.99992000000000003,0,0,0,-0,-0,-0,0.58187263335949524,0.37464274816094001,1.5,0.80473769307657284,0.050000000000000031,880.91375303268433
670733,100000,11300000,112,0.99997081696887191,0.99995999999999996,0,0,0,-0,-0,-0,0.61039494365124247,0.33990247562498099,1.5,0.95974368715205305,0.050000000000000031,929.0435791015625
359405,100000,11300000,112,0.99998305488194472,0.99994000000000005,0,0,0,-0,-0,-0,0.59299792451334343,0.38275902416732821,1.5,1.0472385876109689,0.050000000000000031,940.98501110076904
902578,100000,11300000,112,0.99996722929532411,0.99995000000000001,0,0,0,-0,-0,-0,0.65303551117575043,0.33770441138157614,1.5,0.98169044819470153,0.050000000000000829,509.88682389259338
61646,100000,11300000,112,0.99999322915070954,1,0,0,0,-0,-0,-0,0.59999904861474462,0.35268598079326879,1.5,0.97120987321335683,0.050000000000000031,504.86688709259033
184672,100000,11300000,112,0.9999131115856057,0.99987000000000004,0,0,0,-0,-0,-0,0.59747821981345539,0.38803067345415787,1.5,0.98909861634130314,0.050000000000000051,502.03776407241821
