seed,N_shots,total_shots,n_train,q_det,q_rec,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
225142,Inf,Inf,112,0.99999952769440481,0.99999952769440481,0,0,0,-0,-0,-0,0.49905728176538372,0.30909951272852293,1.5,0.72846641582043781,0.38729815847522497,502.13830089569092
714078,Inf,Inf,112,0.99999979826375818,0.99999979826375818,0,0,0,-0,-0,-0,0.52900539403019153,0.33052805093510795,1.5,0.72440541410923021,0.38729815218755359,505.80647706985474
150918,Inf,Inf,112,0.99999951060614778,0.99999951060614778,0,0,0,-0,-0,-0,0.68133277216615662,0.38893644674272632,1.5,0.99485620849551926,0.3873001349589924,508.34259700775146
849665,Inf,Inf,112,0.99999895059941102,0.99999895059941102,0,0,0,-0,-0,-0,0.59365256100134844,0.36035823812427298,1.5,0.96395973324794337,0.38729806897922542,510.05224418640137
670733,Inf,Inf,112,0.99999973602971348,0.99999973602971348,0,0,0,-0,-0,-0,0.60108325083517289,0.34665534304228202,1.5,0.93698262746244898,0.38729737277610926,516.57398295402527
963284,Inf,Inf,112,0.99999871320967015,0.99999871320967015,0,0,0,-0,-0,-0,0.62488236697619515,0.37773666505447884,1.5,0.90318610738934746,0.38738908058623656,521.00772905349731
150574,Inf,Inf,112,0.9999997618778188,0.9999997618778188,0,0,0,-0,-0,-0,0.61122260689560926,0.32513781770858319,1.5,0.98370752207826739,0.38729839150243761,521.76512694358826
615903,Inf,Inf,112,0.99999975377987271,0.99999975377987271,0,0,0,-0,-0,-0,0.60705683745791406,0.32657137014227083,1.5,0.95937693738032304,0.38729612723723827,526.2047917842865
955377,Inf,Inf,112,0.99999953390042884,0.99999953390042884,0,0,0,-0,-0,-0,0.57652512192742134,0.34740414329888303,1.5,0.85470391029145587,0.38730176507098818,531.18946218490601
473867,Inf,Inf,112,0.99999959730457666,0.99999959730457666,0,0,0,-0,-0,-0,0.57559504783837634,0.36554623532784558,1.5,0.78001522169077164,0.38729763319782912,629.29774403572083
250215,Inf,Inf,112,0.99999904284091923,0.99999904284091923,0,0,0,-0,-0,-0,0.58846078445619676,0.35493998094210921,1.5,0.95405358638933835,0.3873023217124697,680.59355497360229
473966,Inf,Inf,112,0.99999982036578394,0.99999982036578394,0,0,0,-0,-0,-0,0.60667618523594369,0.36155276601254588,1.5,0.97232763664592869,0.387299718483889,907.27503991127014
909858,Inf,Inf,112,0.99999956037513238,0.99999956037513238,0,0,0,-0,-0,-0,0.56185033180623511,0.33731788577300736,1.5,0.86090137341261308,0.38729657178777838,907.77936410903931
400294,Inf,Inf,112,0.99999973464056169,0.99999973464056169,0,0,0,-0,-0,-0,0.62255468777773382,0.37223997598566444,1.5,1.0134512602060433,0.38729867406215923,910.9577968120575
359405,Inf,Inf,112,0.99999956036774729,0.99999956036774729,0,0,0,-0,-0,-0,0.59501343522998984,0.38342385811297713,1.5,1.0383052736688934,0.38729813364090943,920.48251295089722
438880,Inf,Inf,112,0.99999966918544769,0.99999966918544769,0,0,0,-0,-0,-0,0.70442062152935003,0.35268282000415824,1.5,0.99457409321415524,0.38729698319996947,925.96837902069092
558664,Inf,Inf,112,0.99999938667411004,0.99999938667411004,0,0,0,-0,-0,-0,0.50963314171330221,0.34069388402960488,1.5,0.79803511554840378,0.38729776498650231,926.13956594467163
5937,Inf,Inf,112,0.99999829201435664,0.99999829201435664,0,0,0,-0,-0,-0,0.62711341649809216,0.40199732801268212,1.5,1.0385815911424352,0.38729990340130044,927.03762292861938
318670,Inf,Inf,112,0.99999834849516966,0.99999834849516966,0,0,0,-0,-0,-0,0.6177214889806133,0.36150027410405156,1.5,0.9681262096515223,0.387297442856397,942.89010405540466
981559,Inf,Inf,112,0.99999979130031291,0.99999979130031291,0,0,0,-0,-0,-0,0.62224344608142934,0.33793816697985218,1.5,0.92816750787297797,0.38729812038338579,947.03706002235413
902578,Inf,Inf,112,0.99999962142050802,0.99999962142050802,0,0,0,-0,-0,-0,0.63499650718955181,0.34061355134933219,1.5,0.987701680314651,0.38729840168494295,496.10829615592957
61646,Inf,Inf,112,0.99999966593622147,0.99999966593622147,0,0,0,-0,-0,-0,0.60376386979689489,0.35057915311864446,1.5,0.9557042073786558,0.38729817635727604,499.2521378993988
197255,Inf,Inf,112,0.9999994281883291,0.9999994281883291,0,0,0,-0,-0,-0,0.65020753449690571,0.36843850860412991,1.5,1.0127722709435107,0.38729693920142272,501.15727210044861
462583,Inf,Inf,112,0.99999940702633838,0.99999940702633838,0,0,0,-0,-0,-0,0.56355872895387427,0.34400440291291207,1.5,0.89029127439513034,0.38729811929832397,502.14953112602234
184672,Inf,Inf,112,0.99999957153345409,0.99999957153345409,0,0,0,-0,-0,-0,0.59078995431151338,0.38664366459967608,1.5,0.96457852111017095,0.38730173238307841,498.24836587905884
720308,Inf,Inf,112,0.99999980930134469,0.99999980930134469,0,0,0,-0,-0,-0,0.61632374069674634,0.36247206415535077,1.5,0.87845441068982999,0.38729828205972056,513.18716597557068
