iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,m_rec_lcb,surrogate_confident,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,y_acq_second,y_rec_check,y_rec_second,q_det_rec,q_det_acq,acq_source,kappa_eff,supported_q,supported_count,health_bad,stagnation_count,restart_id,restart_failure_count,restart_signal,restart_best_signal,restart_triggered,restart_seed,boundary_streak,scout_remaining,stop_supported,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,stopped_early
1,130000,13,0.16807821399336531,0.16807821399336531,0.013375511817258977,0.15497021241245151,false,-0.20226797923211884,0.091554412205005944,0.19495706898868517,-0.47645122298796316,-0.15039782170158134,0.17824576306738726,0.15601468577271388,0.027342856359675177,0.20796611285609673,0,NaN,NaN,NaN,0.29868091830714527,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.15497021241245151,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
2,140000,14,0.18420032099944503,0.18420032099944503,0.015507472335855085,0.16900299811030706,false,0.037731490689705535,0.31360061813692586,0.2146166704752569,0.36261777480080126,0.49469693978541596,0.21157220346481642,0.17300919981077914,0.028465466750582057,0.22709358663688506,0,NaN,NaN,NaN,0.041156468411546243,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.16900299811030706,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
3,150000,15,0.17661611198629856,0.17661611198629856,0.010830045703405259,0.16600266719696141,false,-0.33630831646515141,0.081140710325422735,0.21775331589133348,-0.35111513575860465,-0.068589636944714982,0.22802185598565994,0.16534297624592775,0.019276540718456182,0.2019684036109945,0,NaN,NaN,NaN,0,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.16600266719696141,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
4,160000,16,0.17300910974422595,0.17300910974422595,0.0060347139355178903,0.16709509008741841,false,-0.22478765075159288,0.23245688955494165,0.20402040360118123,-0.335126000525239,0.41689127175957985,0.19929416955969281,0.15859862142193465,0.015757954568890654,0.1885387351028269,0,NaN,NaN,NaN,0,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.16709509008741841,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
5,170000,17,0.19234980122399797,0.19234980122399797,0.009479264826926426,0.18306012169361008,false,-0.030632560705524101,-0.037651385662758399,0.20491797227696143,0.12750806852186125,-0.21794512989993642,0.20181112524696809,0.1803203528971021,0.017263406181397406,0.21312082464175719,0,NaN,NaN,NaN,0.8595749197436453,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.18306012169361008,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
6,180000,18,0.16315002979695839,0.16315002979695839,0.0009640070736614616,0.16220530286477017,false,-0.18915025362207383,0.11128992675134518,0.20897919404342755,-0.2483171182681414,-0.3323815603897835,0.10771936364006551,0.11779919214944258,0.017934654001758234,0.15187503475278322,0,NaN,NaN,NaN,0.2765596634789399,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.16220530286477017,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
7,190000,19,0.163072998501546,0.163072998501546,0.00092941501433410319,0.16216217178749859,false,-0.18862081463986258,0.1111262413985932,0.20885828816923963,0.38758789173501396,0.21241310302536021,0.12005168041373593,0.1278450699785034,0.02041072820173823,0.16662545356180603,0,NaN,NaN,NaN,0.27880257296147715,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.16216217178749859,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
8,200000,20,0.16317104852661504,0.16317104852661504,0.00098792974958476039,0.16220287737202196,false,-0.18633184476850642,0.11379854153278783,0.20904245359602325,-0.16014225359833412,0.20748599396384737,0.20787074147993789,0.1490920395938265,0.0027859162926979937,0.15438528054995268,0,NaN,NaN,NaN,0.2757088602008948,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.16220287737202196,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
9,210000,21,0.31050998074600528,0.31050998074600528,0.0062065231568993948,0.30442758805224385,false,-0.40525593729990156,-0.043914084538449902,0.20631076764399012,-0.38358151440636057,-0.064658705330913335,0.20534093752375981,0.3082107341519944,0.0061846615871762062,0.31996159116762918,0,NaN,NaN,NaN,0,0,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.30442758805224385,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
10,220000,22,0.1627415773087893,0.1627415773087893,0.0020350968768345682,0.16074718236949143,false,-0.21082765400942974,0.12376141808359369,0.20951787591043494,-0.26380728413035692,0.10814539142844026,0.052229595897451242,0.14179672719083403,0.023672929344341127,0.18677529294508216,0.0032000000000000639,NaN,NaN,NaN,0.16260878985838245,0.0034993896936845736,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.16074718236949143,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
11,230000,23,0.19398016090644105,0.19398016090644105,0.01420528153381795,0.18005898500329945,false,-0.16905883288604723,0.13543908109854355,0.32791472251583276,-0.18994253107771208,0.1374356496489515,0.31962140316940113,0.19191095736842845,0.01459259932551177,0.21963689608690082,0.21080000000000004,NaN,NaN,NaN,0.2586324900336141,0.19411167834208476,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.18005898500329945,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
12,240000,24,0.2134239636759967,0.2134239636759967,0.007287790202790214,0.2062819292772623,false,-0.16955101008680629,0.13907824331376079,0.36666546195701388,-0.076639063858041645,0.13640237337684802,0.19164140276343633,0.18539184898713057,0.031220685516495903,0.24471115146847278,0.40060000000000007,NaN,NaN,NaN,0.2491669588891024,0.39847910339047754,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.2062819292772623,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
13,250000,25,0.42024731548441641,0.42024731548441641,0.02056289662616043,0.40009567679077918,false,-0.029675824211297431,0.13651901009665285,0.17077872997858645,0.033068421824978378,0.13311073653418592,0.22782280900626795,0.39517439257641462,0.045506609149723938,0.48163694996089013,0.48360000000000003,NaN,NaN,NaN,0.43644981413599393,0.48353389415341563,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.40009567679077918,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
14,260000,26,0.48376313120137659,0.48376313120137659,0.0031848714748518364,0.48064195715602182,false,0.034156587180184272,0.13380444236587644,0.22746618503483954,0.064551214860266271,0.13840648534836064,-0.15913064378699215,0.43677496766844126,0.05628844885761649,0.54372302049791255,0.37619999999999998,NaN,NaN,NaN,0.48045817728147672,0.38906541428268437,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.48064195715602182,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
15,270000,27,0.49102941311011544,0.49102941311011544,0.016925044536556386,0.47444286946429021,false,0.027001326397576492,0.13226870541273678,0.35920249411616484,0.10066239237670116,0.11947842376382312,0.49052527814151237,0.42166594220825954,0.070903004617029003,0.55638165098061465,0.55320000000000003,NaN,NaN,NaN,0.50456255499255409,0.54966250260685967,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.47444286946429021,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
