seed,initial_seed,N_shots,iterations,stopped_early,restarts,restart_seeds,total_shots,n_train,q_det,q_rec,q_last,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
400294,400294,10000,100,false,0,,1130000,112,0.99989952043066244,0.99960000000000004,0.99619999999999997,0,0,0,-0,-0,-0,0.44652707033117089,0.29197916756755854,1.5,0.79555999992332926,0.5148652451368011,481.33698391914368
670733,670733,10000,100,false,0,,1130000,112,0.99951095105886012,0.99960000000000004,0.99340000000000006,0,0,0,-0,-0,-0,0.5023412582702681,0.25713585043425718,1.5,1.0709156540451203,0.41806408272917378,484.08063793182373
849665,849665,10000,100,false,0,,1130000,112,0.99953164090747226,0.99960000000000004,0.99840000000000007,0,0,0,-0,-0,-0,0.50739335142367503,0.28030755339055763,1.5,1.155994523003413,0.84141384694919519,486.22745299339294
714078,714078,10000,100,false,0,,1130000,112,0.9994712778148005,0.99940000000000007,0.99680000000000002,0,0,0,-0,-0,-0,0.47334832604502064,0.31135638327147569,1.5,1.0479189115267775,0.5530111509684007,486.0742359161377
909858,909858,10000,100,false,0,,1130000,112,0.99946000821357228,0.99920000000000009,0.99960000000000004,0,0,0,-0,-0,-0,0.51914492862450912,0.27421149677207157,1.5,1.0048454927352686,0.050000000000008558,489.15285181999207
225142,225142,10000,100,false,0,,1130000,112,0.99937242219298805,0.99920000000000009,0.99659999999999993,0,0,0,-0,-0,-0,0.44177825866228215,0.27019591444565549,1.5,0.95977928628312426,0.31042629919977027,472.45910692214966
981559,981559,10000,100,false,0,,1130000,112,0.99995696956560765,1,0.99280000000000002,0,0,0,-0,-0,-0,0.49591041314013301,0.28924630413774266,1.5,1.0622968930863683,0.53614925877206798,478.09367799758911
318670,318670,10000,100,false,0,,1130000,112,0.99972881957523163,0.99980000000000002,0.99360000000000015,0,0,0,-0,-0,-0,0.55263129443377113,0.26884677146615055,1.5,1.0593943063441456,0.30395964533823572,482.26672291755676
359405,359405,10000,100,false,0,,1130000,112,0.99994252118462434,1,0.99479999999999991,0,0,0,-0,-0,-0,0.48183022843479634,0.32376046808307574,1.5,1.1149776938677116,0.050000000000000031,479.97644805908203
473966,473966,10000,100,false,0,,1130000,112,0.99988479595994029,0.99980000000000002,0.99420000000000008,0,0,0,-0,-0,-0,0.5777964278450427,0.30583107663362424,1.5,1.1229255896241594,0.35839870076459851,502.24975204467773
250215,250215,10000,100,false,0,,1130000,112,0.99947775188380128,0.99880000000000002,0.99639999999999995,0,0,0,-0,-0,-0,0.46565521382367969,0.304647137332966,1.5,1.0246263656399064,0.49760097480914989,473.85364985466003
438880,438880,10000,100,false,0,,1130000,112,0.99998601572314538,1,0.98580000000000001,0,0,0,-0,-0,-0,0.48562978109835692,0.31837428652157396,1.5,1.1200259059226478,0.75010995942858305,475.96230006217957
5937,5937,10000,100,false,0,,1130000,112,0.99970167180295855,0.99980000000000002,0.996,0,0,0,-0,-0,-0,0.50914369937088499,0.30087642663652037,1.5,1.1183774245226199,0.41410836340913254,475.13691902160645
558664,558664,10000,100,false,0,,1130000,112,0.99975853602377907,1,0.99619999999999997,0,0,0,-0,-0,-0,0.46920242609038004,0.30641086573032322,1.5,0.87150615399130504,0.39572624648468641,496.16157007217407
615903,615903,10000,100,false,0,,1130000,112,0.99959562257737744,0.99960000000000004,0.97420000000000007,0,0,0,-0,-0,-0,0.41847950218578711,0.26329561004473589,1.5,0.77023681649476872,0.050000000000000031,479.1363730430603
150574,150574,10000,100,false,0,,1130000,112,0.99957343150166045,0.99980000000000002,0.99399999999999999,0,0,0,-0,-0,-0,0.47401588001204692,0.24198304357889594,1.5,0.88633692892310578,0.80711670594123042,469.19843292236328
473867,473867,10000,100,false,0,,1130000,112,0.9994300648043225,0.99920000000000009,0.99820000000000009,0,0,0,-0,-0,-0,0.43438502848303873,0.27171887624780239,1.5,0.77470558270090828,0.40253943207251935,464.64593505859375
150918,150918,10000,100,false,0,,1130000,112,0.99986212901208271,0.99980000000000002,0.998,0,0,0,-0,-0,-0,0.51966617991192532,0.28936281444391315,1.5,1.110017900997708,0.57557382452920669,474.39551711082458
963284,963284,10000,100,false,0,,1130000,112,0.99966649983693057,0.99960000000000004,0.99599999999999989,0,0,0,-0,-0,-0,0.48874853575279065,0.31005415661274782,1.5,1.0552707955820699,0.050000000000000072,509.55072712898254
955377,955377,10000,100,false,0,,1130000,112,0.99991993171135474,0.99980000000000002,0.9870000000000001,0,0,0,-0,-0,-0,0.54424756704741828,0.29928974993004198,1.5,1.1366057901698066,0.14816671941985843,514.73385715484619
61646,61646,10000,100,false,0,,1130000,112,0.99975781153125121,0.99980000000000002,0.9930000000000001,0,0,0,-0,-0,-0,0.5185094219659302,0.25298197071327461,1.5,0.94428724953514698,0.58843383572157015,468.87259697914124
902578,902578,10000,100,false,0,,1130000,112,0.99966391487210415,0.99980000000000002,0.98740000000000006,0,0,0,-0,-0,-0,0.45875080023070897,0.25977564502941941,1.5,0.95762483727404191,0.050000000000000031,479.77248001098633
197255,197255,10000,100,false,0,,1130000,112,0.99778647479766369,0.99900000000000011,0.997,0,0,0,-0,-0,-0,0.43114692170835572,0.29630352260134657,1.5,0.81120709340817099,0.050000000000000253,472.71102595329285
462583,462583,10000,100,false,0,,1130000,112,0.99992035899670118,0.99980000000000002,0.99579999999999991,0,0,0,-0,-0,-0,0.48762914587221801,0.27457875024439476,1.5,1.0346966619596354,0.69963723566683855,476.57448697090149
184672,184672,10000,100,false,0,,1130000,112,0.99864488595965673,0.99820000000000009,0.99180000000000001,0,0,0,-0,-0,-0,0.48033324003112104,0.30477087183729318,1.5,1.0920374216699009,0.8066566539593325,480.36706805229187
831702,831702,10000,100,false,0,,1130000,112,0.99990113206555564,0.99940000000000007,0.9890000000000001,0,0,0,-0,-0,-0,0.46851998575011877,0.26037273075369582,1.5,0.89984645843783995,0.4044980649148332,460.10455107688904
720308,720308,10000,100,false,0,,1130000,112,0.99985444852651384,0.99960000000000004,0.99420000000000008,0,0,0,-0,-0,-0,0.52273952285089587,0.28643656663215633,1.5,1.0794416110825085,0.70630904520117099,484.48426818847656
16729,16729,10000,100,false,0,,1130000,112,0.99978601763059527,0.99980000000000002,0.99900000000000011,0,0,0,-0,-0,-0,0.48229901416672388,0.30213534351522775,1.5,1.0066880458392762,0.59224969460229904,481.08915090560913
387749,387749,10000,100,false,0,,1130000,112,0.99955955596142199,0.99940000000000007,0.99480000000000002,0,0,0,-0,-0,-0,0.44985887507231148,0.28743009081058346,1.5,0.89378414149476504,0.58193385927499997,487.17487692832947
