seed,initial_seed,N_shots,iterations,stopped_early,restarts,restart_seeds,total_shots,n_train,q_det,q_rec,q_last,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
714078,714078,1000,100,false,0,,113000,112,0.99856987487328996,1,0.999,0,0,0,-0,-0,-0,0.52150604287507918,0.32113848446029736,1.5,0.92915293472758131,0.69309988992379346,394.99942398071289
400294,400294,1000,100,false,0,,113000,112,0.99992140799180596,1,0.999,0,0,0,-0,-0,-0,0.59337293216183284,0.36397607203931676,1.5,1.407101773714442,1.0050632494631697,396.29720497131348
909858,909858,1000,100,false,0,,113000,112,0.99948996932020251,1,1,0,0,0,-0,-0,-0,0.51403014201409336,0.3234180805232541,1.5,1.139585506455886,0.6837354980007565,399.07859206199646
849665,849665,1000,100,false,0,,113000,112,0.9993668523690703,0.999,0.999,0,0,0,-0,-0,-0,0.55773437818077487,0.3339088288329814,1.5,1.1370718345780295,0.82610744486334431,404.94978404045105
670733,670733,1000,100,false,0,,113000,112,0.99912611734137247,0.998,0.995,0,0,0,-0,-0,-0,0.51678651889318605,0.33481834596358112,1.5,1.2917070013220742,0.71857162182506773,408.61163806915283
473966,473966,1000,100,false,0,,113000,112,0.99978560346109702,1,0.996,0,0,0,-0,-0,-0,0.53302360151579742,0.33546635098016925,1.5,1.2837955184752259,0.61575996412635137,382.14561486244202
981559,981559,1000,100,false,0,,113000,112,0.99978371255240628,1,0.99299999999999999,0,0,0,-0,-0,-0,0.58344654775842164,0.33269717400420323,1.5,1.2740343675601298,0.94658870423849961,383.50541305541992
318670,318670,1000,100,false,0,,113000,112,0.99999806817492731,1,0.98499999999999999,0,0,0,-0,-0,-0,0.59485311867850343,0.30318170318746213,1.5,1.2866006763557112,1.1738259458809073,388.5437638759613
225142,225142,1000,100,false,0,,113000,112,0.99751037728693159,0.999,0.999,0,0,0,-0,-0,-0,0.53547975730287301,0.32589685579684718,1.5,0.9882087161878006,0.89757471256000276,392.60795998573303
359405,359405,1000,100,false,0,,113000,112,0.99986113726679116,0.999,1,0,0,0,-0,-0,-0,0.53546542354425963,0.33009462854042843,1.5,1.3239911008183829,0.86426131730979916,396.53867793083191
