iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,m_rec_lcb,surrogate_confident,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,y_acq_second,y_rec_check,y_rec_second,q_det_rec,q_det_acq,acq_source,kappa_eff,supported_q,supported_count,health_bad,stagnation_count,restart_id,restart_failure_count,restart_signal,restart_best_signal,restart_triggered,restart_seed,boundary_streak,scout_remaining,stop_supported,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,stopped_early
1,Inf,13,0.85386814297353597,0.85386814297353597,0.0020603076096173067,0.85180783536391869,false,-0.081343439856310013,0.082870902994996817,0.91714124526184904,0.061748835046804285,0.02481796887770793,0.8802186895966404,0.74411644827974499,0.13723592709154761,1.0048647097536854,0.93089562637858503,NaN,NaN,NaN,0.85608150382387582,0.93089562637858503,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.85180783536391869,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
2,Inf,14,0.9329070582873511,0.9329070582873511,0.018674202566372883,0.91423285572097823,false,0.047417206346578783,0.031613441901216462,0.88625971552118787,0.18526907683319038,0.058356346329758946,0.96849462175791423,0.84240786054047789,0.14863531961551033,1.1248149678099475,0.76393629089403259,NaN,NaN,NaN,0.93988825584925995,0.76393629089403259,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.91423285572097823,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
3,Inf,15,0.93887304079664013,0.93887304079664013,0.034712441955206494,0.90416059884143363,false,0.017480694404806919,0.025529227701845653,0.86875470905321572,-0.14434782327079887,-0.014518431057803483,0.87084168017335362,0.84501847647126205,0.15907328454722139,1.1472577171109828,0.74008725952672971,NaN,NaN,NaN,0.95412180415901382,0.74008725952672971,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.90416059884143363,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
4,Inf,16,0.93609388131914884,0.93609388131914884,0.031290044243216401,0.90480383707593248,false,0.048333223774812792,0.033581582714638111,0.86476484493894057,0.14779324801740401,0.079622838581554056,0.68845202966726848,0.75537624458916675,0.20644698582847693,1.1476255176632728,0.80485083895595733,NaN,NaN,NaN,0.94060695546105555,0.80485083895595733,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.90480383707593248,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
5,Inf,17,0.94005890968334682,0.94005890968334682,0.039599280394432966,0.90045962928891388,false,0.052469878780200083,0.035955232877873042,0.8531946687728722,0.36326883932983201,-0.020354025633377848,0.76933214926627169,0.71686871025283294,0.20261788738296732,1.1018426962804708,0.33672045725332966,NaN,NaN,NaN,0.93806689404593657,0.33672045725332966,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.90045962928891388,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
6,Inf,18,0.95334321207086603,0.95334321207086603,0.046619453563315372,0.90672375850755071,false,0.02920309803029587,0.044935252494561019,0.86128521740002029,-0.14601129933357626,0.078483162946431317,0.75811183453206832,0.82199648382250867,0.13913073830708023,1.0863448866059611,0.79574103349619429,NaN,NaN,NaN,0.94183120387174069,0.79574103349619429,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.90672375850755071,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
7,Inf,19,0.95091617683863849,0.95091617683863849,0.041998258983561507,0.90891791785507703,false,0.031546608886606285,0.043498869084169715,0.86667399635416609,-0.042498025718544774,0.20996619030451269,0.87467465647273146,0.66213989449793553,0.21402657955383678,1.0687903956502254,0.60777314609261435,NaN,NaN,NaN,0.94202296982375844,0.60777314609261435,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.90891791785507703,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
8,Inf,20,0.95167565566217016,0.95167565566217016,0.041133073216687112,0.91054258244548303,false,0.02999474994026867,0.043532530365027119,0.86694470050331807,0.13709215536625941,0.084306018099228552,0.86789036878495729,0.86007000965761482,0.088140660362408668,1.0275372643461913,0.81518862934310921,NaN,NaN,NaN,0.94251936643061351,0.81518862934310921,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.91054258244548303,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
9,Inf,21,0.94530636409642088,0.94530636409642088,0.031500010103822494,0.91380635399259835,false,0.025529765039310971,0.036975423140949516,0.87704590338160926,-0.0053621019838732131,0.020601306451957235,0.76784878680996682,0.85298818184151881,0.089546713840526815,1.0231269381385197,0.9654053728137042,NaN,NaN,NaN,0.94809143415749564,0.9654053728137042,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.91380635399259835,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
10,Inf,22,0.96942033720867971,0.96942033720867971,0.013516751866903567,0.95590358534177611,false,0.0042235034994897577,0.030817223269785924,0.74535058115065844,0.0055057302583638723,0.064595236813588475,0.38906270224862816,0.89099253138464396,0.077607057753045258,1.0384459411154299,0.92053442220287041,NaN,NaN,NaN,0.96539652489639627,0.92053442220287041,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.95590358534177611,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
