iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,0.761322,0.040856,0.396646,-1.000000,1.000000,1.000000,0.004850,0.009520,0.000000,NaN
2,-0.331377,-0.828869,0.531440,1.000000,-1.000000,-1.000000,0.004597,0.010132,0.000000,NaN
3,0.841989,0.260403,0.946677,1.000000,-1.000000,-1.000000,0.004289,0.009675,0.000000,NaN
4,0.855043,0.158966,0.673374,1.000000,-1.000000,-1.000000,0.004119,0.009335,0.000000,NaN
5,-0.404493,-0.603695,-0.072383,1.000000,-1.000000,-1.000000,0.003754,0.009004,0.000000,NaN
6,-0.613434,-0.295964,0.848350,1.000000,-1.000000,-1.000000,0.003528,0.008689,0.237500,NaN
7,0.514714,-0.939566,-0.011245,-1.000000,1.000000,1.000000,0.008858,0.013787,0.005000,NaN
8,0.027291,0.493124,-0.927752,1.000000,-1.000000,-1.000000,0.008760,0.013966,0.047500,NaN
9,0.131889,-0.492125,-0.602716,-1.000000,1.000000,1.000000,0.008808,0.013125,0.010000,NaN
10,-0.846051,-0.867178,-0.811549,1.000000,-1.000000,-1.000000,0.009557,0.013221,0.000000,NaN
11,0.926943,-0.404584,0.217136,1.000000,-1.000000,-1.000000,0.008463,0.012878,0.000000,NaN
12,-0.075880,-0.750165,-0.480223,-1.000000,1.000000,1.000000,0.007568,0.012263,0.000000,NaN
13,0.070193,-0.270337,-0.341291,-1.000000,1.000000,1.000000,0.007108,0.012017,0.147500,NaN
14,-0.135020,0.101415,-0.931703,-1.000000,1.000000,1.000000,0.008749,0.012972,0.000000,NaN
15,-0.726540,-0.667069,-0.362307,-1.000000,1.000000,1.000000,0.008428,0.012749,0.000000,NaN
16,-0.676871,0.782832,-0.818605,-1.000000,1.000000,1.000000,0.008131,0.012537,0.000000,NaN
17,0.495297,0.842810,-0.534455,-1.000000,1.000000,1.000000,0.007861,0.012315,0.000000,NaN
18,-0.466280,-0.084329,0.946114,-1.000000,1.000000,1.000000,0.007410,0.012099,0.000000,NaN
19,-0.767208,0.878860,-0.649317,1.000000,-1.000000,-1.000000,0.005894,0.011558,0.000000,NaN
20,-0.949529,0.442593,0.247025,1.000000,-1.000000,-1.000000,0.005711,0.011388,0.000000,NaN
21,-0.791519,-0.193153,-0.015474,1.000000,-1.000000,-1.000000,0.005534,0.011228,0.000000,NaN
22,0.926450,0.471680,0.962615,1.000000,-1.000000,-1.000000,0.005357,0.011064,0.000000,NaN
23,0.034946,0.754024,0.364645,1.000000,-1.000000,-1.000000,0.005196,0.010915,0.115000,NaN
24,0.138392,0.587504,0.839703,1.000000,-1.000000,-1.000000,0.006016,0.011268,0.065000,NaN
25,0.691638,0.705880,0.479598,1.000000,-1.000000,-1.000000,0.006409,0.011210,0.000000,NaN
26,-0.976837,0.760078,-0.646339,1.000000,-1.000000,-1.000000,0.006207,0.011079,0.000000,NaN
27,0.375074,-0.762405,0.646595,1.000000,-1.000000,-1.000000,0.006050,0.010952,0.000000,NaN
28,0.354288,0.646662,0.586625,1.000000,-1.000000,-1.000000,0.006051,0.010811,0.000000,NaN
29,0.519537,0.231188,0.496150,1.000000,-1.000000,-1.000000,0.005845,0.010691,0.000000,NaN
30,0.363341,0.732567,-0.419036,1.000000,-1.000000,-1.000000,0.005704,0.010574,0.000000,NaN
31,0.763503,0.229458,0.182822,1.000000,-1.000000,-1.000000,0.005582,0.010465,0.000000,NaN
32,-0.111408,0.700562,-0.382960,1.000000,-1.000000,-1.000000,0.005456,0.010356,0.000000,NaN
33,-0.966418,-0.943829,-0.737380,1.000000,-1.000000,-1.000000,0.005338,0.010251,0.000000,NaN
