iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
51,-0.273242,-0.818819,0.846655,-0.699720,-0.424469,-1.000000,0.006562,0.007883,0.000000,NaN
52,0.287571,0.785102,-0.915971,-0.699548,-0.424545,-1.000000,0.006470,0.007825,0.000000,NaN
53,-0.645983,-0.213458,0.504423,-0.699579,-0.424428,-1.000000,0.006385,0.007768,0.130000,NaN
54,-0.808661,-0.250073,0.025334,-0.704962,-0.422891,-1.000000,0.006428,0.007822,0.335000,NaN
55,0.393483,-0.282789,0.548490,-0.692124,-0.427640,-1.000000,0.007302,0.008336,0.000000,NaN
56,0.758909,0.779197,-0.815846,-0.692331,-0.427782,-1.000000,0.007208,0.008283,0.000000,NaN
57,0.910204,0.815463,0.135552,-0.691861,-0.427966,-1.000000,0.007118,0.008226,0.000000,NaN
58,-0.620244,0.090238,-0.172728,-0.691731,-0.428311,-1.000000,0.007021,0.008172,0.000000,NaN
59,-0.713801,0.638852,-0.600820,-0.685782,-0.434560,-1.000000,0.006738,0.007849,0.000000,NaN
60,0.254871,-0.342177,0.153404,-0.686771,-0.435884,-1.000000,0.006542,0.007786,0.000000,NaN
61,0.435887,-0.230501,0.234140,-0.681474,-0.435819,-1.000000,0.006475,0.007713,0.000000,NaN
62,0.173475,-0.189694,0.523731,-0.681289,-0.435898,-1.000000,0.006398,0.007666,0.267500,NaN
63,-0.204322,-0.801540,0.271147,-0.683690,-0.434821,-1.000000,0.006888,0.007967,0.000000,NaN
64,0.626216,-0.658787,-0.059458,-0.682783,-0.433928,-1.000000,0.006785,0.007920,0.000000,NaN
65,0.393683,0.047440,0.554565,-0.682892,-0.433972,-1.000000,0.006721,0.007871,0.000000,NaN
66,0.189802,0.777932,-0.838328,-0.682613,-0.434052,-1.000000,0.006643,0.007825,0.000000,NaN
67,0.682820,0.142291,0.290360,-0.682475,-0.433854,-1.000000,0.006572,0.007781,0.000000,NaN
68,0.568604,0.582995,-0.214338,-0.682513,-0.433926,-1.000000,0.006500,0.007738,0.000000,NaN
69,-0.576260,-0.076802,-0.710908,-0.682333,-0.434000,-1.000000,0.006430,0.007695,0.000000,NaN
70,-0.351454,-0.589760,-0.139619,-0.681255,-0.475769,-1.000000,0.005176,0.006593,0.000000,NaN
71,-0.682157,-0.413762,0.619539,-0.722070,-0.467468,-1.000000,0.005111,0.006843,0.282500,NaN
72,-0.000794,0.256485,0.689091,-0.725863,-0.466461,-1.000000,0.005528,0.007141,0.292500,NaN
73,0.305406,-0.359287,-0.853323,-0.727419,-0.465943,-1.000000,0.005949,0.007422,0.000000,NaN
