iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,0.165624,0.206708,0.997883,0.188876,0.217818,0.969189,0.277813,0.055436,0.570000,NaN
2,-0.034770,0.189195,0.972932,0.168344,0.207116,1.000000,0.447950,0.049078,0.332500,NaN
3,0.675219,0.226779,0.967162,0.243886,0.215042,1.000000,0.424902,0.044571,0.000000,NaN
4,-0.898889,0.173524,0.968233,-0.379870,0.195265,1.000000,0.374405,0.061784,0.037500,NaN
5,-0.202447,0.225653,0.970243,-0.037742,0.202081,1.000000,0.272429,0.036821,0.000000,NaN
6,0.075619,0.042851,0.968356,0.152057,0.129170,1.000000,0.213504,0.064858,0.862500,NaN
7,0.233078,0.031232,0.935843,0.122983,0.034689,0.980031,0.779338,0.050700,0.422500,NaN
8,-0.147055,0.050218,0.991431,0.008170,0.045250,1.000000,0.695484,0.046025,0.685000,NaN
9,0.099227,0.072211,0.997714,0.002058,0.046502,1.000000,0.705681,0.039092,0.787500,NaN
10,-0.003053,0.023900,0.893960,0.037201,0.039318,0.986355,0.881393,0.054321,0.895000,NaN
11,-0.090155,-0.046992,0.961781,0.015916,0.032133,0.958943,0.906238,0.040746,0.235000,NaN
12,-0.024821,0.069370,0.836038,0.011064,0.046810,0.911162,0.936709,0.049689,0.875000,NaN
13,0.015747,0.045716,0.687775,0.011365,0.046458,0.912153,0.936274,0.040033,0.925000,NaN
14,0.107587,0.079104,0.596717,0.021520,0.044924,0.814279,0.949641,0.039792,0.782500,NaN
15,0.060564,0.027356,0.717730,0.023843,0.045590,0.813979,0.949912,0.041571,0.907500,NaN
16,0.055108,0.066517,0.823663,0.027878,0.044131,0.808038,0.952853,0.041401,0.835000,NaN
17,-0.008771,0.059914,0.368667,0.016265,0.036709,0.764690,0.934142,0.030981,0.897500,NaN
18,0.049445,0.008628,0.433590,0.016297,0.037976,0.657860,0.929614,0.026599,0.950000,NaN
19,0.118237,0.004307,0.037691,0.034707,0.025995,0.465711,0.965599,0.043807,0.817500,NaN
20,-0.016101,0.041477,-0.441589,0.029724,0.021782,0.387096,0.971220,0.036238,0.802500,NaN
21,-0.007818,0.014341,0.150090,0.028413,0.021791,0.373402,0.972962,0.037387,0.990000,NaN
22,0.046593,0.032324,0.190930,0.008672,0.020378,0.241001,1.001865,0.026801,0.930000,0.985000
23,-0.990988,0.994437,-0.945439,-0.004464,0.015085,0.191226,0.991139,0.006151,0.000000,NaN
24,-0.914037,-0.994252,0.845060,-0.004474,0.015086,0.191282,0.991138,0.006181,0.000000,NaN
25,0.983988,-0.140254,-0.911373,-0.004483,0.015088,0.191334,0.991137,0.006203,0.000000,NaN
26,-0.054846,0.031040,0.201202,-0.004404,0.015069,0.191200,0.991132,0.006196,0.937500,NaN
27,0.943452,0.998676,-0.738564,-0.001558,0.014223,0.187047,0.991348,0.006641,0.000000,NaN
28,-0.995261,-0.265775,-0.990341,-0.001549,0.014219,0.187062,0.991349,0.006658,0.000000,NaN
29,0.024896,-0.003588,-0.226744,-0.001534,0.014193,0.187185,0.991349,0.006707,0.992500,NaN
30,0.057825,-0.037195,-0.776228,0.007726,-0.001074,-0.105617,1.002978,0.025920,0.847500,1.000000
