iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,0.210985,0.024302,0.567573,0.152767,0.028405,0.575993,0.678775,0.061404,0.492500,NaN
2,0.095676,0.068437,0.936031,0.131046,0.030046,0.578448,0.667065,0.066849,0.820000,NaN
3,0.048174,0.004697,0.737498,0.094014,0.057810,0.848599,0.800856,0.056422,0.910000,NaN
4,0.013404,0.070753,0.236316,0.054822,0.016802,0.767374,0.902381,0.043914,0.827500,NaN
5,-0.056027,0.075007,0.968883,0.047977,0.026596,0.679249,0.911907,0.052136,0.795000,NaN
6,0.016910,-0.075076,0.961480,0.039766,0.029498,0.719968,0.915416,0.055787,0.175000,NaN
7,0.038296,0.081270,0.748388,0.047745,0.045314,0.653148,0.952829,0.063573,0.770000,NaN
8,0.081945,0.018310,0.050461,0.056418,0.029445,0.622116,0.919491,0.054754,0.870000,NaN
9,0.093438,0.082671,-0.880937,0.060107,0.028092,0.537796,0.932629,0.059326,0.492500,NaN
10,0.000275,0.029682,0.340331,0.038871,0.028543,0.583007,0.983988,0.071399,0.952500,NaN
11,0.024834,0.031667,0.859840,0.037085,0.028614,0.573454,0.986690,0.055943,0.912500,NaN
12,-0.030842,0.020002,-0.158144,0.037137,0.024952,0.456851,0.972933,0.045686,0.940000,NaN
13,-0.101376,0.038858,0.178762,0.025635,0.021901,0.367586,0.960723,0.037442,0.855000,NaN
14,-0.109940,0.050528,-0.680439,0.001451,0.023199,0.156997,0.960689,0.035008,0.445000,NaN
15,-0.076843,0.018665,0.735451,-0.013855,0.019988,0.084980,0.972376,0.037800,0.857500,NaN
16,-0.044591,-0.012517,0.177690,-0.014138,0.019805,0.086901,0.972545,0.037995,0.937500,NaN
17,0.010777,-0.005617,-0.218651,-0.021316,0.008059,0.137000,0.995997,0.044675,0.985000,NaN
18,-0.986521,0.996579,0.520358,-0.005615,0.001616,0.009295,1.009381,0.042079,0.000000,1.000000
