iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,-0.975321,-0.982615,0.886562,-1.000000,-1.000000,1.000000,0.015939,0.017253,0.000000,NaN
2,0.991122,0.866165,0.977782,1.000000,1.000000,1.000000,0.010444,0.018063,0.000000,NaN
3,-0.999093,-0.962320,-0.981057,-1.000000,-1.000000,-1.000000,0.008967,0.016524,0.000000,NaN
4,0.931450,-0.926679,0.994549,1.000000,1.000000,-1.000000,0.007349,0.013870,0.000000,NaN
5,0.938420,0.996803,-0.991847,1.000000,-1.000000,-1.000000,0.007181,0.012908,0.000000,NaN
6,0.982383,-0.997099,-0.995732,1.000000,-1.000000,-1.000000,0.006394,0.012516,0.000000,NaN
7,-0.984278,0.918032,0.998180,-1.000000,1.000000,1.000000,0.004708,0.012284,0.000000,NaN
8,-0.067365,0.998804,0.198515,-1.000000,1.000000,-1.000000,0.002095,0.007041,0.000000,NaN
9,-0.995271,-0.954981,0.041436,-1.000000,1.000000,-1.000000,0.001983,0.006866,0.000000,NaN
10,0.220837,0.148375,0.992800,-1.000000,1.000000,-1.000000,0.001925,0.006700,0.555000,NaN
11,0.191137,0.102849,0.990526,0.205069,0.141748,1.000000,0.034696,0.019224,0.657500,NaN
12,0.275770,0.184581,0.996085,0.198866,0.124354,1.000000,0.133968,0.024490,0.220000,NaN
13,0.128576,0.138915,0.998423,0.203870,0.128737,1.000000,0.144209,0.022742,0.642500,NaN
14,0.214290,0.172025,0.994415,0.177602,0.130656,1.000000,0.226972,0.023769,0.580000,NaN
15,0.249585,0.175779,0.992224,0.180039,0.136352,1.000000,0.279481,0.023496,0.390000,NaN
16,0.158765,0.142635,0.978038,0.182766,0.137910,1.000000,0.291883,0.022494,0.607500,NaN
17,0.096884,0.178596,0.979586,0.174124,0.137132,1.000000,0.333001,0.022015,0.492500,NaN
18,0.270808,0.077461,0.990817,0.165505,0.140057,1.000000,0.350099,0.021303,0.272500,NaN
19,0.185919,0.242626,0.993255,0.162441,0.143021,1.000000,0.341479,0.020322,0.407500,NaN
20,0.121466,0.049793,0.837476,0.164295,0.088874,1.000000,0.661014,0.041706,0.780000,NaN
21,0.128345,-0.018917,0.984112,0.127092,0.041869,0.862906,0.777711,0.024664,0.617500,NaN
22,0.148768,0.049463,0.365539,0.124702,0.058882,0.787556,0.773976,0.023577,0.750000,NaN
23,0.112382,0.061083,0.360385,0.128834,0.059332,0.673707,0.786422,0.028575,0.815000,NaN
24,0.076673,0.009904,0.225780,0.116479,0.059928,0.470621,0.815831,0.021017,0.917500,NaN
25,0.064485,-0.034183,-0.308864,0.075718,0.010287,0.202512,0.915186,0.013591,0.892500,NaN
26,0.028510,0.035483,-0.154383,0.071813,-0.001585,0.031578,0.927655,0.030988,0.890000,NaN
27,0.030605,-0.030649,0.177131,0.060279,0.008119,-0.009454,0.937908,0.038981,0.902500,NaN
28,-0.006724,-0.071729,-0.596946,0.054801,-0.000185,0.033606,0.941527,0.038698,0.840000,NaN
29,0.073859,0.063271,-0.735434,0.055166,-0.002449,0.028651,0.934659,0.037965,0.665000,NaN
30,-0.072024,-0.021715,-0.097472,0.053089,-0.010892,0.018277,0.933958,0.027926,0.872500,NaN
31,-0.067777,-0.155005,-0.079503,0.053869,-0.010405,0.020057,0.930423,0.028082,0.000000,NaN
32,-0.106622,0.122568,-0.416304,-0.055013,0.039585,-0.218640,1.007426,0.066333,0.240000,0.825000
33,-0.042215,0.019411,0.194562,-0.013498,-0.002940,-0.115438,0.954229,0.041761,0.962500,NaN
34,0.011053,0.042171,0.374814,-0.026573,0.010129,0.072468,0.979188,0.029699,0.955000,NaN
35,-0.005470,-0.006059,0.006686,-0.019312,0.015352,0.127704,0.980534,0.029339,1.000000,NaN
36,-0.003162,0.023324,0.228371,-0.014772,0.005449,0.037433,1.007223,0.013749,0.990000,0.990000
37,0.010743,-0.014260,-0.188470,-0.003230,-0.003467,0.000988,1.000713,0.003896,0.992500,1.000000
