iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,-0.516825,0.965005,-0.835989,-0.035048,-0.050628,-0.524026,0.904685,0.060916,0.000000,NaN
2,0.322571,-0.286232,0.078573,-0.033925,-0.052736,-0.523861,0.903696,0.060413,0.000000,NaN
3,0.614981,-0.146731,-0.474323,-0.034902,-0.042686,-0.518371,0.902517,0.059559,0.000000,NaN
4,0.341005,0.060501,0.460591,-0.034842,-0.042409,-0.519154,0.901214,0.058459,0.000000,NaN
5,0.884392,0.053830,-0.241635,-0.034614,-0.042616,-0.518658,0.900078,0.057718,0.000000,NaN
6,-0.614701,-0.012289,-0.466393,-0.034583,-0.042427,-0.519414,0.898761,0.056795,0.000000,NaN
7,0.712678,0.137056,-0.641356,-0.034566,-0.042321,-0.520156,0.897438,0.055948,0.000000,NaN
8,0.464390,0.161367,-0.763773,-0.034557,-0.042176,-0.520889,0.896109,0.055169,0.000000,NaN
9,-0.586219,0.427911,0.671733,-0.034748,-0.042543,-0.521385,0.894705,0.054398,0.000000,NaN
10,0.659429,-0.499193,0.738564,-0.036084,-0.044526,-0.509171,0.895114,0.055220,0.255000,NaN
11,0.192373,-0.141482,0.889480,-0.036227,-0.044424,-0.509579,0.894513,0.054792,0.267500,NaN
12,-0.283429,-0.836317,-0.714043,-0.035538,-0.029632,-0.477546,0.897434,0.058801,0.000000,NaN
13,0.437509,-0.620778,0.897121,-0.024386,0.015568,-0.481407,0.898854,0.063082,0.000000,NaN
14,-0.494620,0.491724,0.784513,-0.024473,0.014801,-0.483555,0.897349,0.062086,0.000000,NaN
15,0.565898,-0.473756,-0.299650,-0.024550,0.012866,-0.488301,0.895534,0.060849,0.000000,NaN
16,0.164076,-0.984054,-0.478220,-0.024715,0.012026,-0.490676,0.893936,0.059906,0.000000,NaN
17,0.791749,-0.985315,-0.345074,-0.036935,0.093466,-0.507819,0.886305,0.058629,0.000000,NaN
18,-0.116355,-0.028408,-0.408600,-0.037001,0.092572,-0.509570,0.884597,0.057872,0.742500,NaN
