iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,q_det_rec,q_det_acq,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3
1,Inf,13,0.37471018063831202,0.37471018063831202,0.012486748078558395,-0.059755464913547225,-0.45608617136051094,-0.23939260127221129,0.014233068773197299,0.3862899089790055,-0.49273888930584864,0.32680747123484988,0.068712633147533939,0.46148423220401635,0.44893351157593431,0.38589910465980648,0.44893351157593431,0,0,0,-0,-0,-0
2,Inf,14,0.44901117984890271,0.44901117984890271,0.0025865740252579727,0.017109178036476935,0.37196005392470671,-0.4908470338426234,0.025758698227985377,0.79903299848362508,0.2012336774077701,0.39207579504094769,0.068085398378990941,0.52552317586376995,0.56733558104378778,0.45164851158661357,0.56733558104378778,0,0,0,-0,-0,-0
3,Inf,15,0.56919217249089904,0.56919217249089904,0.011273102594617838,0.026682779517975649,0.8752377268752809,0.24361549188840001,0.04825703162577577,0.99954872787550952,0.78628307780433238,0.51872997108275642,0.067318033328059718,0.65067331640575343,0.60143347045884221,0.58241611851337105,0.60143347045884221,0,0,0,-0,-0,-0
4,Inf,16,0.60388819083728862,0.60388819083728862,0.013456157624573041,0.042667203045649846,0.99999999999999989,0.67164228211816934,-0.072639039243370895,0.99018887623397855,0.92043303721428948,0.52550087408638446,0.086459599508661972,0.69496168912336187,0.61026598873792326,0.58706381418675124,0.61026598873792326,0,0,0,-0,-0,-0
5,Inf,17,0.6233976773395713,0.6233976773395713,0.027560572839583814,-0.023524819077411448,0.99999999999999989,0.80608756806039095,-0.014066306656392413,0.53574373018225829,0.83921257491423651,0.57303886462134179,0.060849211953948643,0.69230332005108108,0.5224461701380253,0.61530159475284396,0.5224461701380253,0,0,0,-0,-0,-0
6,Inf,18,0.62018080263984787,0.62018080263984787,0.02893226297178832,-0.028927876044519796,0.99999999999999989,0.76260927159027592,-0.066072087394136947,0.97107907727966802,0.27946065190116931,0.57853832105218628,0.060170573488703118,0.69647264509004436,0.53406392383139012,0.60693883139379456,0.53406392383139012,0,0,0,-0,-0,-0
7,Inf,19,0.61779078293092771,0.61779078293092771,0.021927043108795927,-0.041398094911528197,0.99999999999999989,0.95584471319091713,0.16095349346326149,0.99829264297578746,-0.065141088782464163,0.49543458372789684,0.096069899725722635,0.68373158719031324,0.36506729545002176,0.63009740523751623,0.36506729545002176,0,0,0,-0,-0,-0
8,Inf,20,0.62143311789994038,0.62143311789994038,0.025101813833665377,-0.028162466874660907,0.99999999999999989,0.92724793585471577,0.0062508219107328955,0.96296014190849677,0.97553753918298058,0.61084279692451471,0.028661714904197513,0.66701975813674186,0.67171919044082606,0.63187803922065766,0.67171919044082606,0,0,0,-0,-0,-0
9,Inf,21,0.68165366641739356,0.68165366641739356,0.0081475636653995029,-0.0033382827649912155,0.99999999999999989,0.99999999999999989,0.010527459447513099,0.99073764077355841,0.85560968924777692,0.65545063786603786,0.013808001964824793,0.68251432171709447,0.6335264516896072,0.64786846669855236,0.6335264516896072,0,0,0,-0,-0,-0
10,Inf,22,0.68154571361466654,0.68154571361466654,0.0064742018297340312,0.0060265136199330882,0.99999999999999989,0.99999999999999989,0.15875986550946974,0.94666374429043598,0.9768169503783164,0.55372738172065727,0.063654339486666281,0.67848988711452318,0.52330392986511753,0.64770050884305264,0.52330392986511753,0,0,0,-0,-0,-0
11,Inf,23,0.68138527997730347,0.68138527997730347,0.0064131161471835153,0.0044169589355061867,0.99999999999999989,0.99999999999999989,0.030995669457567931,0.93202027892041395,0.99426022271010694,0.66437919791739231,0.010890885269958168,0.68572533304651029,0.6815462180666465,0.64781246581735275,0.6815462180666465,0,0,0,-0,-0,-0
12,Inf,24,0.68499469480986053,0.68499469480986053,0.0060614908814756894,0.026968020197435761,0.97767594628979315,0.99999999999999989,0.0089934458387337379,0.8464527570935978,0.96461809985139002,0.65487448286541772,0.0125674432654696,0.67950667166573808,0.67794526063860305,0.66105415590991901,0.67794526063860305,0,0,0,-0,-0,-0
13,Inf,25,0.68890341117938259,0.68890341117938259,0.0037156947287033566,0.019182132519747836,0.8703427703523241,0.99999999999999989,-0.016437955068242971,0.86619013106851517,0.98112301713164296,0.6676487875025352,0.0087466340845853505,0.6847921903083225,0.68656431460921996,0.68699199581769377,0.68656431460921996,0,0,0,-0,-0,-0
14,Inf,26,0.69262389742373931,0.69262389742373931,0.0028698761520461963,-0.010277020079731273,0.86429453740855944,0.99999999999999989,-0.0078654211557878106,0.80511204117652868,0.95857488086305098,0.67344477596955077,0.0047088495606529175,0.68267412110843051,0.66142294333833485,0.68899618191433198,0.66142294333833485,0,0,0,-0,-0,-0
15,Inf,27,0.69471639918932004,0.69471639918932004,0.0026025863750190393,-0.012613201358098658,0.88790945217040163,0.99999999999999989,-0.99545391677096617,-0.81412970602389789,-0.91946633480208506,0.32915648380582785,0.17708018166084352,0.67623363986108109,0.11350731231715314,0.69272427508756551,0.11350731231715314,0,0,0,-0,-0,-0
16,Inf,28,0.69470412500788425,0.69470412500788425,0.0026414312718410129,-0.012610632672321698,0.88791696543381604,0.99999999999999989,0.06121593635624123,0.84635414972361511,0.93711393722446745,0.6467011142177792,0.014949299212293678,0.67600174067387486,0.64885937419351225,0.69272477661486831,0.64885937419351225,0,0,0,-0,-0,-0
