iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,q_det_rec,q_det_acq,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3
1,Inf,13,0.55941664391253587,0.55941664391253587,0.048423789418888037,0.22180875667120795,0.22097328824548915,0.59048595257313952,0.074322563395928132,-0.19402734740996452,0.82114181983862222,0.49081506047208812,0.17318640191401305,0.83026040822355363,0.34137801059828149,0.60569358519254357,0.34137801059828149,0,0,0,-0,-0,-0
2,Inf,14,0.55538341509816913,0.55538341509816913,0.011168291828960362,-0.74574983967244624,-0.42989946400110718,-0.096414864278993581,0.16273287611649145,0.50375961327830998,0.042077956043724996,0.45255953421638651,0.15626856483593746,0.75884592129482398,0.40618264327089293,0.5491799523175187,0.40618264327089293,0,0,0,-0,-0,-0
3,Inf,15,0.55540915533227275,0.55540915533227275,0.011299715034827056,-0.74601293506736821,-0.4314490698532627,-0.096959742892202994,-0.75702750965741394,-0.56156439518604673,-0.91433428516246407,0.44292776605861001,0.15623255498938174,0.74914357383779828,0.62009063279684185,0.54987326905734812,0.62009063279684185,0,0,0,-0,-0,-0
4,Inf,16,0.62337837452218836,0.62337837452218836,0.030033644557766567,-0.75549439178425715,-0.54732297192158719,-0.80292867022722536,-0.82979375652667908,-0.87603212812452513,-0.61356538226522472,0.51983464663258871,0.15304488196026317,0.81980261527470444,0.19584856112966753,0.61629153150094973,0.19584856112966753,0,0,0,-0,-0,-0
5,Inf,17,0.66105087532560813,0.66105087532560813,0.068057953299430138,-0.72972064129761594,-0.43108898940260398,-0.8793971768056158,-0.72624709182903935,-0.1460928924778031,-0.93032069321647537,0.58430605076712927,0.14172660466417444,0.86209019590891112,0.16572404172844382,0.57202969089358946,0.16572404172844382,0,0,0,-0,-0,-0
6,Inf,18,0.62874483599332043,0.62874483599332043,0.031786560371007931,-0.73949626298952276,-0.57939493497879568,-0.87068426161727897,-0.66405392747305925,-0.64610224717617104,-0.74280080454470099,0.56150456743596688,0.11887939980173247,0.79450819104736248,0.58059654805541383,0.6132952337444092,0.58059654805541383,0,0,0,-0,-0,-0
7,Inf,19,0.63250658504256407,0.63250658504256407,0.028224878843628232,-0.73426747470975451,-0.58498103350115227,-0.86437667668198703,-0.63656256365748387,-0.51345146836546007,0.54000357670400279,0.45074850822748602,0.15891841106819904,0.76222859392115616,0.1806194103198786,0.61136523170055324,0.1806194103198786,0,0,0,-0,-0,-0
8,Inf,20,0.63525239624701735,0.63525239624701735,0.030735739082587081,-0.73208443615662955,-0.58265550170904279,-0.83600067433747127,0.24601566436827449,0.66193896243661499,0.97576753231671542,0.43298639139324224,0.15332767970488043,0.73350864361480794,0.34270595149693528,0.60789292292497676,0.34270595149693528,0,0,0,-0,-0,-0
9,Inf,21,0.63519342936808543,0.63519342936808543,0.029901030108419213,-0.73209469537564231,-0.58273800463810832,-0.83668044677041598,0.045668179867829117,-0.94716108786319753,0.81329196581255614,0.44366260473214558,0.14627789001805055,0.7303672691675247,0.09860324829652363,0.60795922411543535,0.09860324829652363,0,0,0,-0,-0,-0
10,Inf,22,0.63022033250316301,0.63022033250316301,0.055614490398092839,-0.73428157414670836,-0.57033282108771199,-0.83533444687359348,-0.67814871286272416,-0.51814125768322317,-0.592578380394154,0.55956584090463446,0.14073527804184627,0.83540698586665307,0.48300927762764861,0.60584552917132417,0.48300927762764861,0,0,0,-0,-0,-0
11,Inf,23,0.62446613111568405,0.62446613111568405,0.037069851443168621,-0.74643395423281567,-0.57692003565095573,-0.88938143537696412,-0.78051568584308884,-0.57905748322292272,-0.46141586527974132,0.52483923249613251,0.1410642967595705,0.80132525414489075,0.60927404117613615,0.61699137819144034,0.60927404117613615,0,0,0,-0,-0,-0
12,Inf,24,0.6350825067991579,0.6350825067991579,0.060825526314979804,-0.75838962814167088,-0.58255476058417011,-0.76556987741572813,-0.85173761836132877,-0.50647995057579909,-0.84235261375622317,0.51993298173198799,0.15007832193722057,0.81408649272894029,0.62938638071454689,0.61965085761149596,0.62938638071454689,0,0,0,-0,-0,-0
13,Inf,25,0.64890745477995193,0.64890745477995193,0.070473389421652224,-0.81247119532501533,-0.53706971702589068,-0.74450857523787672,-0.82705044341384237,-0.45970646332185616,-0.31621397563233344,0.57901859965570568,0.13245735976522588,0.83863502479554841,0.67926284204129894,0.63701087226902009,0.67926284204129894,0,0,0,-0,-0,-0
14,Inf,26,0.6841306136086035,0.6841306136086035,0.042286510220407143,-0.82593202485957284,-0.47265781006927571,-0.3900940476285058,-0.94324498147643654,-0.48586439136548565,-0.2896726645284704,0.53639621490421052,0.16849461261769752,0.86664565563489759,0.60572139670844738,0.67242927765469562,0.60572139670844738,0,0,0,-0,-0,-0
15,Inf,27,0.68548033169359368,0.68548033169359368,0.048199134753155279,-0.83867018551625416,-0.47609133080670962,-0.38637012709638685,-0.88225763105577748,-0.36700892323438783,-0.18558725369657258,0.55269753075178241,0.15669169762480548,0.85981325809640108,0.70245084906875321,0.67477472066088329,0.70245084906875321,0,0,0,-0,-0,-0
16,Inf,28,0.71232154622890442,0.71232154622890442,0.053157976266855714,-0.87380942798755756,-0.39397394141268588,-0.23123927812161382,-0.89195334357463718,-0.38253406310467719,-0.70135379605156745,0.59318611853046233,0.15763272262589303,0.90214625487721267,0.63529321186566989,0.71229475827086586,0.63529321186566989,0,0,0,-0,-0,-0
17,Inf,29,0.71498217475339843,0.71498217475339843,0.060249004053600702,-0.87403320500240755,-0.3954940600398672,-0.27589344828941492,-0.99271689432546184,-0.32822100899496842,-0.072494133826698448,0.54350879223185022,0.17602891658617925,0.88852546874076155,0.64674582306113337,0.70862565717130821,0.64674582306113337,0,0,0,-0,-0,-0
18,Inf,30,0.70978088485933266,0.70978088485933266,0.051577250604608695,-0.88688545082414405,-0.38833692956230381,-0.25566652178549215,-0.9404965240456753,-0.34267813547297576,0.37612766280654775,0.55180785102987351,0.17551776097017216,0.89582266253141096,0.75395389030786586,0.70975801996869792,0.75395389030786586,0,0,0,-0,-0,-0
