# u1-u2 slice at u3=0.0  metric=q_varMS  grid=71
# axis_a=u1  axis_b=u2
u1,u2,q
-0.942857,-0.342857,0.437685
-0.942857,-0.314286,0.401191
-0.942857,-0.285714,0.356039
-0.942857,-0.257143,0.306209
-0.942857,-0.228571,0.255801
-0.942857,-0.200000,0.206045
-0.942857,-0.171429,0.165172
-0.942857,-0.142857,0.139100
-0.942857,-0.114286,0.130797
-0.942857,-0.085714,0.143586
-0.942857,-0.057143,0.174254
-0.942857,-0.028571,0.221184
-0.942857,0.000000,0.273739
-0.942857,0.028571,0.324110
-0.942857,0.057143,0.366896
-0.942857,0.085714,0.395244
-0.942857,0.114286,0.416081
-0.942857,0.142857,0.420893
-0.942857,0.171429,0.414459
-0.942857,0.200000,0.402229
-0.942857,0.228571,0.381428
-0.942857,0.257143,0.356792
-0.942857,0.285714,0.327675
-0.942857,0.314286,0.295475
-0.942857,0.342857,0.260552
-0.942857,0.371429,0.224357
-0.942857,0.400000,0.189294
-0.942857,0.428571,0.158659
-0.942857,0.457143,0.133799
-0.942857,0.485714,0.117592
-0.942857,0.514286,0.112301
-0.942857,0.542857,0.118224
-0.942857,0.571429,0.132822
-0.942857,0.600000,0.158705
-0.942857,0.628571,0.191030
-0.942857,0.657143,0.228372
-0.942857,0.685714,0.269581
-0.942857,0.714286,0.310049
-0.942857,0.742857,0.348142
-0.942857,0.771429,0.386414
-0.942857,0.800000,0.418993
-0.942857,0.828571,0.447357
-0.942857,0.857143,0.467662
-0.942857,0.885714,0.482920
-0.942857,0.914286,0.494472
-0.942857,0.942857,0.499882
-0.942857,0.971429,0.503415
-0.942857,1.000000,0.502895
-0.914286,-1.000000,0.266583
-0.914286,-0.971429,0.265254
-0.914286,-0.942857,0.266297
-0.914286,-0.914286,0.276648
-0.914286,-0.885714,0.298192
-0.914286,-0.857143,0.330780
-0.914286,-0.828571,0.370807
-0.914286,-0.800000,0.414860
-0.914286,-0.771429,0.458028
-0.914286,-0.742857,0.491794
-0.914286,-0.714286,0.515038
-0.914286,-0.685714,0.528636
-0.914286,-0.657143,0.534230
-0.914286,-0.628571,0.534540
-0.914286,-0.600000,0.534752
-0.914286,-0.571429,0.533714
-0.914286,-0.542857,0.534059
-0.914286,-0.514286,0.534305
-0.914286,-0.485714,0.530979
-0.914286,-0.457143,0.525796
-0.914286,-0.428571,0.516513
-0.914286,-0.400000,0.499988
-0.914286,-0.371429,0.476417
-0.914286,-0.342857,0.447726
-0.914286,-0.314286,0.408729
-0.914286,-0.285714,0.359863
-0.914286,-0.257143,0.306183
-0.914286,-0.228571,0.249567
-0.914286,-0.200000,0.198054
-0.914286,-0.171429,0.157972
-0.914286,-0.142857,0.136286
-0.914286,-0.114286,0.138614
-0.914286,-0.085714,0.164844
-0.914286,-0.057143,0.208002
-0.914286,-0.028571,0.261845
-0.914286,0.000000,0.316394
-0.914286,0.028571,0.362509
-0.914286,0.057143,0.393644
-0.914286,0.085714,0.411356
-0.914286,0.114286,0.410143
-0.914286,0.142857,0.399310
-0.914286,0.171429,0.379854
-0.914286,0.200000,0.353800
-0.914286,0.228571,0.324363
-0.914286,0.257143,0.292646
-0.914286,0.285714,0.256642
-0.914286,0.314286,0.221202
-0.914286,0.342857,0.185556
-0.914286,0.371429,0.154788
-0.914286,0.400000,0.126587
-0.914286,0.428571,0.107770
-0.914286,0.457143,0.098193
-0.914286,0.485714,0.101775
-0.914286,0.514286,0.114099
-0.914286,0.542857,0.138420
-0.914286,0.571429,0.171549
-0.914286,0.600000,0.208926
-0.914286,0.628571,0.249711
-0.914286,0.657143,0.292388
-0.914286,0.685714,0.334936
-0.914286,0.714286,0.373189
-0.914286,0.742857,0.407616
-0.914286,0.771429,0.437519
-0.914286,0.800000,0.461778
-0.914286,0.828571,0.480286
-0.914286,0.857143,0.493707
-0.914286,0.885714,0.501500
-0.914286,0.914286,0.505176
-0.914286,0.942857,0.505277
-0.914286,0.971429,0.503268
-0.914286,1.000000,0.499177
-0.885714,-1.000000,0.256304
-0.885714,-0.971429,0.252642
-0.885714,-0.942857,0.252417
-0.885714,-0.914286,0.264191
-0.885714,-0.885714,0.283920
-0.885714,-0.857143,0.317370
-0.885714,-0.828571,0.362002
-0.885714,-0.800000,0.410057
-0.885714,-0.771429,0.456321
-0.885714,-0.742857,0.493782
-0.885714,-0.714286,0.517849
-0.885714,-0.685714,0.531077
-0.885714,-0.657143,0.535486
-0.885714,-0.628571,0.536080
-0.885714,-0.600000,0.536639
-0.885714,-0.571429,0.536886
-0.885714,-0.542857,0.538416
-0.885714,-0.514286,0.540167
-0.885714,-0.485714,0.538066
-0.885714,-0.457143,0.534378
-0.885714,-0.428571,0.523894
-0.885714,-0.400000,0.505560
-0.885714,-0.371429,0.483137
-0.885714,-0.342857,0.450979
-0.885714,-0.314286,0.409636
-0.885714,-0.285714,0.357699
-0.885714,-0.257143,0.299246
-0.885714,-0.228571,0.240560
-0.885714,-0.200000,0.186828
-0.885714,-0.171429,0.149467
-0.885714,-0.142857,0.135419
-0.885714,-0.114286,0.146578
-0.885714,-0.085714,0.181965
-0.885714,-0.057143,0.235648
-0.885714,-0.028571,0.290699
-0.885714,0.000000,0.340873
-0.885714,0.028571,0.374742
-0.885714,0.057143,0.392648
-0.885714,0.085714,0.394021
-0.885714,0.114286,0.383296
-0.885714,0.142857,0.362005
-0.885714,0.171429,0.335221
-0.885714,0.200000,0.304254
-0.885714,0.228571,0.269921
-0.885714,0.257143,0.235005
-0.885714,0.285714,0.200547
-0.885714,0.314286,0.166089
-0.885714,0.342857,0.135629
-0.885714,0.371429,0.109938
-0.885714,0.400000,0.093526
-0.885714,0.428571,0.088394
-0.885714,0.457143,0.096986
-0.885714,0.485714,0.117703
-0.885714,0.514286,0.145313
-0.885714,0.542857,0.185132
-0.885714,0.571429,0.227821
-0.885714,0.600000,0.271234
-0.885714,0.628571,0.315083
-0.885714,0.657143,0.356616
-0.885714,0.685714,0.394291
-0.885714,0.714286,0.427578
-0.885714,0.742857,0.455767
-0.885714,0.771429,0.475525
-0.885714,0.800000,0.492149
-0.885714,0.828571,0.501467
-0.885714,0.857143,0.506891
-0.885714,0.885714,0.507641
-0.885714,0.914286,0.505514
-0.885714,0.942857,0.500959
-0.885714,0.971429,0.494223
-0.885714,1.000000,0.487394
-0.857143,-1.000000,0.267749
-0.857143,-0.971429,0.262276
-0.857143,-0.942857,0.259468
-0.857143,-0.914286,0.266659
-0.857143,-0.885714,0.282626
-0.857143,-0.857143,0.314982
-0.857143,-0.828571,0.358347
-0.857143,-0.800000,0.409725
-0.857143,-0.771429,0.456674
-0.857143,-0.742857,0.494669
-0.857143,-0.714286,0.519150
-0.857143,-0.685714,0.532396
-0.857143,-0.657143,0.536962
-0.857143,-0.628571,0.537203
-0.857143,-0.600000,0.537422
-0.857143,-0.571429,0.536793
-0.857143,-0.542857,0.538944
-0.857143,-0.514286,0.540831
-0.857143,-0.485714,0.537855
-0.857143,-0.457143,0.531312
-0.857143,-0.428571,0.519568
-0.857143,-0.400000,0.502555
-0.857143,-0.371429,0.477699
-0.857143,-0.342857,0.442468
-0.857143,-0.314286,0.397185
-0.857143,-0.285714,0.344923
-0.857143,-0.257143,0.283637
-0.857143,-0.228571,0.221186
-0.857143,-0.200000,0.169325
-0.857143,-0.171429,0.135900
-0.857143,-0.142857,0.130720
-0.857143,-0.114286,0.151351
-0.857143,-0.085714,0.195609
-0.857143,-0.057143,0.249713
-0.857143,-0.028571,0.302510
-0.857143,0.000000,0.345171
-0.857143,0.028571,0.369499
-0.857143,0.057143,0.377675
-0.857143,0.085714,0.368721
-0.857143,0.114286,0.353424
-0.857143,0.142857,0.327136
-0.857143,0.171429,0.299869
-0.857143,0.200000,0.270440
-0.857143,0.228571,0.236302
-0.857143,0.257143,0.199772
-0.857143,0.285714,0.167225
-0.857143,0.314286,0.135999
-0.857143,0.342857,0.112145
-0.857143,0.371429,0.094417
-0.857143,0.400000,0.093181
-0.857143,0.428571,0.099931
-0.857143,0.457143,0.122059
-0.857143,0.485714,0.155384
-0.857143,0.514286,0.195855
-0.857143,0.542857,0.241583
-0.857143,0.571429,0.288024
-0.857143,0.600000,0.333757
-0.857143,0.628571,0.374709
-0.857143,0.657143,0.411282
-0.857143,0.685714,0.443440
-0.857143,0.714286,0.468560
-0.857143,0.742857,0.487525
-0.857143,0.771429,0.499031
-0.857143,0.800000,0.506165
-0.857143,0.828571,0.509173
-0.857143,0.857143,0.506239
-0.857143,0.885714,0.500760
-0.857143,0.914286,0.493907
-0.857143,0.942857,0.485961
-0.857143,0.971429,0.476950
-0.857143,1.000000,0.467904
-0.828571,-1.000000,0.296089
-0.828571,-0.971429,0.288833
-0.828571,-0.942857,0.283130
-0.828571,-0.914286,0.283340
-0.828571,-0.885714,0.295692
-0.828571,-0.857143,0.322252
-0.828571,-0.828571,0.363807
-0.828571,-0.800000,0.412987
-0.828571,-0.771429,0.457922
-0.828571,-0.742857,0.494925
-0.828571,-0.714286,0.517567
-0.828571,-0.685714,0.529242
-0.828571,-0.657143,0.534052
-0.828571,-0.628571,0.534895
-0.828571,-0.600000,0.533616
-0.828571,-0.571429,0.532711
-0.828571,-0.542857,0.531921
-0.828571,-0.514286,0.531336
-0.828571,-0.485714,0.524176
-0.828571,-0.457143,0.514417
-0.828571,-0.428571,0.498290
-0.828571,-0.400000,0.477817
-0.828571,-0.371429,0.451492
-0.828571,-0.342857,0.415093
-0.828571,-0.314286,0.367426
-0.828571,-0.285714,0.313190
-0.828571,-0.257143,0.253794
-0.828571,-0.228571,0.195134
-0.828571,-0.200000,0.148748
-0.828571,-0.171429,0.121115
-0.828571,-0.142857,0.125251
-0.828571,-0.114286,0.155974
-0.828571,-0.085714,0.203262
-0.828571,-0.057143,0.259924
-0.828571,-0.028571,0.307709
-0.828571,0.000000,0.342707
-0.828571,0.028571,0.357892
-0.828571,0.057143,0.362226
-0.828571,0.085714,0.352718
-0.828571,0.114286,0.335700
-0.828571,0.142857,0.313966
-0.828571,0.171429,0.289895
-0.828571,0.200000,0.260833
-0.828571,0.228571,0.230268
-0.828571,0.257143,0.195239
-0.828571,0.285714,0.165028
-0.828571,0.314286,0.136422
-0.828571,0.342857,0.115752
-0.828571,0.371429,0.107029
-0.828571,0.400000,0.112172
-0.828571,0.428571,0.130906
-0.828571,0.457143,0.164234
-0.828571,0.485714,0.204592
-0.828571,0.514286,0.248964
-0.828571,0.542857,0.297329
-0.828571,0.571429,0.341851
-0.828571,0.600000,0.384543
-0.828571,0.628571,0.419809
-0.828571,0.657143,0.448365
-0.828571,0.685714,0.472801
-0.828571,0.714286,0.489640
-0.828571,0.742857,0.500349
-0.828571,0.771429,0.504848
-0.828571,0.800000,0.505083
-0.828571,0.828571,0.501163
-0.828571,0.857143,0.493582
-0.828571,0.885714,0.484436
-0.828571,0.914286,0.474848
-0.828571,0.942857,0.464229
-0.828571,0.971429,0.453242
-0.828571,1.000000,0.443814
-0.800000,-1.000000,0.343630
-0.800000,-0.971429,0.333725
-0.800000,-0.942857,0.321458
-0.800000,-0.914286,0.315354
-0.800000,-0.885714,0.318290
-0.800000,-0.857143,0.340213
-0.800000,-0.828571,0.374955
-0.800000,-0.800000,0.419571
-0.800000,-0.771429,0.462439
-0.800000,-0.742857,0.494456
-0.800000,-0.714286,0.513890
-0.800000,-0.685714,0.523757
-0.800000,-0.657143,0.526890
-0.800000,-0.628571,0.523948
-0.800000,-0.600000,0.521738
-0.800000,-0.571429,0.516599
-0.800000,-0.542857,0.512377
-0.800000,-0.514286,0.505281
-0.800000,-0.485714,0.490816
-0.800000,-0.457143,0.478403
-0.800000,-0.428571,0.457191
-0.800000,-0.400000,0.432259
-0.800000,-0.371429,0.404278
-0.800000,-0.342857,0.367349
-0.800000,-0.314286,0.322023
-0.800000,-0.285714,0.269423
-0.800000,-0.257143,0.214299
-0.800000,-0.228571,0.163236
-0.800000,-0.200000,0.126720
-0.800000,-0.171429,0.112599
-0.800000,-0.142857,0.126406
-0.800000,-0.114286,0.166099
-0.800000,-0.085714,0.219378
-0.800000,-0.057143,0.271833
-0.800000,-0.028571,0.314276
-0.800000,0.000000,0.344084
-0.800000,0.028571,0.359435
-0.800000,0.057143,0.362735
-0.800000,0.085714,0.356924
-0.800000,0.114286,0.344917
-0.800000,0.142857,0.330457
-0.800000,0.171429,0.306928
-0.800000,0.200000,0.278852
-0.800000,0.228571,0.246192
-0.800000,0.257143,0.210990
-0.800000,0.285714,0.178991
-0.800000,0.314286,0.152275
-0.800000,0.342857,0.135709
-0.800000,0.371429,0.132812
-0.800000,0.400000,0.141991
-0.800000,0.428571,0.168792
-0.800000,0.457143,0.204580
-0.800000,0.485714,0.248488
-0.800000,0.514286,0.293050
-0.800000,0.542857,0.339630
-0.800000,0.571429,0.378448
-0.800000,0.600000,0.415392
-0.800000,0.628571,0.444867
-0.800000,0.657143,0.467384
-0.800000,0.685714,0.483109
-0.800000,0.714286,0.493881
-0.800000,0.742857,0.497722
-0.800000,0.771429,0.497465
-0.800000,0.800000,0.492092
-0.800000,0.828571,0.484148
-0.800000,0.857143,0.474165
-0.800000,0.885714,0.463595
-0.800000,0.914286,0.451198
-0.800000,0.942857,0.439318
-0.800000,0.971429,0.429529
-0.800000,1.000000,0.416655
-0.771429,-1.000000,0.398592
-0.771429,-0.971429,0.385841
-0.771429,-0.942857,0.371737
-0.771429,-0.914286,0.358302
-0.771429,-0.885714,0.354312
-0.771429,-0.857143,0.367064
-0.771429,-0.828571,0.395085
-0.771429,-0.800000,0.431301
-0.771429,-0.771429,0.464724
-0.771429,-0.742857,0.491752
-0.771429,-0.714286,0.505701
-0.771429,-0.685714,0.512033
-0.771429,-0.657143,0.509619
-0.771429,-0.628571,0.504741
-0.771429,-0.600000,0.496257
-0.771429,-0.571429,0.485672
-0.771429,-0.542857,0.475028
-0.771429,-0.514286,0.460321
-0.771429,-0.485714,0.440160
-0.771429,-0.457143,0.420804
-0.771429,-0.428571,0.396612
-0.771429,-0.400000,0.371244
-0.771429,-0.371429,0.340318
-0.771429,-0.342857,0.306541
-0.771429,-0.314286,0.265054
-0.771429,-0.285714,0.221009
-0.771429,-0.257143,0.176064
-0.771429,-0.228571,0.139290
-0.771429,-0.200000,0.115381
-0.771429,-0.171429,0.116216
-0.771429,-0.142857,0.143070
-0.771429,-0.114286,0.187065
-0.771429,-0.085714,0.242612
-0.771429,-0.057143,0.294076
-0.771429,-0.028571,0.335284
-0.771429,0.000000,0.364726
-0.771429,0.028571,0.378110
-0.771429,0.057143,0.387942
-0.771429,0.085714,0.387528
-0.771429,0.114286,0.380150
-0.771429,0.142857,0.363841
-0.771429,0.171429,0.342135
-0.771429,0.200000,0.310143
-0.771429,0.228571,0.273549
-0.771429,0.257143,0.232033
-0.771429,0.285714,0.199670
-0.771429,0.314286,0.170982
-0.771429,0.342857,0.155052
-0.771429,0.371429,0.154949
-0.771429,0.400000,0.171178
-0.771429,0.428571,0.199873
-0.771429,0.457143,0.236357
-0.771429,0.485714,0.280107
-0.771429,0.514286,0.321965
-0.771429,0.542857,0.360980
-0.771429,0.571429,0.396675
-0.771429,0.600000,0.428025
-0.771429,0.628571,0.451927
-0.771429,0.657143,0.468457
-0.771429,0.685714,0.481132
-0.771429,0.714286,0.485086
-0.771429,0.742857,0.485846
-0.771429,0.771429,0.482202
