# u2-u3 slice at u1=0.0  metric=q_varMS  grid=71
# axis_a=u2  axis_b=u3
u2,u3,q
-1.000000,-1.000000,0.354375
-1.000000,-0.971429,0.354458
-1.000000,-0.942857,0.355013
-1.000000,-0.914286,0.356219
-1.000000,-0.885714,0.357345
-1.000000,-0.857143,0.356769
-1.000000,-0.828571,0.357789
-1.000000,-0.800000,0.359665
-1.000000,-0.771429,0.356476
-1.000000,-0.742857,0.358963
-1.000000,-0.714286,0.360465
-1.000000,-0.685714,0.359704
-1.000000,-0.657143,0.360432
-1.000000,-0.628571,0.361148
-1.000000,-0.600000,0.360859
-1.000000,-0.571429,0.360893
-1.000000,-0.542857,0.363344
-1.000000,-0.514286,0.363490
-1.000000,-0.485714,0.361487
-1.000000,-0.457143,0.362815
-1.000000,-0.428571,0.363724
-1.000000,-0.400000,0.364278
-1.000000,-0.371429,0.363013
-1.000000,-0.342857,0.363811
-1.000000,-0.314286,0.365496
-1.000000,-0.285714,0.364738
-1.000000,-0.257143,0.366324
-1.000000,-0.228571,0.366337
-1.000000,-0.200000,0.366355
-1.000000,-0.171429,0.367475
-1.000000,-0.142857,0.367725
-1.000000,-0.114286,0.367323
-1.000000,-0.085714,0.368685
-1.000000,-0.057143,0.368406
-1.000000,-0.028571,0.368191
-1.000000,0.000000,0.369436
-1.000000,0.028571,0.369832
-1.000000,0.057143,0.368308
-1.000000,0.085714,0.369846
-1.000000,0.114286,0.368372
-1.000000,0.142857,0.369745
-1.000000,0.171429,0.369464
-1.000000,0.200000,0.370473
-1.000000,0.228571,0.370566
-1.000000,0.257143,0.370216
-1.000000,0.285714,0.371805
-1.000000,0.314286,0.370356
-1.000000,0.342857,0.370592
-1.000000,0.371429,0.372541
-1.000000,0.400000,0.371416
-1.000000,0.428571,0.370833
-1.000000,0.457143,0.372442
-1.000000,0.485714,0.371891
-1.000000,0.514286,0.372533
-1.000000,0.542857,0.371115
-1.000000,0.571429,0.374148
-1.000000,0.600000,0.373434
-1.000000,0.628571,0.372972
-1.000000,0.657143,0.371278
-1.000000,0.685714,0.373741
-1.000000,0.714286,0.372468
-1.000000,0.742857,0.374194
-1.000000,0.771429,0.373553
-1.000000,0.800000,0.371891
-1.000000,0.828571,0.373171
-1.000000,0.857143,0.374039
-1.000000,0.885714,0.373963
-1.000000,0.914286,0.372716
-1.000000,0.942857,0.374846
-1.000000,0.971429,0.375594
-1.000000,1.000000,0.373657
-0.971429,-1.000000,0.354988
-0.971429,-0.971429,0.354894
-0.971429,-0.942857,0.355492
-0.971429,-0.914286,0.355058
-0.971429,-0.885714,0.356268
-0.971429,-0.857143,0.356340
-0.971429,-0.828571,0.357206
-0.971429,-0.800000,0.357085
-0.971429,-0.771429,0.356621
-0.971429,-0.742857,0.357546
-0.971429,-0.714286,0.359104
-0.971429,-0.685714,0.358824
-0.971429,-0.657143,0.357943
-0.971429,-0.628571,0.358391
-0.971429,-0.600000,0.360728
-0.971429,-0.571429,0.359805
-0.971429,-0.542857,0.360414
-0.971429,-0.514286,0.360063
-0.971429,-0.485714,0.361502
-0.971429,-0.457143,0.360307
-0.971429,-0.428571,0.359920
-0.971429,-0.400000,0.361691
-0.971429,-0.371429,0.361815
-0.971429,-0.342857,0.361650
-0.971429,-0.314286,0.362339
-0.971429,-0.285714,0.363455
-0.971429,-0.257143,0.362110
-0.971429,-0.228571,0.362547
-0.971429,-0.200000,0.363022
-0.971429,-0.171429,0.362266
-0.971429,-0.142857,0.363058
-0.971429,-0.114286,0.361451
-0.971429,-0.085714,0.364372
-0.971429,-0.057143,0.363343
-0.971429,-0.028571,0.365895
-0.971429,0.000000,0.363994
-0.971429,0.028571,0.365016
-0.971429,0.057143,0.364293
-0.971429,0.085714,0.365244
-0.971429,0.114286,0.364741
-0.971429,0.142857,0.365563
-0.971429,0.171429,0.365856
-0.971429,0.200000,0.365679
-0.971429,0.228571,0.367152
-0.971429,0.257143,0.366270
-0.971429,0.285714,0.366214
-0.971429,0.314286,0.367900
-0.971429,0.342857,0.368201
-0.971429,0.371429,0.367000
-0.971429,0.400000,0.367943
-0.971429,0.428571,0.366965
-0.971429,0.457143,0.367546
-0.971429,0.485714,0.366861
-0.971429,0.514286,0.368672
-0.971429,0.542857,0.367392
-0.971429,0.571429,0.368928
-0.971429,0.600000,0.368234
-0.971429,0.628571,0.368630
-0.971429,0.657143,0.368812
-0.971429,0.685714,0.368619
-0.971429,0.714286,0.367898
-0.971429,0.742857,0.369890
-0.971429,0.771429,0.370032
-0.971429,0.800000,0.369914
-0.971429,0.828571,0.368835
-0.971429,0.857143,0.368705
-0.971429,0.885714,0.369144
-0.971429,0.914286,0.369179
-0.971429,0.942857,0.369557
-0.971429,0.971429,0.369804
-0.971429,1.000000,0.370678
-0.942857,-1.000000,0.354348
-0.942857,-0.971429,0.354563
-0.942857,-0.942857,0.355280
-0.942857,-0.914286,0.354581
-0.942857,-0.885714,0.355287
-0.942857,-0.857143,0.355015
-0.942857,-0.828571,0.355380
-0.942857,-0.800000,0.357043
-0.942857,-0.771429,0.355644
-0.942857,-0.742857,0.355626
-0.942857,-0.714286,0.356346
-0.942857,-0.685714,0.354995
-0.942857,-0.657143,0.357891
-0.942857,-0.628571,0.356552
-0.942857,-0.600000,0.356408
-0.942857,-0.571429,0.356823
-0.942857,-0.542857,0.357860
-0.942857,-0.514286,0.357040
-0.942857,-0.485714,0.357752
-0.942857,-0.457143,0.355924
-0.942857,-0.428571,0.357827
-0.942857,-0.400000,0.358078
-0.942857,-0.371429,0.356226
-0.942857,-0.342857,0.358222
-0.942857,-0.314286,0.357204
-0.942857,-0.285714,0.356248
-0.942857,-0.257143,0.358286
-0.942857,-0.228571,0.357963
-0.942857,-0.200000,0.358130
-0.942857,-0.171429,0.357746
-0.942857,-0.142857,0.358991
-0.942857,-0.114286,0.358510
-0.942857,-0.085714,0.358910
-0.942857,-0.057143,0.357337
-0.942857,-0.028571,0.360321
-0.942857,0.000000,0.358244
-0.942857,0.028571,0.359541
-0.942857,0.057143,0.360330
-0.942857,0.085714,0.358838
-0.942857,0.114286,0.360000
-0.942857,0.142857,0.357806
-0.942857,0.171429,0.360053
-0.942857,0.200000,0.360230
-0.942857,0.228571,0.358047
-0.942857,0.257143,0.359276
-0.942857,0.285714,0.358291
-0.942857,0.314286,0.360882
-0.942857,0.342857,0.359678
-0.942857,0.371429,0.360375
-0.942857,0.400000,0.361243
-0.942857,0.428571,0.361126
-0.942857,0.457143,0.359413
-0.942857,0.485714,0.360980
-0.942857,0.514286,0.359580
-0.942857,0.542857,0.360717
